W,real_energy,imag_energy,gamma_2,gamma_3,gamma_ess,state_code
0.4,-2.5,-0.95,-0.336575287323842,0.5383680589889629,-0.336575287323842,1
0.4,-2.3785714285714286,-0.95,-0.29061926423615614,0.4817064069498381,-0.29061926423615614,1
0.4,-2.257142857142857,-0.95,-0.23688472086560264,0.41595472391743143,-0.23688472086560264,1
0.4,-2.1357142857142857,-0.95,-0.1756443844302842,0.3412056920859914,-0.1756443844302842,1
0.4,-2.0142857142857142,-0.95,-0.12085805154213432,0.2712296754217916,-0.12085805154213432,1
0.4,-1.8928571428571428,-0.95,-0.09272702780115975,0.22604117398221993,-0.09272702780115975,1
0.4,-1.7714285714285714,-0.95,-0.08910513693725376,0.20333025885310305,-0.08910513693725376,1
0.4,-1.65,-0.95,-0.09985319487020958,0.19284731740140398,-0.09985319487020958,1
0.4,-1.5285714285714285,-0.95,-0.11831361758998038,0.1879152741362465,-0.11831361758998038,1
0.4,-1.4071428571428573,-0.95,-0.14123808102478735,0.18539379499649478,-0.14123808102478735,1
0.4,-1.2857142857142858,-0.95,-0.16711047722221084,0.18402506547821315,-0.16711047722221084,1
0.4,-1.1642857142857144,-0.95,-0.19508271557465381,0.18336807563824045,0.18336807563824045,1
0.4,-1.042857142857143,-0.95,-0.22443119430417366,0.18322746404221532,0.18322746404221532,1
0.4,-0.9214285714285715,-0.95,-0.2546240732487747,0.18348755065706215,0.18348755065706215,1
0.4,-0.8,-0.95,-0.26251034924868344,0.18406613595718516,0.18406613595718516,1
0.4,-0.6785714285714286,-0.95,-0.2519022581996972,0.18489948060756392,0.18489948060756392,1
0.4,-0.5571428571428572,-0.95,-0.2427040786896068,0.18593926914262315,0.18593926914262315,1
0.4,-0.43571428571428594,-0.95,-0.23416952501042348,0.18715021616478278,0.18715021616478278,1
0.4,-0.3142857142857145,-0.95,-0.22624363806244374,0.1885069755618021,0.1885069755618021,1
0.4,-0.19285714285714306,-0.95,-0.2188974897022627,0.18999149250860187,0.18999149250860187,1
0.4,-0.07142857142857162,-0.95,-0.21210389801330645,0.19159119689813447,0.19159119689813447,1
0.4,0.04999999999999982,-0.95,-0.2058361300840599,0.1932978080832865,0.1932978080832865,1
0.4,0.17142857142857126,-0.95,-0.20006850041109622,0.19510643240704958,0.19510643240704958,1
0.4,0.2928571428571427,-0.95,-0.19477689516317967,0.19701481551629343,-0.19477689516317967,1
0.4,0.41428571428571415,-0.95,-0.18993910936085545,0.19902278235062978,-0.18993910936085545,1
0.4,0.5357142857142856,-0.95,-0.18553512547151768,0.201131924287532,-0.18553512547151768,1
0.4,0.657142857142857,-0.95,-0.1815474139699263,0.20334552910805817,-0.1815474139699263,1
0.4,0.7785714285714285,-0.95,-0.1779612667284778,0.20566869679950525,-0.1779612667284778,1
0.4,0.8999999999999999,-0.95,-0.1747651222997234,0.20810855118766639,-0.1747651222997234,1
0.4,1.0214285714285714,-0.95,-0.1719507904175158,0.21067442035661682,-0.1719507904175158,1
0.4,1.1428571428571428,-0.95,-0.1695134811005645,0.21337786742479142,-0.1695134811005645,1
0.4,1.2642857142857142,-0.95,-0.16745164267563986,0.21623255956194948,-0.16745164267563986,1
0.4,1.3857142857142857,-0.95,-0.16576675091318546,0.2192541061400651,-0.16576675091318546,1
0.4,1.5071428571428571,-0.95,-0.16446325788774976,0.2224600669002599,-0.16446325788774976,1
0.4,1.6285714285714281,-0.95,-0.163548857170106,0.22587028149813124,-0.163548857170106,1
0.4,1.75,-0.95,-0.16303507038391718,0.229507521948454,-0.16303507038391718,1
0.4,1.871428571428571,-0.95,-0.1629379963430866,0.2333983068805201,-0.1629379963430866,1
0.4,1.9928571428571429,-0.95,-0.1632790246466292,0.23757367801508097,-0.1632790246466292,1
0.4,2.114285714285714,-0.95,-0.1640854407364488,0.24206986498295954,-0.1640854407364488,1
0.4,2.2357142857142858,-0.95,-0.16539101871264011,0.24692893429349344,-0.16539101871264011,1
0.4,2.3571428571428568,-0.95,-0.167236784020091,0.2521996043511572,-0.167236784020091,1
0.4,2.4785714285714286,-0.95,-0.1696721047683637,0.2579383852480687,-0.1696721047683637,1
0.4,2.5999999999999996,-0.95,-0.17275616586011452,0.26421109759156314,-0.17275616586011452,1
0.4,2.7214285714285715,-0.95,-0.17655973406839084,0.27109467866521064,-0.17655973406839084,1
0.4,2.8428571428571425,-0.95,-0.1811669675258263,0.2786790295879872,-0.1811669675258263,1
0.4,2.9642857142857144,-0.95,-0.18667685174412668,0.2870684858142627,-0.18667685174412668,1
0.4,3.0857142857142854,-0.95,-0.19320363446126715,0.2963822835046825,-0.19320363446126715,1
0.4,3.2071428571428573,-0.95,-0.20087538813438946,0.3067531508174335,-0.20087538813438946,1
0.4,3.3285714285714283,-0.95,-0.20982954305986085,0.31832286732568427,-0.20982954305986085,1
0.4,3.45,-0.95,-0.2202039207062208,0.3312333213601928,-0.2202039207062208,1
0.4,3.571428571428571,-0.95,-0.23212174921943524,0.3456115474366757,-0.23212174921943524,1
0.4,3.692857142857143,-0.95,-0.24567010696161592,0.3615481898151225,-0.24567010696161592,1
0.4,3.814285714285714,-0.95,-0.2608739920076401,0.37907159028711396,-0.2608739920076401,1
0.4,3.935714285714286,-0.95,-0.27767245816760044,0.3981239409165486,-0.27767245816760044,1
