label,real_energy,imag_energy,L,realizations,finite_potential,lyapunov_potential,delta_phi,paper_exponent_L
skin,-0.6,0.0,40,256,0.2290130420911633,0.251848657008269,0.022835614917105673,-1.104
alm,-1.05,0.32,40,256,0.19131788460874,0.20162874444035994,0.010310859831619945,-1.008
skin,-0.6,0.0,80,256,0.24058913901725182,0.251848657008269,0.011259517991017154,-1.104
alm,-1.05,0.32,80,256,0.19631113090026603,0.20162874444035994,0.005317613540093913,-1.008
skin,-0.6,0.0,120,256,0.2444151746261931,0.251848657008269,0.007433482382075862,-1.104
alm,-1.05,0.32,120,256,0.19800067700016996,0.20162874444035994,0.0036280674401899804,-1.008
skin,-0.6,0.0,180,256,0.24751887413111623,0.251848657008269,0.004329782877152744,-1.104
alm,-1.05,0.32,180,256,0.19926524778641697,0.20162874444035994,0.002363496653942976,-1.008
