axion_mass_microeV,dimensionless_mass_range,g_nps_squared_over_4
2.0,0.6131954168392068,2.0251574246139767e-07
2.0251208916694816,0.620897424658527,2.0311180950827334e-07
2.050557312938098,0.6286961731298805,2.037218376396634e-07
2.0763132269982885,0.6365928773589871,2.043461685869171e-07
2.1023926468219565,0.6445887677138364,2.0498515342376482e-07
2.1287996357857204,0.6526850900163882,2.0563915286944997e-07
2.1555383083040227,0.660883105736682,2.0630853760355924e-07
2.1826128304701844,0.669184092189383,2.0699368859306313e-07
2.210027420705515,0.6775893427327977,2.076949974321068e-07
2.2377863504165787,0.6861001669703907,2.084128666951149e-07
2.2658939446607085,0.6947178909548289,2.0914771030380308e-07
2.294354582819886,0.7034438573945923,2.0989995390871628e-07
2.323172699283085,0.7122794258631782,2.1067003528594711e-07
2.352352784137178,0.7212259730109328,2.1145840474971645e-07
2.3818993838665348,0.7302848927795449,2.1226552558153465e-07
2.4118171020613928,0.7394575966192319,2.1309187447669734e-07
2.4421106001351363,0.7487455137086552,2.1393794200890565e-07
2.47278459805058,0.7581500911775979,2.1480423311384294e-07
2.5038438750553755,0.767672794332438,2.1569126759258018e-07
2.5352932704266555,0.7773151068844546,2.1659958063572708e-07
2.5671376842250324,0.7870785311810026,2.1752972336929302e-07
2.5993820780580625,0.7969645884395887,2.1848226342327045e-07
2.632031475853307,0.8069748189848908,2.1945778552400629e-07
2.665090964641095,0.81711078248875,2.2045689211148087e-07
2.6985656953471264,0.8273740582131826,2.2148020398267333e-07
2.732460883595024,0.8377662452564392,2.225283609622526e-07
2.7667818105189665,0.8482889628021565,2.2360202260189848e-07
2.8015338235865364,0.8589438503716416,2.2470186890962664e-07
2.836722337431889,0.8697325680793182,2.2582860111056224e-07
2.8723528346994014,0.8806567968913883,2.2698294244068553e-07
2.908430866897907,0.8917182388877389,2.2816563897515316e-07
2.9449620552656666,0.9029186175271388,2.2937746049288408e-07
2.981952091646198,0.9142596779157675,2.3061920137919248e-07
3.019406739375112,0.9257431870791161,2.3189168156834326e-07
3.057331834178084,0.9373709342373034,2.3319574752801035e-07
3.0957332850801063,0.9491447310838514,2.3453227328772612e-07
3.134617075326159,0.9610664120679597,2.3590216151352205e-07
3.1739892633134468,0.973137834680328,2.3730634463108692e-07
3.213855983535344,0.9853608797425671,2.3874578599989386e-07
3.254223447537197,0.9977374517002461,2.4022148114088645e-07
3.295097944884131,1.0102694789196194,2.4173445902045766e-07
3.3364858441410137,1.022958913988081,2.432857833936128e-07
3.3783935938647267,1.0358077340183935,2.4487655420936426e-07
3.4208277236088995,1.048817940956737,2.4650790908158964e-07
3.4637948449412685,1.0619915618946285,2.4818102482875795e-07
3.5073016524738074,1.0753306493847576,2.498971190861342e-07
3.551354924905801,1.0888372817607914,2.516574519942749e-07
3.595961526080021,1.1025135634611944,2.534633279678509e-07
3.6411284060521605,1.1163616253571156,2.5531609754906927e-07
3.6868626021737145,1.1303836250843968,2.5721715935021624e-07
3.7331712401884496,1.1445817473797475,2.591679620901088e-07
3.7800615353426474,1.1589582044211435,2.611700067295293e-07
3.827540793509306,1.1735152361725039,2.6322484871101487e-07
3.8756164123264405,1.1882551107326915,2.653341003087008e-07
3.9242958823496985,1.2031801246889033,2.674994330942543e-07
3.973586788219448,1.218292603474495,2.6972258052530506e-07
4.02349680984252,1.2335949017313015,2.7200534066316554e-07
4.0740337235888,1.2490894036765101,2.7434957902705045e-07
4.125205403502844,1.2647785234741373,2.7675723159244895e-07
4.1770198225307205,1.2806647056111773,2.792303079417737e-07
4.229485053762256,1.296750425278471,2.8177089457591695e-07
4.282609271688882,1.3130381887563578,2.843811583958837e-07
4.33640075347729,1.3295305338051786,2.870633503642466e-07
4.39086788025907,1.3462300300606724,2.8981980935678053e-07
4.446019138436567,1.3631392794343509,2.926529662152969e-07
4.50186312100512,1.3802609165188937,2.955653480133966e-07
4.558408528891921,1.3975976089986386,2.9855958254761343e-07
4.615664172311689,1.4151520580652295,3.0163840306722596e-07
4.673638972139364,1.4329269988384798,3.048046532568746e-07
4.732341961300054,1.450925200792528,3.0806129248704315e-07
4.791782286176433,1.4691494681873425,3.1141140134845396e-07
4.851969208033823,1.4876026405056482,3.1485818748747894e-07
4.912912104463162,1.5062875928953368,3.1840499176080657e-07
4.974620470842114,1.5252072366174405,3.2205529472882134e-07
5.037103921814518,1.5443645194997284,3.2581272350845043e-07
5.100372192788429,1.563762426396,3.2968105900764077e-07
5.164435141452966,1.5834039796511499,3.336642435651211e-07
5.229302749314218,1.6032922395720712,3.3776638902072654e-07
5.294985123250439,1.623430304904476,3.4199178524328716e-07
5.361492497086785,1.6438213133157056,3.463449091449505e-07
5.428835233189813,1.6644684418836,3.508304342128027e-07
5.497023824082025,1.685374907591514,3.5545324059081053e-07
5.566068894076688,1.7065439678295489,3.602184257474201e-07
5.635981200933172,1.7279789209020748,3.6513131576663697e-07
5.7067716375331115,1.7496831065416396,3.7019747730310177e-07
5.778451233577581,1.7716599064293168,3.7542273024455717e-07
5.851031157305622,1.7939127447216034,3.8081316112822487e-07
5.924522717234341,1.8164450885839312,3.863751373609599e-07
5.998937363920852,1.83926044873087,3.9211532229667257e-07
6.074286691746384,1.8623623799731353,3.980406912284193e-07
6.150582440722751,1.8857544817714464,4.0415854835676653e-07
6.2278364983215555,1.909440398797356,4.104765448005951e-07
6.3060609013263464,1.933423821501117,4.1700269772142244e-07
6.385267837708031,1.9577084866866783,4.237454106376327e-07
6.465469648523876,1.9822981780939193,4.30713495010757e-07
6.546678829840322,2.0071967269881736,4.379161931921424e-07
6.628908034679973,2.0324080127571764,4.4536320282509176e-07
6.7121700749930495,2.0579359635155066,4.5306470280482023e-07
6.7964779236535655,2.0837845567166076,4.6103138090645477e-07
6.881844716480629,2.109957819772516,4.6927446319986347e-07
6.968283754285082,2.136459830681357,4.778057453793306e-07
7.055808504941882,2.163294718662729,4.866376261461606e-07
7.144432605488508,2.190466664801073,4.957831427931748e-07
7.234169864249701,2.217979902697112,5.052560091518915e-07
