model,instrument,mean_same_k_interband_strength
chern_texture,paper_complete_HS_vertex_basis,1.0
chern_texture,scalar_identity_vertex_q0,2.8636832238277946e-17
chern_texture,orbital_sigma_x_vertex_q0,0.7160417492794416
constant_trivial_texture,paper_complete_HS_vertex_basis,0.9999999999999998
constant_trivial_texture,scalar_identity_vertex_q0,0.0
constant_trivial_texture,orbital_sigma_x_vertex_q0,1.0
