kx_over_2pi_mod,ky_over_2pi_mod,initial_trace_deviation,exact_trace_deviation,small_q_trace_deviation,initial_half_trace,initial_half_curvature,exact_half_trace,exact_half_curvature,small_q_half_trace,small_q_half_curvature
0.0,0.0,0.0,0.0,0.0,0.039999999999730536,-0.039999999999730536,0.000145462884693776,-0.000145462884693776,0.044929212429735604,-0.044929212429735604
0.0,0.0070921985815602835,2.5563437894282615e-09,4.238338608027192e-11,3.1949395351560383e-09,0.040004767533521085,-0.040004764977177296,0.00014538723298285861,-0.00014538719059947253,0.0449361820453545,-0.04493617885041497
0.0,0.014184397163120567,4.095842359025381e-08,6.778544466999516e-10,5.124174672077597e-08,0.040019091365788,-0.04001905040736441,0.00014516082207632251,-0.00014516014422187581,0.044957108810037116,-0.044957057568290396
0.0,0.02127659574468085,2.07833569000615e-07,3.4292821602408072e-09,2.604559046423538e-07,0.04004303539580337,-0.040042827562234366,0.00014478528214928124,-0.000144781852867121,0.04499204532645122,-0.04499178487054658
0.0,0.028368794326241134,6.589959243297194e-07,1.0827828924057578e-08,8.278521832216779e-07,0.04007670679699474,-0.04007604780107041,0.0001442633218330352,-0.00014425249400411115,0.04504107544457138,-0.04504024759238816
0.0,0.03546099290780142,1.6156274180584296e-06,2.6402614747831656e-08,2.0360797551785548e-06,0.04012025704912658,-0.04011864142170852,0.00014359871579341626,-0.00014357231317866842,0.04510430858561863,-0.045102272505863454
0.0,0.0425531914893617,3.367388089335621e-06,5.46664339882996e-08,4.2607393614252365e-06,0.040173883396440256,-0.04017051600835092,0.000142796287476238,-0.0001427416210422497,0.045181871919065225,-0.0451776111797038
0.0,0.04964539007092199,6.276514375437581e-06,1.0109771326241275e-07,7.980501021923048e-06,0.04023783077317675,-0.04023155425880131,0.00014186188715896347,-0.00014176078944570106,0.04527390054413482,-0.045265920043112896
0.0,0.05673758865248227,1.0782983533547119e-05,1.721189557628538e-07,1.3790574345112772e-05,0.04031239421129812,-0.04030161122776457,0.000140802365484257,-0.00014063024652849414,0.045380525908816735,-0.04536673533447162
0.0,0.06382978723404255,1.7410843437482004e-05,2.750719757677869e-07,2.2420225818386985e-05,0.040397921788409646,-0.040380510944972164,0.00013962554269503265,-0.00013935047071926486,0.04550186280715017,-0.04547944258133178
0.0,0.07092198581560284,2.6775831519616766e-05,4.1819028857295257e-07,3.4755188676113824e-05,0.0404948181492683,-0.040468042317748684,0.0001383401738289003,-0.00013792198354032736,0.04563799543226486,-0.04560324024358875
0.0,0.07801418439716312,3.9594433394136985e-05,6.105690856702259e-07,5.1865970154878205e-05,0.04060354867964282,-0.04056395424624868,0.00013695591017555612,-0.0001363453410898859,0.04578896312963522,-0.04573709715948034
0.0,0.0851063829787234,5.669456408906315e-05,8.621332941076236e-07,7.504322617524206e-05,0.04072464438978604,-0.04066794982569698,0.00013548325734127114,-0.00013462112404716352,0.04595474669160798,-0.045879703465432735
0.0,0.09219858156028368,7.902809046361065e-05,1.1836042928065006e-06,0.00010584154162042447,0.04085870761368804,-0.04077967952322443,0.0001339335303136084,-0.0001327499260208019,0.046135256257748704,-0.04602941471612828
0.0,0.09929078014184398,0.00010768545766310506,1.5864659392322465e-06,0.00014613312114075683,0.04100641861338018,-0.04089873315571708,0.00013231880596336498,-0.00013073234002413273,0.04633032213106558,-0.046184189009924825
0.0,0.10638297872340426,0.00014391273158080586,2.082930647403418e-06,0.0001981730554315858,0.04116854323183371,-0.0410246305002529,0.00013065187347457272,-0.0001285689428271693,0.046539690080640087,-0.0463415170252085
0.0,0.11347517730496454,0.00018913143124729692,2.6859063557091998e-06,0.0002646779747857292,0.04134594172803617,-0.04115681029678887,0.00012894618324320537,-0.00012626027688749617,0.04676302296736021,-0.04649834499257448
0.0,0.12056737588652482,0.0002449615944524197,3.408965330753232e-06,0.00034892002808032535,0.04153957899007528,-0.04129461739562286,0.00012721579484542225,-0.00012380682951466902,0.0469999107899039,-0.04665099076182357
0.0,0.1276595744680851,0.0003132486081007316,4.266315875527696e-06,0.000454838223024126,0.04175053632249805,-0.041437287714397315,0.0001254753247350638,-0.0001212090088595361,0.047249891489906264,-0.04679505326688214
