sweep,onsite_u,nearest_v,time,dirichlet_energy,chern_mesh_integral,chern_solid_angle,max_norm_error
fixed_U,8.0,0.0,0.0,5.651218690665427,0.9999999999638814,1.0000000000000002,2.220446049250313e-16
fixed_U,8.0,0.0,0.1,5.555834037329472,0.999999999972329,1.0000000000000002,2.220446049250313e-16
fixed_U,8.0,0.0,0.2,5.455984879182156,0.999999999979029,1.0,2.220446049250313e-16
fixed_U,8.0,0.0,0.3,5.3518913184015595,0.999999999984273,1.0000000000000002,2.220446049250313e-16
fixed_U,8.0,0.0,0.4,5.243865682612823,0.9999999999883252,1.0,2.220446049250313e-16
fixed_U,8.0,0.0,0.5,5.132320121160959,0.9999999999914173,1.0,2.220446049250313e-16
fixed_U,8.0,0.0,0.6,5.017771612175977,0.9999999999937488,1.0000000000000002,2.220446049250313e-16
fixed_U,8.0,0.0,0.7000000000000001,4.900843438080499,0.9999999999954872,1.0,2.220446049250313e-16
fixed_U,8.0,0.0,0.8,4.782262211752007,0.9999999999967691,1.0000000000000002,2.220446049250313e-16
fixed_U,8.0,0.0,0.9,4.662849661395473,0.9999999999977056,1.0,2.220446049250313e-16
fixed_U,8.0,0.0,1.0,4.543508624949988,0.9999999999983828,1.0000000000000002,2.220446049250313e-16
fixed_U,8.0,0.0,1.1,4.425203068067141,0.9999999999988687,1.0,2.220446049250313e-16
fixed_U,8.0,0.0,1.2,4.308932410666381,0.9999999999992141,1.0,2.220446049250313e-16
fixed_U,8.0,0.0,1.3,4.195700994503385,0.9999999999994579,1.0,2.220446049250313e-16
fixed_U,8.0,0.0,1.4000000000000001,4.0864840981112645,0.9999999999996284,1.0,2.220446049250313e-16
fixed_U,8.0,0.0,1.5,3.9821924397330464,0.999999999999747,1.0000000000000002,2.220446049250313e-16
fixed_U,8.0,0.0,1.6,3.883637526385972,0.9999999999998291,1.0,2.220446049250313e-16
fixed_U,8.0,0.0,1.7,3.791500428541962,0.9999999999998852,1.0,2.220446049250313e-16
fixed_U,8.0,0.0,1.8,3.7063065157250747,0.9999999999999235,1.0000000000000002,2.220446049250313e-16
fixed_U,8.0,0.0,1.9000000000000001,3.628408335643617,0.9999999999999493,1.0,2.220446049250313e-16
fixed_U,8.0,0.0,2.0,3.557978159405301,0.9999999999999665,1.0000000000000002,2.220446049250313e-16
fixed_U,8.0,0.0,2.1,3.4950108066106345,0.9999999999999781,1.0,2.220446049250313e-16
fixed_U,8.0,0.0,2.2,3.4393363245317854,0.9999999999999855,1.0,2.220446049250313e-16
fixed_U,8.0,0.0,2.3000000000000003,3.3906410857226703,0.9999999999999643,1.0,2.220446049250313e-16
fixed_U,8.0,0.0,2.4,3.3484950574497883,0.9999999999988542,1.0000000000000002,2.220446049250313e-16
fixed_U,8.0,0.0,2.5,3.312382519391063,0.9999999999661892,1.0,2.220446049250313e-16
fixed_U,8.0,0.0,2.6,3.2817334279017953,0.9999999992866747,1.0000000000000002,2.220446049250313e-16
fixed_U,8.0,0.0,2.7,3.255952923483246,0.9999999890102256,1.0,2.220446049250313e-16
