time,chern,metric_integral,dirichlet_energy,jump_metric_estimator,absolute_curvature_integral,opposite_curvature_fraction,max_norm_error,hopping_energy,hopping_component,dirichlet_component,total_energy
0.0,1.0,11.302437381060138,5.651218690530069,11.257936398309356,8.424022212362384,0.40526740123622684,2.220446049250313e-16,-1.4292093200758755,-0.03573023300189689,0.3578676042163805,0.3221373712144836
0.1,1.0,11.240048225982399,5.620024112991199,11.197551339506909,8.417154913468583,0.40526740123622684,2.220446049250313e-16,-1.4292004746850102,-0.03573001186712526,0.3558921845167174,0.3201621726495921
0.2,1.0000000000000002,11.182636616101632,5.591318308050816,11.141792705825655,8.409882097853496,0.4041924213920989,2.220446049250313e-16,-1.4291750141595274,-0.03572937535398819,0.3540743681829888,0.31834499282900064
0.3,1.0000000000000002,11.129222348292098,5.564611174146049,11.089781828998003,8.402648154360556,0.40096748185971515,2.220446049250313e-16,-1.4291343066637592,-0.035728357666593984,0.3523831191711604,0.3166547615045664
0.4,1.0000000000000002,11.079128047496958,5.539564023748479,11.040904171179559,8.395457330211128,0.39774254232733136,2.220446049250313e-16,-1.4290794784154304,-0.03572698696038576,0.35079698984294205,0.31507000288255627
0.5,1.0,11.03185846501138,5.51592923250569,10.994706185933506,8.387934030306598,0.39559258263907554,2.220446049250313e-16,-1.4290114827611042,-0.035725287069027604,0.3493002992030302,0.3135750121340026
0.6,1.0000000000000002,10.987036443090133,5.493518221545067,10.950839845995283,8.380096502358617,0.39559258263907554,2.220446049250313e-16,-1.4289311434496608,-0.03572327858624152,0.3478811053548103,0.3121578267685688
0.7000000000000001,1.0000000000000002,10.944365716170385,5.472182858085192,10.909030053233076,8.372255909201588,0.39236764310669175,2.220446049250313e-16,-1.4288391835404355,-0.035720979588510886,0.3465300276803141,0.3108090480918032
0.8,1.0000000000000002,10.90360780753736,5.45180390376868,10.869054202624525,8.364388143648778,0.38914270357430797,2.220446049250313e-16,-1.42873624566444,-0.035718406141611,0.3452395153223503,0.30952110918073933
0.9,1.0,10.864566921251686,5.432283460625843,10.830728707845942,8.357056938182573,0.38376780435366836,2.220446049250313e-16,-1.4286229067662182,-0.035715572669155454,0.3440033688195658,0.30828779615041035
1.0,1.0000000000000002,10.827079648253921,5.4135398241269606,10.793899754671578,8.349958216589204,0.38269282450954045,2.220446049250313e-16,-1.428499689156955,-0.03571249222892388,0.34281641417217296,0.3071039219432491
1.1,1.0000000000000002,10.791007713302461,5.395503856651231,10.75843674504884,8.342498989141989,0.38161784466541254,2.220446049250313e-16,-1.4283670690090926,-0.03570917672522732,0.3416742731891882,0.30596509646396086
1.2,1.0,10.756232719566592,5.378116359783296,10.724227520636425,8.334595954163325,0.37839290513302876,2.220446049250313e-16,-1.428225483021189,-0.03570563707552973,0.34057319708716527,0.30486756001163556
1.3,1.0,10.722652249410608,5.361326124705304,10.691174801611183,8.326560514112947,0.37731792528890085,2.220446049250313e-16,-1.4280753337400112,-0.03570188334350028,0.3395099430298308,0.3038080596863305
1.4000000000000001,1.0000000000000002,10.69017691196579,5.345088455982895,10.65919347841029,8.318224834095803,0.37516796560064497,2.220446049250313e-16,-1.4279169938753393,-0.035697924846883486,0.33848168064573914,0.30278375579885564
1.5,1.0000000000000002,10.658728067770415,5.3293640338852075,10.6282085163549,8.309776729606913,0.37516796560064497,2.220446049250313e-16,-1.4277508098446363,-0.03569377024611591,0.3374859199838457,0.3017921497377298
1.6,1.0,10.628236047846325,5.314118023923163,10.598153309784403,8.30111471425541,0.37194302606826124,2.220446049250313e-16,-1.4275771047190633,-0.03568942761797658,0.33652045512435996,0.30083102750638335
1.7,1.0000000000000002,10.598638740555801,5.2993193702779005,10.568968371873321,8.292428200793049,0.3708680462241333,2.220446049250313e-16,-1.4273961806972826,-0.035684904517432066,0.3355833194345781,0.29989841491714603
1.8,1.0000000000000002,10.5698804565311,5.28494022826555,10.540600279168842,8.283935060739598,0.36871808653587745,2.220446049250313e-16,-1.4272083212019384,-0.03568020803004846,0.3346727496292952,0.29899254159924676
1.9000000000000001,1.0,10.541911006938694,5.270955503469347,10.51300081219415,8.275245445537585,0.36764310669174954,2.220446049250313e-16,-1.427013792671128,-0.0356753448167782,0.3337871565860054,0.2981118117692272
2.0,1.0000000000000002,10.514684947570807,5.257342473785403,10.486126248920302,8.266586386995465,0.36441816715936576,2.220446049250313e-16,-1.4268128461007468,-0.03567032115251867,0.3329251014106708,0.2972547802581521
2.1,1.0,10.488160953372374,5.244080476686187,10.459936778818557,8.25825411047384,0.35904326793872615,2.220446049250313e-16,-1.4266057183814438,-0.03566514295953609,0.3320852756334496,0.2964201326739135
2.2,1.0000000000000002,10.462301296674868,5.231150648337434,10.434396013034588,8.250285421299411,0.35689330825047033,2.220446049250313e-16,-1.4263926334648054,-0.03565981583662014,0.3312664846880822,0.29560666885146203
2.3000000000000003,1.0000000000000002,10.43707140869923,5.218535704349615,10.409470571928086,8.242304942838775,0.35474334856221446,2.220446049250313e-16,-1.42617380338646,-0.0356543450846615,0.3304676340278149,0.29481328894315345
2.4,1.0,10.412439508521794,5.206219754260897,10.385129735435328,8.234202812203003,0.35474334856221446,2.220446049250313e-16,-1.4259494291684602,-0.035648735729211505,0.3296877173773969,0.29403898164818537
