time,exact_dirichlet_energy,small_q_dirichlet_energy,exact_chern_solid_angle,small_q_chern_solid_angle,exact_chern_mesh_integral,small_q_chern_mesh_integral,exact_centered_dirichlet_energy,small_q_centered_dirichlet_energy,exact_centered_chern_mesh_integral,small_q_centered_chern_mesh_integral,exact_opposite_curvature_fraction,small_q_opposite_curvature_fraction,exact_max_norm_error,small_q_max_norm_error
0.0,5.651218690607489,5.651218690607489,1.0000000000000002,1.0000000000000002,0.9999999999999999,0.9999999999999999,5.643321987026283,5.643321987026283,0.9984827827845653,0.9984827827845653,0.40566369900910415,0.40566369900910415,2.220446049250313e-16,2.220446049250313e-16
0.04,5.616709931098999,5.638922900330046,1.0,1.0000000000000002,1.0,0.9999999999999999,5.608946974927917,5.631176489256862,0.9985159330703492,0.9985039730113545,0.40566369900910415,0.40506010764046074,2.220446049250313e-16,2.220446049250313e-16
0.08,5.5815999718630716,5.627068631619703,1.0,1.0,1.0,1.0,5.573969568163933,5.6194596192230355,0.9985486015972104,0.9985239711786942,0.40566369900910415,0.40445651627181733,2.220446049250313e-16,2.220446049250313e-16
0.12,5.545895083422639,5.615610399508567,1.0,1.0,0.9999999999999999,1.0,5.538395868548317,5.608127972680909,0.9985807384111482,0.9985428916256561,0.405462501886223,0.40445651627181733,2.220446049250313e-16,2.220446049250313e-16
0.16,5.509602891447841,5.604510984053171,1.0000000000000002,1.0,0.9999999999999999,1.0,5.502233330362946,5.597145917985821,0.9986122928814545,0.9985608356221657,0.405462501886223,0.4034505306574116,2.220446049250313e-16,2.220446049250313e-16
0.2,5.472732440432368,5.593739308474946,1.0000000000000002,1.0,0.9999999999999999,0.9999999999999999,5.465490824241442,5.586483625682015,0.9986432137610463,0.9985778920753183,0.4052613047633419,0.40244454504300586,2.220446049250313e-16,2.220446049250313e-16
0.24,5.435294255762159,5.583269006251441,0.9999999999999999,1.0000000000000002,1.0,1.0,5.428178699434819,5.576115730577795,0.9986734492428947,0.9985941389046283,0.4052613047633419,0.4014385594286002,2.220446049250313e-16,2.220446049250313e-16
0.28,5.3973004036174395,5.5730774119250395,1.0,0.9999999999999999,1.0,1.0,5.390308843894571,5.566020385465078,0.9987029470109432,0.9986096445088105,0.4052613047633419,0.4002313766913133,2.220446049250313e-16,2.220446049250313e-16
0.32,5.358764548109234,5.563144826545593,1.0,0.9999999999999999,1.0,1.0,5.351894741568525,5.556178569963406,0.9987316542837416,0.9986244691183,0.40506010764046074,0.3988229968311453,2.220446049250313e-16,2.220446049250313e-16
0.36,5.319702005013714,5.553453968571149,1.0,1.0000000000000002,1.0,1.0,5.312951526266395,5.546573572338821,0.9987595178488633,0.9986386659745714,0.40506010764046074,0.39842060258538303,2.220446049250313e-16,2.220446049250313e-16
0.4,5.280129791432627,5.543989554228577,1.0,1.0,0.9999999999999999,0.9999999999999999,5.2734960314162915,5.537190592473628,0.9987864840859912,0.9986522823338062,0.4048589105175796,0.39761581409385843,2.220446049250313e-16,2.220446049250313e-16
0.44,5.24006667067651,5.534737970761104,0.9999999999999997,0.9999999999999999,0.9999999999999999,0.9999999999999999,5.233546835001375,5.528016432012807,0.9988124989763967,0.9986653603123251,0.4048589105175796,0.39721341984809616,2.220446049250313e-16,2.220446049250313e-16
0.48,5.199533191640296,5.525687017886384,1.0,1.0,1.0,1.0,5.193124298938125,5.519039248690878,0.9988375080963535,0.99867793759634,0.4048589105175796,0.3962074342336905,2.220446049250313e-16,2.220446049250313e-16
0.52,5.158551721918938,5.516825700351417,1.0,1.0,1.0,1.0,5.152250602135194,5.510248358846292,0.9988614565918639,0.9986900480379649,0.4048589105175796,0.3954026457421659,2.220446049250313e-16,2.220446049250313e-16
0.56,5.117146473894999,5.508144059432358,1.0,1.0000000000000002,0.9999999999999999,1.0,5.110949766455614,5.501634076739039,0.9988842891318881,0.9987017221568492,0.4048589105175796,0.3947990543735225,2.220446049250313e-16,2.220446049250313e-16
0.6,5.075343523021451,5.499633034571561,1.0,1.0,1.0,1.0,5.069247674795804,5.493187582401818,0.9989059498371099,0.9987129875637965,0.40465771339469847,0.39339067451335447,2.220446049250313e-16,2.220446049250313e-16
0.64,5.033170817522169,5.491284348652345,0.9999999999999999,1.0,0.9999999999999999,1.0,5.027172080493649,5.484900811909835,0.9989263821810851,0.9987238693199088,0.404054122026055,0.39278708314471106,2.220446049250313e-16,2.220446049250313e-16
0.68,4.990658178740675,5.483090412037961,1.0,1.0000000000000002,0.9999999999999999,1.0,4.9847526072854365,5.476766365475485,0.998945528860452,0.9987343902423487,0.404054122026055,0.3921834917760676,2.220446049250313e-16,2.220446049250313e-16
0.72,4.947837291385426,5.475044241668064,1.0,1.0,0.9999999999999999,1.0,4.942020739048677,5.468777429868029,0.9989633316307087,0.9987445711657705,0.40365172778029274,0.3909763090387807,2.220446049250313e-16,2.220446049250313e-16
