kx_over_2pi_mod,ky_over_2pi_mod,exact_half_trace,exact_half_curvature,small_q_half_trace,small_q_half_curvature
0.0,0.0,8.721080929935005e-07,-8.721080929935004e-07,0.05134553400730267,-0.05134553400730268
0.0,0.0070921985815602835,8.713038620262738e-07,-8.713034619057908e-07,0.0513460769218921,-0.05134606840944899
0.0,0.014184397163120567,8.688974018955587e-07,-8.688910058871798e-07,0.05134761693544303,-0.05134748034711045
0.0,0.02127659574468085,8.649073634378622e-07,-8.648750335299316e-07,0.051349890273411816,-0.05134919550826946
0.0,0.028368794326241134,8.593646734971654e-07,-8.592627153481568e-07,0.051352465384878615,-0.05135025502495869
0.0,0.03546099290780142,8.523122993997829e-07,-8.520640680651151e-07,0.05135475512012023,-0.05134931296605607
0.0,0.0425531914893617,8.438049218078702e-07,-8.432919326065585e-07,0.05135603391076662,-0.051344632855064014
0.0,0.04964539007092199,8.339085185210048e-07,-8.32961945793276e-07,0.0513554600756982,-0.05133408323720039
0.0,0.05673758865248227,8.226998624949151e-07,-8.210925057197173e-07,0.0513521033993447,-0.05131513232226369
0.0,0.06382978723404255,8.102659380295476e-07,-8.07704730805269e-07,0.05134497814412996,-0.05128484172849513
0.0,0.07092198581560284,7.967032797278515e-07,-7.928224124972612e-07,0.05133308166429629,-0.051239859347916014
0.0,0.07801418439716312,7.821172394498637e-07,-7.764719616028893e-07,0.05131543878276952,-0.051176411344943766
0.0,0.0851063829787234,7.666211870671412e-07,-7.586823482177776e-07,0.051291152075450736,-0.051090293287939716
0.0,0.09219858156028368,7.503356513691834e-07,-7.394850352153317e-07,0.051259458177352515,-0.05097686039790909
0.0,0.09929078014184398,7.3338740796815e-07,-7.189139052476489e-07,0.051219790181897255,-0.0508310168807843
0.0,0.10638297872340426,7.159085215033818e-07,-6.97005181202779e-07,0.05117184614799112,-0.05064720429070894
0.0,0.11347517730496454,6.980353498434655e-07,-6.737973400456397e-07,0.05111566365872941,-0.050419388853002546
0.0,0.12056737588652482,6.799075183337077e-07,-6.493310199582739e-07,0.05105170029051535,-0.05014104765911813
0.0,0.1276595744680851,6.616668724250841e-07,-6.236489206731351e-07,0.050980919751456216,-0.04980515363430696
0.0,0.1347517730496454,6.434564172564542e-07,-5.967956968727547e-07,0.05090488333259544,-0.04940415917478672
0.0,0.14184397163120568,6.254192529360149e-07,-5.688178445013117e-07,0.05082584618411952,-0.04892997835847699
0.0,0.14893617021276595,6.076975143843824e-07,-5.397635798015882e-07,0.05074685778009626,-0.048373967655694856
0.0,0.15602836879432624,5.904313246576197e-07,-5.096827108515019e-07,0.05067186576819914,-0.04772690510796044
0.0,0.16312056737588654,5.737577706684702e-07,-4.786265013306491e-07,0.0506058222137076,-0.046978968009304796
0.0,0.1702127659574468,5.578099101623207e-07,-4.46647526188534e-07,0.05055479103764035,-0.04611970922029764
0.0,0.1773049645390071,5.427158186927069e-07,-4.1379951882577587e-07,0.05052605521501494,-0.045138032376419786
0.0,0.18439716312056736,5.28597685171874e-07,-3.801372093167489e-07,0.050528222038030444,-0.044022166425135005
0.0,0.19148936170212766,5.155709643573722e-07,-3.4571615311376486e-07,0.0505713244576734,-0.042759640146482654
0.0,0.19858156028368795,5.037435943753237e-07,-3.105925495608604e-07,0.05066691619275544,-0.041337257586302016
0.0,0.20567375886524822,4.932152870811366e-07,-2.748230494151122e-07,0.050828157934692954,-0.03974107566512377
0.0,0.2127659574468085,4.840768987279166e-07,-2.384645504207504e-07,0.05106989157709868,-0.037956385624887574
0.0,0.2198581560283688,4.7640988805519333e-07,-2.0157397979598254e-07,0.051408698959454616,-0.035967700443785194
0.0,0.22695035460992907,4.7028586853824243e-07,-1.6420806227904195e-07,0.051862941133781384,-0.03375875088968096
0.0,0.23404255319148937,4.657662611592655e-07,-1.264230721252755e-07,0.05245277364365032,-0.03131249349410564
0.0,0.24113475177304963,4.629020536844548e-07,-8.827456714622864e-08,0.053200132751465345,-0.02861113440884713
0.0,0.24822695035460993,4.6173367207349093e-07,-4.981710253615897e-08,0.0541286869713691,-0.025636173846655872
0.0,0.2553191489361702,4.6229096931643776e-07,-1.1103921819073322e-08,0.05526374767685587,-0.022368476591956135
0.0,0.2624113475177305,4.6459333670267475e-07,2.7813378216229754e-08,0.05663213197663683,-0.0187883748734446
0.0,0.2695035460992908,4.6864994229318357e-07,6.688521227000088e-08,0.058261970522141215,-0.01487581068377116
0.0,0.2765957446808511,4.74460101195704e-07,1.0606440525480644e-07,0.060182452469949514,-0.010610525365680877
0.0,0.28368794326241137,4.820137821444695e-07,1.4530662994874013e-07,0.062423499531728585,-0.0059723048956385905
0.0,0.2907801418439716,4.912922548596217e-07,1.8457088925911366e-07,0.06501536097952575,-0.0009412897044494997
0.0,0.2978723404255319,5.022688826907703e-07,2.2382004952332662e-07,0.06798812173117702,0.004501642022117409
0.0,0.3049645390070922,5.149100650980427e-07,2.6302143196873796e-07,0.0713711163352566,0.01037440894449886
0.0,0.3120567375886525,5.291763345196544e-07,3.021474699991471e-07,0.07519224294352767,0.016693171352003437
