grid_size,shift_steps,q,q_squared,density_probe_metric_estimator,metric_integral,topological_bound
101,1,0.062209755516629564,0.0038700536814388225,11.294730762799617,11.302437381214974,6.283185307179586
101,2,0.12441951103325913,0.01548021472575529,11.271742083686494,11.302437381214974,6.283185307179586
101,3,0.1866292665498887,0.03483048313294941,11.233853507915008,11.302437381214974,6.283185307179586
101,4,0.24883902206651826,0.06192085890302116,11.1816663682501,11.302437381214974,6.283185307179586
101,5,0.3110487775831478,0.09675134203597055,11.115954933113956,11.302437381214974,6.283185307179586
