time,chern,metric_integral,dirichlet_energy,jump_metric_estimator,absolute_curvature_integral,opposite_curvature_fraction,max_norm_error,hopping_energy,hopping_component,dirichlet_component,total_energy
0.0,1.0,11.30243738121492,5.65121869060746,11.25793639835322,8.423280725319215,0.4084743179393385,2.220446049250313e-16,-1.4292093200758782,-0.035730233001896955,0.35786760422128133,0.32213737121938435
0.05,1.0,11.270331676043826,5.635165838021913,11.22690159264988,8.419655161859387,0.4060356652949246,2.220446049250313e-16,-1.429207048687193,-0.035730176217179825,0.35685104545577906,0.3211208692385992
0.1,1.0,11.239672877207994,5.619836438603997,11.197202813641233,8.416066072984004,0.40359701265051057,2.220446049250313e-16,-1.4292003878173636,-0.03573000969543409,0.3558802998973107,0.3201502902018766
0.15,1.0000000000000002,11.21028255720519,5.605141278602595,11.168682319734447,8.412695467543102,0.4011583600060966,2.220446049250313e-16,-1.4291895458197095,-0.03572973864549274,0.3549497180190884,0.3192199793735957
0.2,1.0,11.182019610519589,5.5910098052597945,11.141214232143925,8.409401616649019,0.39993903368388967,2.220446049250313e-16,-1.42917470725981,-0.035729367681495254,0.35405483201552423,0.318325464334029
0.25,1.0000000000000002,11.15476956418204,5.57738478209102,11.114695663488217,8.406109528206068,0.39932937052278616,2.220446049250313e-16,-1.4291560376130894,-0.035728900940327234,0.35319201734389016,0.31746311640356295
0.3,1.0000000000000002,11.128437665753454,5.564218832876727,11.089040906594189,8.402728473356337,0.39871970736168266,2.220446049250313e-16,-1.4291336866857518,-0.035728342167143795,0.35235827387003577,0.316629931702892
0.35000000000000003,1.0,11.102944196281141,5.551472098140571,11.064177453237443,8.399250956760639,0.39871970736168266,2.220446049250313e-16,-1.4291077911880767,-0.03572769477970192,0.35155107746313435,0.31582338268343246
0.4,1.0000000000000002,11.078221170691076,5.539110585345538,11.040043167037654,8.395712842636271,0.3975003810394757,2.220446049250313e-16,-1.429078476720991,-0.035726961918024776,0.3507682755206328,0.315041313602608
0.45,1.0,11.054209943222043,5.527104971611021,11.016584216284054,8.392098836109401,0.3975003810394757,2.220446049250313e-16,-1.4290458593427293,-0.035726146483568234,0.35000801114942404,0.3142818646658558
0.5,1.0,11.030859425262621,5.5154297126313105,10.993753525123617,8.388407608051194,0.3962810547172687,2.220446049250313e-16,-1.4290100468266278,-0.035725251170665696,0.34926866673745205,0.31354341556678633
0.55,1.0,11.008124730393522,5.504062365196761,10.971509588934955,8.38471069875977,0.3950617283950617,2.220446049250313e-16,-1.4289711396864386,-0.03572427849216097,0.34854882105186313,0.31282454255970216
