model,mass,grid_size,q,q_squared,jump_metric_estimator,metric_integral,relative_error
paper_topological,-0.5,121,0.4,0.16000000000000003,11.000294817491488,11.302437381214977,-0.02673251384039163
paper_topological,-0.5,121,0.32,0.1024,11.105438381418036,11.302437381214977,-0.0174297802458397
paper_topological,-0.5,121,0.25,0.0625,11.180561253660908,11.302437381214977,-0.010783172110878588
paper_topological,-0.5,121,0.19,0.0361,11.231385910017234,11.302437381214977,-0.006286384856759542
paper_topological,-0.5,121,0.14,0.019600000000000003,11.263631305977759,11.302437381214977,-0.0034334253690903277
paper_topological,-0.5,121,0.1,0.010000000000000002,11.282568842178486,11.302437381214977,-0.0017578986165862718
paper_topological,-0.5,121,0.07,0.004900000000000001,11.292683495998656,11.302437381214977,-0.0008629895382152487
trivial_control,-3.0,121,0.4,0.16000000000000003,1.4927159443433493,1.5295781812862972,-0.024099609548528352
trivial_control,-3.0,121,0.32,0.1024,1.5057452735932544,1.5295781812862972,-0.015581359609222816
trivial_control,-3.0,121,0.25,0.0625,1.514927094043828,1.5295781812862972,-0.009578514796901982
trivial_control,-3.0,121,0.19,0.0361,1.5210749916644144,1.5295781812862972,-0.005559172931410437
trivial_control,-3.0,121,0.14,0.019600000000000003,1.5249475072928371,1.5295781812862972,-0.0030274189643355828
trivial_control,-3.0,121,0.1,0.010000000000000002,1.5272114110598691,1.5295781812862972,-0.0015473352427384445
trivial_control,-3.0,121,0.07,0.004900000000000001,1.5284173708823148,1.5295781812862972,-0.0007589088404792966
