L,V,W,sample,mu_star,omega_av,omega_typ,gap_ratio,ipr,chi_typ_r,chi_av_r,chi_typ,tilde_chi_typ_r,tilde_chi_av_r,tilde_chi_typ
4,64,0.2,0,0.8414278331568877,0.10116031351344901,0.03213982708123009,0.3196236627582479,0.04086355126984493,0.06859927645168178,0.07278664343129587,33.58537847372226,0.05772134054086891,0.0612447076651583,1.0794282566031006
4,64,0.2,1,0.8373441140493901,0.10066935007138482,0.030465381274716288,0.30043458379914734,0.040556363555026925,0.07564614334688258,0.07966124210412953,57.908143317769735,0.06334185288204856,0.06670387219375631,1.7641936650867691
4,64,0.2,2,0.8330144688661869,0.10014882026850015,0.02639377692787097,0.24405124892048313,0.04320954805845521,0.0722556039429783,0.07600635989578224,94.89183755868686,0.060189963541165625,0.0633143975190373,2.504553992799749
4,64,0.2,3,0.8439972939380649,0.1014692258740126,0.03594545513265566,0.4033176829291948,0.04080221117135108,0.07698622008463103,0.0795271806114518,37.86005992494129,0.0649761614219489,0.06712072523058905,1.3608970853516318
4,64,0.35,0,0.8281609854517579,0.09956531223074734,0.03830871187212839,0.25901381160377634,0.044282059088300726,0.08108572408623665,0.08379324418375941,28.423905757653465,0.06715203316532709,0.06939429567742197,1.0888832159504778
4,64,0.35,1,0.8364451243569476,0.10056126940712673,0.033018958788247135,0.3067600348564015,0.040606503880699564,0.0804912366421554,0.08357473512260895,39.19412218280306,0.06732650244279217,0.0699056797127296,1.2941491050954972
4,64,0.35,2,0.8307527080988517,0.09987690101494084,0.025757930574353945,0.24013011709143656,0.04000210648684383,0.08270397076764108,0.08571467000146246,114.69752993154954,0.06870654768574609,0.07120769422751434,2.9543710130267367
4,64,0.35,3,0.8360234643256945,0.10051057550412423,0.028844723706343976,0.30668828557006605,0.04162795989653235,0.07731314473958585,0.08020050262134294,50.56277172118181,0.06463560310310242,0.06704950204215707,1.4584691801244318
4,64,0.5,0,0.8192176203505763,0.09849009985738617,0.04732884100234132,0.4017613486388569,0.04246356002317543,0.08830678771767753,0.09041057193392446,43.363863320152305,0.07234247649487928,0.0740659335942442,2.052361392326749
4,64,0.5,1,0.8317391063212344,0.09999549033358861,0.03307679244472827,0.2258600531272651,0.0430681133074508,0.08107911838547778,0.08446647833126177,95.11925292780587,0.06743667346725085,0.07025407320134557,3.1462397865906464
4,64,0.5,2,0.8298752581231473,0.0997714099542261,0.041718193963255,0.3019592454098418,0.038500962910299225,0.08517568660900134,0.08828592806636372,30.51985595668597,0.07068519491046128,0.0732663073427152,1.2732332705316287
4,64,0.5,3,0.8189439995371975,0.09845720390817404,0.049068773891877686,0.3817582925980469,0.043122055346259666,0.08576520958994177,0.08866529762449171,23.77521773730319,0.07023690376273292,0.07261191345675723,1.16662078338189
4,64,0.75,0,0.8047745363264459,0.09675368604932322,0.04615825052177011,0.5328240081900115,0.040014804161437774,0.09471487996621077,0.09816118691797014,31.380993755243615,0.07622412360802225,0.07899762368716301,1.4484917713766383
4,64,0.75,1,0.8257399866109612,0.09927424864561274,0.04433409138119341,0.2449787804189292,0.04378983403694804,0.0963074559712356,0.09901924834659002,36.18945633977559,0.07952491740422382,0.08176415280394068,1.60442666440332
4,64,0.75,2,0.7927820244859004,0.09531189126931011,0.03641520727184636,0.2972478285471165,0.042742604032926367,0.08932797831284613,0.09339385026428773,30.865905676778652,0.07081761549009076,0.07404096568705507,1.123988352853154
4,64,0.75,3,0.8200439629208018,0.09858944655139783,0.048580194220060206,0.45223188005131454,0.04099282672307329,0.09884131916481674,0.10160754160745827,24.0552643171346,0.08105422706823612,0.08332265108242035,1.168609412541283
4,64,1.0,0,0.8000239565114209,0.09618254955428289,0.0403493962843524,0.312345550067917,0.042520524576557556,0.11658909985019114,0.12020807630053636,46.168822759703154,0.09327407294825503,0.09616934080658186,1.8628841255132909
4,64,1.0,1,0.7999064046468933,0.09616841692994947,0.06164588167988725,0.6148737035664622,0.046221315954154234,0.10772849722627803,0.11050699671404145,22.887160932241695,0.08617271489428488,0.08839525442985495,1.4108992148175095
4,64,1.0,2,0.8096530931903849,0.09734020853218152,0.05788050203631167,0.4562272888243743,0.0414965284622811,0.10267437177138287,0.10487810033349451,25.702062238946226,0.08313062269607968,0.08491487834294537,1.4876482657587362
4,64,1.0,3,0.7930185828867439,0.09534033140529158,0.04826775513277175,0.27305146578092127,0.041567785372784334,0.111317118156819,0.11468049601180035,17.757284422673305,0.08827654329175683,0.09094376443202679,0.8571042563365772
4,64,1.5,0,0.764640238715729,0.09192855670494461,0.06114302717436902,0.4728515595189792,0.04179097694155534,0.15653694550214667,0.15916150198234563,16.34926775942112,0.11969444737659247,0.12170128887013473,0.9996437228953209
4,64,1.5,1,0.7988759571001741,0.09604453179948713,0.06911748780816074,0.5682148691387604,0.043843388319490306,0.13478151607930905,0.139180881893088,15.976898110364798,0.10767371265727052,0.11118826023238697,1.1042830603553653
4,64,1.5,2,0.8039098959049935,0.09664973501197476,0.0784250270848143,0.41756418785675015,0.04643229019061633,0.14733901840181424,0.15079815517187886,16.525141959120685,0.1184472949461464,0.12122812922689019,1.295984705724441
4,64,1.5,3,0.8195713776180074,0.0985326301786696,0.06269059048766291,0.4763721006988145,0.04287076295348235,0.13341670105652922,0.13515985113329337,14.247230851656314,0.10934450948214951,0.11077314539195804,0.893167314904383
