omega,f2_polynomial,f2_fading_G0.003,f2_fading_G0.01,f2_fading_G0.03
1.320550e-02,2.858093e+00,5.207236e+00,1.160084e+01,8.888150e+00
1.391221e-02,2.774071e+00,4.714545e+00,1.084348e+01,8.732385e+00
1.465675e-02,2.692281e+00,4.266500e+00,1.011084e+01,8.565771e+00
1.544114e-02,2.612663e+00,3.859414e+00,9.405523e+00,8.388138e+00
1.626750e-02,2.535157e+00,3.489838e+00,8.729633e+00,8.199415e+00
1.713808e-02,2.459708e+00,3.154561e+00,8.084801e+00,7.999653e+00
1.805526e-02,2.386261e+00,2.850601e+00,7.472195e+00,7.789034e+00
1.902152e-02,2.314763e+00,2.575195e+00,6.892535e+00,7.567885e+00
2.003950e-02,2.245161e+00,2.325799e+00,6.346126e+00,7.336688e+00
2.111195e-02,2.177405e+00,2.100065e+00,5.832903e+00,7.096080e+00
2.224179e-02,2.111448e+00,1.895840e+00,5.352468e+00,6.846859e+00
2.343211e-02,2.047241e+00,1.711148e+00,4.904140e+00,6.589978e+00
2.468612e-02,1.984738e+00,1.544183e+00,4.487001e+00,6.326532e+00
2.600724e-02,1.923895e+00,1.393292e+00,4.099941e+00,6.057750e+00
2.739907e-02,1.864667e+00,1.256967e+00,3.741701e+00,5.784966e+00
2.886539e-02,1.807011e+00,1.133837e+00,3.410912e+00,5.509600e+00
3.041017e-02,1.750887e+00,1.022651e+00,3.106133e+00,5.233126e+00
3.203763e-02,1.696254e+00,9.222723e-01,2.825880e+00,4.957043e+00
3.375218e-02,1.643073e+00,8.316682e-01,2.568652e+00,4.682841e+00
3.555850e-02,1.591305e+00,7.499015e-01,2.332955e+00,4.411970e+00
3.746148e-02,1.540912e+00,6.761223e-01,2.117320e+00,4.145807e+00
3.946630e-02,1.491859e+00,6.095598e-01,1.920319e+00,3.885636e+00
4.157841e-02,1.444111e+00,5.495161e-01,1.740573e+00,3.632618e+00
4.380356e-02,1.397632e+00,4.953592e-01,1.576766e+00,3.387775e+00
4.614779e-02,1.352390e+00,4.465170e-01,1.427643e+00,3.151980e+00
4.861748e-02,1.308352e+00,4.024723e-01,1.292021e+00,2.925948e+00
5.121934e-02,1.265486e+00,3.627573e-01,1.168787e+00,2.710235e+00
5.396044e-02,1.223763e+00,3.269491e-01,1.056901e+00,2.505240e+00
5.684823e-02,1.183151e+00,2.946657e-01,9.553916e-01,2.311215e+00
5.989058e-02,1.143623e+00,2.655621e-01,8.633582e-01,2.128270e+00
6.309573e-02,1.105150e+00,2.393264e-01,7.799664e-01,1.956393e+00
6.647242e-02,1.067704e+00,2.156774e-01,7.044463e-01,1.795459e+00
7.002982e-02,1.031260e+00,1.943610e-01,6.360885e-01,1.645246e+00
7.377760e-02,9.957910e-01,1.751479e-01,5.742417e-01,1.505454e+00
7.772595e-02,9.612721e-01,1.578312e-01,5.183083e-01,1.375717e+00
8.188560e-02,9.276788e-01,1.422243e-01,4.677415e-01,1.255619e+00
8.626787e-02,8.949875e-01,1.281588e-01,4.220416e-01,1.144705e+00
9.088466e-02,8.631750e-01,1.154828e-01,3.807525e-01,1.042497e+00
9.574852e-02,8.322188e-01,1.040593e-01,3.434586e-01,9.485008e-01
1.008727e-01,8.020971e-01,9.376489e-02,3.097816e-01,8.622157e-01
1.062711e-01,7.727885e-01,8.448804e-02,2.793775e-01,7.831438e-01
