L,W,samples,gap_ratio_mean,gap_ratio_sem,ipr_mean,omega_av_mean,tilde_chi_typ_r_mu0.0001,tilde_chi_typ_r_mu0.0003,tilde_chi_typ_r_mu0.001,tilde_chi_typ_r_mu0.003,tilde_chi_typ_r_mu0.01,tilde_chi_typ_r_mu0.03,tilde_chi_typ_r_mu0.1,tilde_chi_typ_r_mu0.3,tilde_chi_typ_r_mu1
24,8.0,20,0.5309806650413166,0.001320782767597112,0.0006229341735316077,0.0007483427437075143,0.20509300708897013,0.40803224421238904,0.5501631670630877,0.5635225974491506,0.5183588732337621,0.4600949510350587,0.4017194975782788,0.3574470332745576,0.2999620696555181
24,10.0,20,0.5318070995709371,0.001644366160613212,0.0014306051594448325,0.0008645553804456001,0.2761727619262099,0.5721077456899398,0.7867530801545318,0.7647143403843881,0.6375965595925475,0.5210711845351949,0.42642391261308066,0.3701225336427566,0.31799942174006596
24,12.0,20,0.5283875662519717,0.0014799896356323815,0.004251363598657592,0.0009924280195558208,0.41142621413292213,0.8705785464011234,1.1658849387106538,1.0266639366906156,0.7577145575244181,0.5680985939275076,0.4383942488200534,0.3745060416851297,0.32742820588961197
24,14.0,20,0.5049479541755622,0.0018397725829373455,0.013393945335144736,0.0011243535315819816,0.5855867049339897,1.209986444614977,1.5084159880737438,1.2097753256729789,0.8199669719792632,0.5791580576787703,0.4309011759496811,0.36775859341226436,0.3284784991290309
24,15.0,20,0.48551115922706173,0.0014327336497191076,0.02130168554255963,0.0011893901928327376,0.6205213944271748,1.2409030225511999,1.495569700891779,1.1909316856460572,0.8037903579659168,0.5638599753131182,0.41921179678876863,0.3605915470643029,0.32565647512273654
24,16.0,20,0.46738065559400077,0.0016040244799251663,0.03164943629526974,0.0012495761242038257,0.6088904505196764,1.186716974135219,1.4088227259010961,1.1279364356143742,0.767122438395808,0.5381370811125382,0.40183389013343335,0.3503205950092034,0.3210716728566462
24,16.5,20,0.4596929022531933,0.001667239183287604,0.03982823592296243,0.0012899688114959224,0.5509122470909678,1.0565988622288638,1.2564953663198084,1.0257453325127919,0.7104221709435944,0.5083703953668384,0.3891626220587071,0.34432827597359655,0.3185493666715102
24,17.0,20,0.4528861989984291,0.0015007656233119971,0.04675651346656623,0.0013167694026254314,0.5280566226676071,0.9967003834731338,1.1961471661182637,0.9944142183438045,0.6972247287734841,0.5032488934863554,0.3861040531753896,0.3413398931817564,0.31693723318601225
24,18.0,20,0.4362796803255583,0.0013007587768390182,0.06533865233955383,0.0013934374208032674,0.4031264145204866,0.7499680052163833,0.9250928226889611,0.8163897818133691,0.6078192221521241,0.4548746610767537,0.3586670087364193,0.3259745055657411,0.3092424632497064
24,20.0,20,0.4185255325860714,0.001444959932988076,0.10361284181122074,0.0015245544916232586,0.20945599856937416,0.3999072909446197,0.5530406965031175,0.5569380294434058,0.46643549535059786,0.3777130952298807,0.31983783944715516,0.30497826402060024,0.29835815691695766
