diagnostic,L,chi_over_J,trap_edge_offset_over_J,ipr,self_overlap
finite_size,300,1.0,0.0,0.0059805600651332835,7.81636526045393e-06
finite_size,300,2.03,0.0,0.31702604709890464,-0.40915614243807263
finite_size,377,1.0,0.0,0.004761581085101704,2.9124699833424482e-05
finite_size,377,2.03,0.0,0.3319502171888503,0.5240943982927303
finite_size,1000,1.0,0.0,0.0017984036522971023,-4.298616878677499e-06
finite_size,1000,2.03,0.0,0.32602358068519227,0.5217531494554742
finite_size,3000,1.0,0.0,0.0005998937404719938,-1.108734849141976e-07
finite_size,3000,2.03,0.0,0.32680348652380187,-0.4222228220783366
finite_size,10000,1.0,0.0,0.00018000232396286496,3.954090331343611e-09
finite_size,10000,2.03,0.0,0.3268460506463385,-0.4224166130350224
untrapped,377,1.0,0.0,0.004761581085101704,2.9124699833424482e-05
weak_trap,377,1.0,0.01,0.011332919641540776,3.2568249064056885e-05
untrapped,377,1.5,0.0,0.00674102321634131,0.0026895447347630675
weak_trap,377,1.5,0.01,0.01684064347408313,0.0033470139150885304
untrapped,377,1.9,0.0,0.018320104751525852,0.05082351838013347
weak_trap,377,1.9,0.01,0.04663159963035588,0.06472112073291508
untrapped,377,1.99,0.0,0.0628280254676028,0.18900849722928392
weak_trap,377,1.99,0.01,0.11847465410279567,0.1203319776048182
untrapped,377,2.03,0.0,0.3319502171888503,0.5240943982927303
weak_trap,377,2.03,0.01,0.2393810643158499,0.15041141174382755
untrapped,377,2.5,0.0,0.7300121298101435,0.8483858760573545
weak_trap,377,2.5,0.01,0.7293186687718752,0.26173180797063206
