chi_over_J,eta_c_over_J,f1,ground_ipr
0.0,0.27680973218553717,0.36186322041339786,0.003968253968252678
0.01,0.2768066937491918,0.3618711646172067,0.003968311756168189
0.02,0.2767967072499492,0.3618972768592097,0.003968501175662065
0.03,0.2767797593957993,0.3619415978027593,0.003968822248619854
0.04,0.2767558280791007,0.36200419531738137,0.003969275014662499
0.05,0.2767248823731766,0.3620851645576828,0.003969859531252892
0.06,0.2766868825277251,0.3621846280740046,0.0039705758738651925
0.07,0.27664177996319056,0.3623027359548665,0.003971424136155257
0.08,0.2765895172643042,0.36243966600121563,0.003972404430230836
0.09,0.2765300281730088,0.36259562393259637,0.00397351688692805
0.1,0.2764632375810679,0.36277084362526113,0.003974761656136516
0.11,0.27638906152267395,0.3629655873823305,0.003976138907182137
0.12,0.2763074071674231,0.3631801462361011,0.003977648829256343
0.13,0.2762181728140675,0.36341484028260823,0.003979291631856803
0.14,0.27612124788550113,0.36367001904856705,0.003981067545323574
0.15,0.2760165129254732,0.36394606189084183,0.003982976821373342
0.16,0.2759038395975676,0.36424337842860677,0.003985019733695619
0.17,0.27578309068704493,0.3645624090083396,0.003987196578607519
0.18,0.27565412010615076,0.36490362520190467,0.00398950767572796
0.19,0.27551677290357485,0.36526753033789583,0.003991953368712352
0.2,0.2753708852787733,0.36565466006647407,0.003994534026009659
0.21,0.2752162846018886,0.3660655829580013,0.003997250041696986
0.22,0.2750527894400697,0.3665009011357316,0.004000101836331516
0.23,0.27488020959103493,0.366961250942837,0.004003089857848213
0.24,0.27469834612471045,0.3674473036442056,0.004006214582518617
0.25,0.27450699143389107,0.3679597661632754,0.0040094765159194015
0.26,0.274305929294835,0.36849938185438186,0.00401287619399123
0.27,0.2740949349387749,0.3690669313110331,0.004016414184103926
0.28,0.2738737751353502,0.36966323321058653,0.004020091086186355
0.29,0.27364220828898583,0.3702891451958591,0.0040239075338745715
0.3,0.2733999845492757,0.3709455647942212,0.004027864195724875
0.31,0.2731468459364562,0.3716334303747607,0.004031961776500965
0.32,0.27288252648303624,0.3723537221442421,0.004036201018423398
0.33,0.27260675239274157,0.3731074631824321,0.004040582702545624
0.34,0.2723192422178174,0.3738957205177462,0.004045107650137499
0.35000000000000003,0.2720197070558945,0.3747196062437985,0.004049776724101928
0.36,0.27170785076745163,0.37558027867796767,0.004054590830480481
0.37,0.27138337021503234,0.37647894356278155,0.0040595509199739315
0.38,0.2710459555253138,0.37741685531112745,0.0040646579894920674
0.39,0.27069529037504125,0.37839531829652645,0.004069913083816551
0.4,0.27033105230193366,0.37941568818945953,0.004075317297240245
0.41000000000000003,0.2699529130415071,0.3804793733411413,0.0040808717753066355
0.42,0.2695605388907947,0.3815878362160051,0.0040865777165603545
0.43,0.26915359109984244,0.3827425948743778,0.004092436374397727
0.44,0.2687317262918108,0.3839452245068619,0.004098449058920704
