chi_over_J,eta_over_J,photon_number,field_real,field_imag,state_ipr,iterations,converged,density_error,field_error,cavity_shift_factor
0.5,0.0,3.300257470225607e-20,-1.791941007220209e-10,-2.9867188831262466e-11,0.00413784073581059,8,1,1.0097825353660994e-14,9.782021186126679e-11,1.0
0.5,0.0020000000000000018,3.2503798460065925e-17,-5.623631500429582e-09,-9.37319159860744e-10,0.0041378407358105464,8,1,5.0862092315639984e-14,9.798077491394691e-11,1.0
0.5,0.0040000000000000036,1.259945217116639e-16,-1.1071988545651356e-08,-1.845424438070847e-09,0.004137840735810247,8,1,9.222483887683097e-14,9.833622494790382e-11,1.0
0.5,0.006000000000000005,2.807501753857962e-16,-1.6527600810024902e-08,-2.754738980422734e-09,0.004137840735809553,8,1,1.3347396105034548e-13,9.888648403318362e-11,1.0
0.5,0.008000000000000007,4.971633115729252e-16,-2.199375246127795e-08,-3.6658101757940734e-09,0.004137840735808825,8,1,1.7474910407599964e-13,9.959601829855715e-11,1.0
0.5,0.010000000000000009,7.756637398141959e-16,-2.7471763661257105e-08,-4.578858062249755e-09,0.004137840735807745,8,1,2.123743889081986e-13,9.937384442808123e-11,1.0
0.5,0.011999999999999983,1.1127776438595226e-15,-3.2904401262084197e-08,-5.484343301004647e-09,0.004137840735806524,9,1,1.8323190187352623e-13,6.577788561007642e-11,1.0
0.5,0.013999999999999985,1.5172406556815475e-15,-3.8421740320419675e-08,-6.403946160906136e-09,0.0041378407358050534,9,1,2.138185462019493e-13,6.680015050984284e-11,1.0
0.5,0.015999999999999986,1.986459647877827e-15,-4.3963237860249455e-08,-7.327575637341167e-09,0.004137840735803316,9,1,2.451736730302301e-13,6.798304637307007e-11,1.0
0.5,0.017999999999999988,2.521620426811024e-15,-4.953243218877945e-08,-8.255821477902089e-09,0.00413784073580136,9,1,2.772200871636876e-13,6.933065120269045e-11,1.0
0.5,0.01999999999999999,3.124081925313427e-15,-5.513292116968415e-08,-9.189283356759671e-09,0.004137840735799161,9,1,3.099222267710644e-13,7.084762758800374e-11,1.0
0.5,0.021999999999999992,3.7953828044237135e-15,-6.076837030217921e-08,-1.0128572221243074e-08,0.004137840735796755,9,1,3.435515760763508e-13,7.253924158089968e-11,1.0
0.5,0.023999999999999994,4.537248979764117e-15,-6.644252102874472e-08,-1.1074311676530175e-08,0.004137840735794106,9,1,3.7771955702092797e-13,7.441140788561683e-11,1.0
0.5,0.025999999999999995,5.351602152810934e-15,-7.215919948020442e-08,-1.2027139443234258e-08,0.004137840735791107,9,1,4.134080230921988e-13,7.647068760166428e-11,1.0
0.5,0.027999999999999997,6.2405694028369115e-15,-7.792232556266439e-08,-1.2987708871970108e-08,0.0041378407357880315,9,1,4.501416600577457e-13,7.872436890199064e-11,1.0
0.5,0.03,7.206493930547463e-15,-8.373592251721916e-08,-1.3956690536718699e-08,0.004137840735784602,9,1,4.878970491506429e-13,8.118046933875947e-11,1.0
0.5,0.032,8.251947040803886e-15,-8.960412696461194e-08,-1.4934773909021586e-08,0.004137840735780913,9,1,5.271711886467578e-13,8.384779967807869e-11,1.0
0.5,0.034,9.379741463505522e-15,-9.553119946724893e-08,-1.5922669118405373e-08,0.00413784073577706,9,1,5.676648387464844e-13,8.673603396069869e-11,1.0
0.5,0.036000000000000004,1.0592946126672085e-14,-1.0152153566301174e-07,-1.6921108808110653e-08,0.004137840735772808,9,1,6.10252300081715e-13,8.985559390299086e-11,1.0
0.5,0.038000000000000006,1.1894901357450947e-14,-1.075796728171494e-07,-1.7930849227129028e-08,0.004137840735768352,9,1,6.539187594190032e-13,9.321563981834917e-11,1.0
0.5,0.04000000000000001,1.3289209135425814e-14,-1.1371018464101093e-07,-1.895265269910829e-08,0.00413784073576357,9,1,6.99109173329937e-13,9.677508256128344e-11,1.0
0.5,0.04199999999999998,1.477910041192181e-14,-1.1991507864347528e-07,-1.9986853825726328e-08,0.004137840735758596,9,1,7.348384054028934e-13,9.935947180677021e-11,1.0
0.5,0.043999999999999984,1.635168905873995e-14,-1.2613369164531936e-07,-2.102334156749205e-08,0.004137840735753306,10,1,5.773281158694132e-13,7.25367278731364e-11,1.0
0.5,0.045999999999999985,1.80461881800932e-14,-1.325081338021968e-07,-2.2085802144189935e-08,0.004137840735747648,10,1,6.16613531068122e-13,7.598457253967336e-11,1.0
0.5,0.04799999999999999,1.9850746036631712e-14,-1.389754897901533e-07,-2.316374913995381e-08,0.004137840735741722,10,1,6.579138275841778e-13,7.968501073319781e-11,1.0
0.5,0.04999999999999999,2.1770774536475206e-14,-1.4554146319890592e-07,-2.4258133200984723e-08,0.004137840735735541,10,1,7.013946715095365e-13,8.365387224184259e-11,1.0
0.5,0.05199999999999999,2.381212930738385e-14,-1.5221200714386641e-07,-2.53699465631957e-08,0.004137840735728933,10,1,7.472997914925728e-13,8.79064253787166e-11,1.0
0.5,0.05399999999999999,2.5981106624056225e-14,-1.589932252546991e-07,-2.6500206549473024e-08,0.004137840735722011,10,1,7.951981087495064e-13,9.241309537812556e-11,1.0
0.5,0.055999999999999994,2.82835511838165e-14,-1.658886852726758e-07,-2.7649507813333958e-08,0.004137840735714709,10,1,8.347706206834893e-13,9.610781333285102e-11,1.0
0.5,0.057999999999999996,3.070298493331837e-14,-1.7283834393939033e-07,-2.8807842640631345e-08,0.004137840735707312,11,1,6.64703535269151e-13,7.385725573895968e-11,1.0
0.5,0.06,3.3295602605951486e-14,-1.799878695561798e-07,-2.999949030532173e-08,0.004137840735699257,11,1,7.090239853568825e-13,7.825030007754435e-11,1.0
0.5,0.062,3.604662626790182e-14,-1.8727599303023372e-07,-3.121423877722591e-08,0.004137840735690875,11,1,7.561720347104561e-13,8.296743910750687e-11,1.0
0.5,0.064,3.896546516527363e-14,-1.9471066017859863e-07,-3.2453412425936406e-08,0.004137840735682158,11,1,8.064339127034081e-13,8.803113040325962e-11,1.0
0.5,0.066,4.206226937700183e-14,-2.023001230304082e-07,-3.371838665896601e-08,0.004137840735672975,11,1,8.595216552387264e-13,9.342229020927958e-11,1.0
0.5,0.068,4.534674261644542e-14,-2.100500767992457e-07,-3.5010110726423114e-08,0.004137840735663352,11,1,9.055776961641726e-13,9.812573195248599e-11,1.0
0.5,0.07,4.8798865903600794e-14,-2.1789871103225565e-07,-3.6318282366906455e-08,0.00413784073565349,12,1,7.363953197225825e-13,7.856338864465689e-11,1.0
0.5,0.07200000000000001,5.249611367016317e-14,-2.2600256772726443e-07,-3.7668993228468886e-08,0.004137840735643018,12,1,7.880137514737484e-13,8.394638523724478e-11,1.0
0.5,0.07400000000000001,5.6421283487430795e-14,-2.3429945445982465e-07,-3.905187738456827e-08,0.004137840735631947,12,1,8.431077017090338e-13,8.971348900672058e-11,1.0
0.5,0.07599999999999998,6.058833085536175e-14,-2.427975448380191e-07,-4.0468297171883487e-08,0.004137840735620473,12,1,8.932195261213138e-13,9.498991522060502e-11,1.0
0.5,0.07799999999999999,6.497711976627715e-14,-2.514374855486702e-07,-4.190835987293485e-08,0.004137840735608616,13,1,7.396401199843972e-13,7.812957715929626e-11,1.0
0.5,0.07999999999999999,6.967980503272294e-14,-2.6037738445726803e-07,-4.339841812687387e-08,0.004137840735596107,13,1,7.953073963284929e-13,8.402864847207072e-11,1.0
0.5,0.08199999999999999,7.468056608812624e-14,-2.695588515165632e-07,-4.4928739768634514e-08,0.00413784073558293,13,1,8.548300955979471e-13,9.038877444108337e-11,1.0
0.5,0.08399999999999999,7.999957771240294e-14,-2.7899321655464983e-07,-4.650121319807905e-08,0.004137840735569267,13,1,9.107757950599371e-13,9.640435693030248e-11,1.0
0.5,0.086,8.56165272910014e-14,-2.886214477883294e-07,-4.810599928875875e-08,0.004137840735555042,14,1,7.701833962259208e-13,8.133024344836153e-11,1.0
0.5,0.088,9.164561754834254e-14,-2.986108939945792e-07,-4.977099090937106e-08,0.004137840735540021,14,1,8.319404193324331e-13,8.799484436265118e-11,1.0
0.5,0.09,9.80713526637954e-14,-3.0890211325977183e-07,-5.148628057495032e-08,0.004137840735524355,14,1,8.919288918551871e-13,9.447967309229797e-11,1.0
0.5,0.092,1.0487621964747182e-13,-3.19439273096397e-07,-5.324256240187259e-08,0.004137840735508125,15,1,7.670860474595642e-13,8.127838286319474e-11,1.0
0.5,0.094,1.121921879316485e-13,-3.30393203945326e-07,-5.506830956539987e-08,0.004137840735490924,15,1,8.333559536888302e-13,8.844656767102956e-11,1.0
0.5,0.096,1.2000897472836853e-13,-3.417091903644875e-07,-5.695440236553217e-08,0.004137840735472881,15,1,8.990568706179758e-13,9.557671645169492e-11,1.0
0.5,0.098,1.283128227902479e-13,-3.5333350888618733e-07,-5.889188643966568e-08,0.004137840735454236,16,1,7.874065982571565e-13,8.381745737861975e-11,1.0
0.5,0.1,1.3726123556467057e-13,-3.654464510157188e-07,-6.091081188661362e-08,0.004137840735434493,16,1,8.600151840676418e-13,9.174234721481982e-11,1.0
0.5,0.10200000000000001,1.4685104313521598e-13,-3.7799696654792007e-07,-6.300266990998525e-08,0.004137840735413732,16,1,9.333844461223428e-13,9.976575658749246e-11,1.0
0.5,0.10400000000000001,1.570738718624032e-13,-3.9093249503905337e-07,-6.515869999427323e-08,0.00413784073539223,17,1,8.326273698289199e-13,8.916223787976199e-11,1.0
0.5,0.10599999999999998,1.6812166161084634e-13,-4.0444701411426535e-07,-6.741123337324114e-08,0.004137840735369375,17,1,9.092422995071736e-13,9.754132290729937e-11,1.0
0.5,0.10799999999999998,1.7993363104733656e-13,-4.184137700070874e-07,-6.973914335430801e-08,0.004137840735345701,18,1,8.223231123816177e-13,8.841877120864867e-11,1.0
0.5,0.10999999999999999,1.927252432536314e-13,-4.3303110971185973e-07,-7.217548943614271e-08,0.004137840735320412,18,1,9.032028597255604e-13,9.730294682705907e-11,1.0
0.5,0.11199999999999999,2.0644441158810464e-13,-4.4817885448746276e-07,-7.470024081895808e-08,0.004137840735294164,19,1,8.286366384724353e-13,8.946707760325087e-11,1.0
0.5,0.11399999999999999,2.2133835850744388e-13,-4.640642778097142e-07,-7.734794482332592e-08,0.004137840735266315,19,1,9.150154592352244e-13,9.90266797110295e-11,1.0
0.5,0.11599999999999999,2.373634018535665e-13,-4.805700214567519e-07,-8.009904075969662e-08,0.004137840735237096,20,1,8.476630855569489e-13,9.189941430128072e-11,1.0
0.5,0.118,2.5472926428787874e-13,-4.978393458604481e-07,-8.297740657022196e-08,0.004137840735206365,21,1,7.961313899795819e-13,8.65152809547633e-11,1.0
0.5,0.12,2.736604179443224e-13,-5.160072334327604e-07,-8.600554045752591e-08,0.004137840735173684,21,1,8.892244579561392e-13,9.68592573440137e-11,1.0
0.5,0.122,2.9415026700490757e-13,-5.349761489938658e-07,-8.916718573892872e-08,0.004137840735139239,22,1,8.439074092314591e-13,9.20982421020499e-11,1.0
0.5,0.124,3.164721506906968e-13,-5.549036045556084e-07,-9.248859573963609e-08,0.004137840735102924,23,1,8.088460456967539e-13,8.843624474512528e-11,1.0
0.5,0.126,3.4084113229927455e-13,-5.758717793314093e-07,-9.59834676855922e-08,0.004137840735064309,24,1,7.855617198404552e-13,8.607814642452055e-11,1.0
0.5,0.128,3.6759914459098013e-13,-5.980493776142332e-07,-9.967992037621421e-08,0.004137840735023218,24,1,8.924683908562159e-13,9.801933160715892e-11,1.0
0.5,0.13,3.9682884466298154e-13,-6.213716188840583e-07,-1.035671565139557e-07,0.0041378407349799,25,1,8.763311257209416e-13,9.646127535049974e-11,1.0
0.5,0.132,4.2895692649284706e-13,-6.460358804869327e-07,-1.0767807398129216e-07,0.004137840734933644,26,1,8.690392155896731e-13,9.586487972936369e-11,1.0
0.5,0.134,4.643624643762525e-13,-6.721688005777079e-07,-1.1203378020123179e-07,0.004137840734884254,27,1,8.704157186678607e-13,9.621575922723557e-11,1.0
0.5,0.136,5.034879072015107e-13,-6.999134169113715e-07,-1.1665811600124274e-07,0.00413784073483173,28,1,8.801223638776889e-13,9.752234957524267e-11,1.0
