chi_over_J,gamma_c,eta_c_over_J,eta_c_raw_finite_chain,thermodynamic_alias_corrected
0.0,0.0,0.0,1489322155943.0918,0
0.0,0.0025,0.007766753450087814,0.007766753450087814,0
0.0,0.005,0.006378929844274907,0.006378929844274907,0
0.0,0.0075,0.01041474803745632,0.01041474803745632,0
0.0,0.01,0.014273944818818383,0.014273944818818383,0
0.0,0.0125,0.018068570405087934,0.018068570405087934,0
0.0,0.015,0.021832315330903695,0.021832315330903695,0
0.0,0.0175,0.0255778950456264,0.0255778950456264,0
0.0,0.02,0.029310613663192146,0.029310613663192146,0
0.0,0.0225,0.03303292735724019,0.03303292735724019,0
0.0,0.025,0.03674629950337154,0.03674629950337154,0
0.0,0.0275,0.04045195011429763,0.04045195011429763,0
0.0,0.03,0.04415105632138691,0.04415105632138691,0
0.0,0.0325,0.04784468488274369,0.04784468488274369,0
0.0,0.035,0.05153364286729545,0.05153364286729545,0
0.0,0.0375,0.05521837004193226,0.05521837004193226,0
0.0,0.04,0.05889893299873878,0.05889893299873878,0
0.0,0.0425,0.06257512059253273,0.06257512059253273,0
0.0,0.045,0.06624659630367266,0.06624659630367266,0
0.0,0.0475,0.06991304589199542,0.06991304589199542,0
0.0,0.05,0.07357426913108352,0.07357426913108352,0
0.0,0.0525,0.07723019375871382,0.07723019375871382,0
0.0,0.055,0.08088082349485924,0.08088082349485924,0
0.0,0.0575,0.08452615588102677,0.08452615588102677,0
0.0,0.06,0.08816611152834897,0.08816611152834897,0
0.0,0.0625,0.09180050435244136,0.09180050435244136,0
0.0,0.065,0.09542906001242822,0.09542906001242822,0
0.0,0.0675,0.0990514677965047,0.0990514677965047,0
0.0,0.07,0.10266743875440061,0.10266743875440061,0
0.0,0.0725,0.10627674392978478,0.10627674392978478,0
0.0,0.075,0.10987921883335444,0.10987921883335444,0
0.0,0.0775,0.11347473703239364,0.11347473703239364,0
0.0,0.08,0.11706316904059964,0.11706316904059964,0
0.0,0.0825,0.12064434714924602,0.12064434714924602,0
0.0,0.085,0.12421805155584356,0.12421805155584356,0
0.0,0.08750000000000001,0.12778402162966218,0.12778402162966218,0
0.0,0.09,0.13134198427280575,0.13134198427280575,0
0.0,0.0925,0.1348916844613956,0.1348916844613956,0
0.0,0.095,0.13843290372472983,0.13843290372472983,0
0.0,0.0975,0.1419654594150349,0.1419654594150349,0
0.0,0.1,0.14548918722643836,0.14548918722643836,0
0.0,0.10250000000000001,0.1490039168919022,0.1490039168919022,0
0.0,0.105,0.15250945311832564,0.15250945311832564,0
0.0,0.1075,0.1560055701698654,0.1560055701698654,0
0.0,0.11,0.15949202132820509,0.15949202132820509,0
0.0,0.1125,0.1629685574026209,0.1629685574026209,0
0.0,0.115,0.16643494478601792,0.16643494478601792,0
0.0,0.11750000000000001,0.169890974647431,0.169890974647431,0
0.0,0.12,0.17333645977217854,0.17333645977217854,0
0.0,0.1225,0.1767712216707143,0.1767712216707143,0
0.0,0.125,0.18019507491747247,0.18019507491747247,0
0.0,0.1275,0.18360781637502246,0.18360781637502246,0
0.0,0.13,0.18700922399438255,0.18700922399438255,0
0.0,0.1325,0.19039906496039002,0.19039906496039002,0
0.0,0.135,0.19377710854876204,0.19377710854876204,0
0.0,0.1375,0.1971431372093586,0.1971431372093586,0
0.0,0.14,0.20049695075561053,0.20049695075561053,0
0.0,0.14250000000000002,0.20383836222184892,0.20383836222184892,0
0.0,0.145,0.2071671880247586,0.2071671880247586,0
0.0,0.1475,0.2104832375722434,0.2104832375722434,0
0.0,0.15,0.2137863073339387,0.2137863073339387,0
0.0,0.1525,0.2170761818831264,0.2170761818831264,0
0.0,0.155,0.2203526409071986,0.2203526409071986,0
0.0,0.1575,0.2236154684078529,0.2236154684078529,0
0.0,0.16,0.2268644595404051,0.2268644595404051,0
0.0,0.1625,0.23009942199713446,0.23009942199713446,0
0.0,0.165,0.23332017166943303,0.23332017166943303,0
0.0,0.1675,0.2365265250801456,0.2365265250801456,0
0.0,0.17,0.23971829244949028,0.23971829244949028,0
0.0,0.17250000000000001,0.24289527468565666,0.24289527468565666,0
0.0,0.17500000000000002,0.24605726548203988,0.24605726548203988,0
0.0,0.1775,0.24920405717108493,0.24920405717108493,0
0.0,0.18,0.25233544727111595,0.25233544727111595,0
0.0,0.1825,0.2554512425337639,0.2554512425337639,0
0.0,0.185,0.25855125871255913,0.25855125871255913,0
0.0,0.1875,0.2616353164486529,0.2616353164486529,0
0.0,0.19,0.2647032355134664,0.2647032355134664,0
0.0,0.1925,0.2677548302960016,0.2677548302960016,0
0.0,0.195,0.2707899086397612,0.2707899086397612,0
0.0,0.1975,0.2738082743878704,0.2738082743878704,0
0.0,0.2,0.27680973218553695,0.27680973218553695,0
