panel,time,h_mean,sigma,gap,leading_modulus,protected_rank,residual,arnoldi_converged,elapsed_seconds,parameter_match
right,7,0,0,0,1,14,0,True,0.000003292,reduced_scale
right,7,0,0.10000000000000001,0.0099501662508267863,0.99004983374917321,14,5.9013614698988056e-15,True,9.335464625,reduced_scale
right,7,0,0.20000000000000001,0.039210560847673381,0.96078943915232662,14,7.410912607509252e-15,True,0.882942750,reduced_scale
right,7,0,0.29999999999999999,0.086068814728774257,0.91393118527122574,14,4.3574381835466313e-14,True,0.406993833,reduced_scale
right,7,0,0.40000000000000002,0.14785621103378266,0.85214378896621734,14,6.7858832952269726e-15,True,0.350542791,reduced_scale
right,7,0,0.5,0.22119921692859379,0.77880078307140621,14,4.7526028758761943e-15,True,0.324840167,reduced_scale
right,7,0,0.59999999999999998,0.2711497882638858,0.7288502117361142,14,1.6023160402525166e-14,True,0.877303917,reduced_scale
right,7,0,0.69999999999999996,0.2852618405742362,0.7147381594257638,14,7.2768225398930352e-08,True,0.680240041,reduced_scale
right,7,0,0.80000000000000004,0.29289260229696734,0.70710739770303266,14,2.392677364556858e-13,True,0.507187959,reduced_scale
right,7,0.10000000000000001,0,0,1,14,0,True,0.000003833,reduced_scale
right,7,0.10000000000000001,0.10000000000000001,0.010047860005618081,0.98995213999438192,14,8.381163949502573e-14,True,5.926190917,reduced_scale
right,7,0.10000000000000001,0.20000000000000001,0.039589552171986342,0.96041044782801366,14,6.7692692214639164e-14,True,2.300705792,reduced_scale
right,7,0.10000000000000001,0.29999999999999999,0.086878107953256012,0.91312189204674399,14,4.9768891498710028e-15,True,0.469356167,reduced_scale
right,7,0.10000000000000001,0.40000000000000002,0.14918993390760671,0.85081006609239329,14,2.6064111100831147e-15,True,0.309340667,reduced_scale
right,7,0.10000000000000001,0.5,0.22308145052722339,0.77691854947277661,14,6.2516829655160863e-15,True,0.341822000,reduced_scale
right,7,0.10000000000000001,0.59999999999999998,0.27270950811953709,0.72729049188046291,14,1.0233496673282664e-06,True,0.475241500,reduced_scale
right,7,0.10000000000000001,0.69999999999999996,0.29146971114477971,0.70853028885522029,14,1.8918676570864972e-06,True,0.474836667,reduced_scale
right,7,0.10000000000000001,0.80000000000000004,0.29242824078821228,0.70757175921178772,14,3.8464626532164856e-09,True,0.324888000,reduced_scale
right,7,0.29999999999999999,0,0,1,14,0,True,0.000003333,reduced_scale
right,7,0.29999999999999999,0.10000000000000001,0.010745018298056741,0.98925498170194326,14,2.8483350232907653e-14,True,3.947225834,reduced_scale
right,7,0.29999999999999999,0.20000000000000001,0.042291388459633539,0.95770861154036646,14,4.2187663780667871e-14,True,0.874006208,reduced_scale
right,7,0.29999999999999999,0.29999999999999999,0.092641081413085025,0.90735891858691498,14,6.0011468939617035e-15,True,0.448118000,reduced_scale
right,7,0.29999999999999999,0.40000000000000002,0.15868309813476555,0.84131690186523445,14,6.0388049829254955e-12,True,0.200683709,reduced_scale
right,7,0.29999999999999999,0.5,0.23649597287070223,0.76350402712929777,14,4.1170247744115359e-13,True,0.378818208,reduced_scale
right,7,0.29999999999999999,0.59999999999999998,0.28416338291574572,0.71583661708425428,14,5.3225202558103687e-07,True,0.594004458,reduced_scale
right,7,0.29999999999999999,0.69999999999999996,0.29224410532369194,0.70775589467630806,14,2.0322596637819178e-12,True,0.506118916,reduced_scale
right,7,0.29999999999999999,0.80000000000000004,0.29206154105231374,0.70793845894768626,14,2.097043058221265e-06,True,0.661823500,reduced_scale
right,7,0.59999999999999998,0,0,1,14,0,True,0.000003291,reduced_scale
right,7,0.59999999999999998,0.10000000000000001,0.01234068393221377,0.98765931606778623,14,1.1496212712314159e-06,True,3.665409542,reduced_scale
right,7,0.59999999999999998,0.20000000000000001,0.048455977812372097,0.9515440221876279,14,2.1769534059493813e-14,True,0.552895291,reduced_scale
right,7,0.59999999999999998,0.29999999999999999,0.10573301919887013,0.89426698080112987,14,3.7558618795735646e-15,True,0.375044958,reduced_scale
right,7,0.59999999999999998,0.40000000000000002,0.18015828270514678,0.81984171729485322,14,6.3413074236748337e-15,True,0.391229416,reduced_scale
right,7,0.59999999999999998,0.5,0.26677379940826362,0.73322620059173638,14,1.2009384258505917e-06,True,0.411737375,reduced_scale
right,7,0.59999999999999998,0.59999999999999998,0.28321396032111046,0.71678603967888954,14,1.8774911562897817e-06,True,0.263265042,reduced_scale
right,7,0.59999999999999998,0.69999999999999996,0.28912031862760579,0.71087968137239421,14,1.2941696388044181e-06,True,0.440817542,reduced_scale
right,7,0.59999999999999998,0.80000000000000004,0.29169168066707285,0.70830831933292715,14,1.0960109551136655e-06,True,0.386085625,reduced_scale
right,7,0.90000000000000002,0,0,1,14,0,True,0.000003792,reduced_scale
right,7,0.90000000000000002,0.10000000000000001,0.01231813509401869,0.98768186490598131,14,6.2212802265392874e-13,True,12.912909709,reduced_scale
right,7,0.90000000000000002,0.20000000000000001,0.048369272621915149,0.95163072737808485,14,2.2355480065897474e-06,True,0.558925959,reduced_scale
right,7,0.90000000000000002,0.29999999999999999,0.10555143181784521,0.89444856818215479,14,1.0193680791154754e-11,True,0.308033541,reduced_scale
right,7,0.90000000000000002,0.40000000000000002,0.17987007239433928,0.82012992760566072,14,3.740818814685634e-14,True,0.263294000,reduced_scale
right,7,0.90000000000000002,0.5,0.26465578830452674,0.73534421169547326,14,3.9281020027218405e-07,True,0.293399208,reduced_scale
right,7,0.90000000000000002,0.59999999999999998,0.28102558699629654,0.71897441300370346,14,3.6893218743966865e-07,True,0.263363667,reduced_scale
right,7,0.90000000000000002,0.69999999999999996,0.28869974682481558,0.71130025317518442,14,8.9433989636259876e-07,True,0.324279375,reduced_scale
right,7,0.90000000000000002,0.80000000000000004,0.29144000068369735,0.70855999931630265,14,6.5522430481415638e-07,True,0.380788500,reduced_scale
right,7,1.2,0,0,1,14,0,True,0.000004041,reduced_scale
right,7,1.2,0.10000000000000001,0.010645571411687871,0.98935442858831213,14,1.30382655931299e-13,True,2.716079917,reduced_scale
right,7,1.2,0.20000000000000001,0.041906865128895188,0.95809313487110481,14,9.792155877419436e-11,True,0.535968333,reduced_scale
right,7,1.2,0.29999999999999999,0.091827062882826271,0.90817293711717373,14,9.809059393269352e-13,True,0.291173459,reduced_scale
right,7,1.2,0.40000000000000002,0.15736679828584388,0.84263320171415612,14,1.7893887511347746e-11,True,0.180809250,reduced_scale
right,7,1.2,0.5,0.23470553387141913,0.76529446612858087,14,8.5634032639880844e-15,True,0.472889458,reduced_scale
right,7,1.2,0.59999999999999998,0.29150559927735553,0.70849440072264447,14,2.1906599859921111e-09,True,0.359342750,reduced_scale
right,7,1.2,0.69999999999999996,0.29277947397615345,0.70722052602384655,14,1.0494803346833997e-10,True,0.391634916,reduced_scale
right,7,1.2,0.80000000000000004,0.29284998286029007,0.70715001713970993,14,1.6312759936972337e-11,True,0.408923416,reduced_scale
