kx,e_plus_real,e_plus_imag,e_minus_real,e_minus_imag
-1.6000000000000001,1.8245546733322386,-0.87692631160121515,-1.8245546733322386,0.87692631160121515
-1.5960000000000001,1.8208494587191337,-0.87651397668135467,-1.8208494587191337,0.87651397668135467
-1.5920000000000001,1.817144676434755,-0.87609975179494803,-1.817144676434755,0.87609975179494803
-1.5880000000000001,1.813440325258211,-0.87568362624443619,-1.813440325258211,0.87568362624443619
-1.5840000000000001,1.8097364039393615,-0.87526558926040965,-1.8097364039393615,0.87526558926040965
-1.5800000000000001,1.8060329111984386,-0.87484563000103432,-1.8060329111984386,0.87484563000103432
-1.5760000000000001,1.8023298457256611,-0.87442373755147174,-1.8023298457256611,0.87442373755147174
-1.5720000000000001,1.7986272061808486,-0.87399990092329249,-1.7986272061808486,0.87399990092329249
-1.5680000000000001,1.7949249911930272,-0.87357410905388444,-1.7949249911930272,0.87357410905388444
-1.5640000000000001,1.7912231993600303,-0.87314635080585568,-1.7912231993600303,0.87314635080585568
-1.5600000000000001,1.7875218292480972,-0.87271661496642983,-1.7875218292480972,0.87271661496642983
-1.556,1.7838208793914643,-0.8722848902468372,-1.7838208793914643,0.8722848902468372
-1.552,1.7801203482919505,-0.87185116528169848,-1.7801203482919505,0.87185116528169848
-1.548,1.7764202344185407,-0.8714154286284026,-1.7764202344185407,0.8714154286284026
-1.544,1.7727205362069596,-0.87097766876647886,-1.7727205362069596,0.87097766876647886
-1.54,1.7690212520592445,-0.87053787409696159,-1.7690212520592445,0.87053787409696159
-1.536,1.7653223803433098,-0.87009603294174942,-1.7653223803433098,0.87009603294174942
-1.532,1.761623919392507,-0.86965213354295712,-1.761623919392507,0.86965213354295712
-1.528,1.7579258675051779,-0.86920616406226203,-1.7579258675051779,0.86920616406226203
-1.524,1.7542282229442054,-0.86875811258024205,-1.7542282229442054,0.86875811258024205
-1.52,1.7505309839365546,-0.86830796709570846,-1.7505309839365546,0.86830796709570846
-1.516,1.7468341486728105,-0.86785571552503082,-1.7468341486728105,0.86785571552503082
-1.512,1.7431377153067096,-0.86740134570145522,-1.7431377153067096,0.86740134570145522
-1.508,1.7394416819546639,-0.86694484537441596,-1.7394416819546639,0.86694484537441596
-1.504,1.735746046695281,-0.86648620220883887,-1.735746046695281,0.86648620220883887
-1.5,1.7320508075688772,-0.86602540378443871,-1.7320508075688772,0.86602540378443871
-1.496,1.7283559625769835,-0.86556243759500784,-1.7283559625769835,0.86556243759500784
-1.492,1.7246615096818467,-0.86509729104769872,-1.7246615096818467,0.86509729104769872
-1.488,1.7209674468059226,-0.86462995146229815,-1.7209674468059226,0.86462995146229815
-1.484,1.7172737718313642,-0.86416040607049371,-1.7172737718313642,0.86416040607049371
-1.48,1.7135804825995025,-0.86368864201513273,-1.7135804825995025,0.86368864201513273
-1.476,1.7098875769103203,-0.86321464634947331,-1.7098875769103203,0.86321464634947331
-1.472,1.7061950525219196,-0.86273840603642771,-1.7061950525219196,0.86273840603642771
-1.468,1.7025029071499826,-0.8622599079477965,-1.7025029071499826,0.8622599079477965
-1.464,1.6988111384672249,-0.86177913886349577,-1.6988111384672249,0.86177913886349577
-1.46,1.6951197441028412,-0.86129608547077563,-1.6951197441028412,0.86129608547077563
-1.456,1.6914287216419457,-0.86081073436342948,-1.6914287216419457,0.86081073436342948
-1.4520000000000002,1.6877380686250034,-0.8603230720409959,-1.6877380686250034,0.8603230720409959
-1.4480000000000002,1.6840477825472542,-0.85983308490795118,-1.6840477825472542,0.85983308490795118
