ky,e_plus_real,e_plus_imag,e_minus_real,e_minus_imag
-2,2.1973682269356201,-0.91017972112445467,-2.1973682269356201,0.91017972112445467
-1.9950000000000001,2.1926796548527991,-0.90984562910715294,-2.1926796548527991,0.90984562910715294
-1.99,2.1879917946185503,-0.90950980935782355,-2.1879917946185503,0.90950980935782355
-1.9850000000000001,2.1833046469870698,-0.90917225076183139,-2.1833046469870698,0.90917225076183139
-1.98,2.1786182126942757,-0.90883294212038812,-2.1786182126942757,0.90883294212038812
-1.9750000000000001,2.1739324924574559,-0.90849187214982075,-2.1739324924574559,0.90849187214982075
-1.97,2.1692474869749132,-0.90814902948083143,-2.1692474869749132,0.90814902948083143
-1.9650000000000001,2.1645631969256049,-0.90780440265775075,-2.1645631969256049,0.90780440265775075
-1.96,2.1598796229687762,-0.90745798013778212,-2.1598796229687762,0.90745798013778212
-1.9550000000000001,2.1551967657435882,-0.90710975029024044,-2.1551967657435882,0.90710975029024044
-1.95,2.1505146258687402,-0.90675970139578166,-2.1505146258687402,0.90675970139578166
-1.9450000000000001,2.1458332039420882,-0.90640782164562483,-2.1458332039420882,0.90640782164562483
-1.9399999999999999,2.1411525005402545,-0.90605409914076651,-2.1411525005402545,0.90605409914076651
-1.9350000000000001,2.1364725162182356,-0.90569852189118649,-2.1364725162182356,0.90569852189118649
-1.9299999999999999,2.131793251508999,-0.90534107781504658,-2.131793251508999,0.90534107781504658
-1.925,2.1271147069230785,-0.90498175473788056,-2.1271147069230785,0.90498175473788056
-1.9199999999999999,2.1224368829481612,-0.90462054039177486,-2.1224368829481612,0.90462054039177486
-1.915,2.1177597800486705,-0.90425742241454288,-2.1177597800486705,0.90425742241454288
-1.9099999999999999,2.1130833986653386,-0.90389238834888874,-2.1130833986653386,0.90389238834888874
-1.905,2.1084077392147775,-0.90352542564156424,-2.1084077392147775,0.90352542564156424
-1.8999999999999999,2.1037328020890409,-0.90315652164251514,-2.1037328020890409,0.90315652164251514
-1.895,2.0990585876551786,-0.90278566360402124,-2.0990585876551786,0.90278566360402124
-1.8899999999999999,2.0943850962547881,-0.90241283867982403,-2.0943850962547881,0.90241283867982403
-1.885,2.0897123282035555,-0.90203803392424897,-2.0897123282035555,0.90203803392424897
-1.8799999999999999,2.0850402837907915,-0.90166123629131523,-2.0850402837907915,0.90166123629131523
-1.875,2.0803689632789597,-0.90128243263383978,-2.0803689632789597,0.90128243263383978
-1.8700000000000001,2.075698366903199,-0.90090160970252775,-2.075698366903199,0.90090160970252775
-1.865,2.0710284948708377,-0.90051875414505733,-2.0710284948708377,0.90051875414505733
-1.8599999999999999,2.0663593473609008,-0.90013385250515232,-2.0663593473609008,0.90013385250515232
-1.855,2.0616909245236097,-0.89974689122164642,-2.0616909245236097,0.89974689122164642
-1.8500000000000001,2.0570232264798753,-0.89935785662753642,-2.0570232264798753,0.89935785662753642
-1.845,2.0523562533207809,-0.89896673494902668,-2.0523562533207809,0.89896673494902668
-1.8400000000000001,2.0476900051070617,-0.89857351230456262,-2.0476900051070617,0.89857351230456262
-1.835,2.0430244818685717,-0.89817817470385364,-2.0430244818685717,0.89817817470385364
-1.8300000000000001,2.0383596836037476,-0.89778070804688648,-2.0383596836037476,0.89778070804688648
-1.825,2.0336956102790587,-0.89738109812292799,-2.0336956102790587,0.89738109812292799
-1.8200000000000001,2.0290322618284549,-0.89697933060951618,-2.0290322618284549,0.89697933060951618
-1.8149999999999999,2.0243696381528022,-0.89657539107144091,-2.0243696381528022,0.89657539107144091
-1.8100000000000001,2.0197077391193101,-0.89616926495971505,-2.0197077391193101,0.89616926495971505
-1.8049999999999999,2.015046564560953,-0.89576093761053166,-2.015046564560953,0.89576093761053166
-1.8,2.010386114275879,-0.89535039424421314,-2.010386114275879,0.89535039424421314
-1.7949999999999999,2.0057263880268144,-0.89493761996414578,-2.0057263880268144,0.89493761996414578
