mass,branch,kx,ky,radicand_real,radicand_imag
-1,plus,1,0,0,0
-1,minus,1,0,0,0
-0.996,plus,0.996,0.12636455199145044,0,0
-0.996,minus,0.996,-0.12636455199145044,0,0
-0.99199999999999999,plus,0.99199999999999999,0.17852730883537152,0,0
-0.99199999999999999,minus,0.99199999999999999,-0.17852730883537152,0,0
-0.98799999999999999,plus,0.98799999999999999,0.21843076706361669,0,0
-0.98799999999999999,minus,0.98799999999999999,-0.21843076706361669,0,0
-0.98399999999999999,plus,0.98399999999999999,0.25196825196837791,0,0
-0.98399999999999999,minus,0.98399999999999999,-0.25196825196837791,0,0
-0.97999999999999998,plus,0.97999999999999998,0.28142494558940606,0,0
-0.97999999999999998,minus,0.97999999999999998,-0.28142494558940606,0,0
-0.97599999999999998,plus,0.97599999999999998,0.30797402487872261,2.2204460492503131e-16,0
-0.97599999999999998,minus,0.97599999999999998,-0.30797402487872261,2.2204460492503131e-16,0
-0.97199999999999998,plus,0.97199999999999998,0.33231310536901804,0,0
-0.97199999999999998,minus,0.97199999999999998,-0.33231310536901804,0,0
-0.96799999999999997,plus,0.96799999999999997,0.35489716820510142,0,0
-0.96799999999999997,minus,0.96799999999999997,-0.35489716820510142,0,0
-0.96399999999999997,plus,0.96399999999999997,0.37604255078381782,0,0
-0.96399999999999997,minus,0.96399999999999997,-0.37604255078381782,0,0
-0.95999999999999996,plus,0.95999999999999996,0.39597979746446665,0,0
-0.95999999999999996,minus,0.95999999999999996,-0.39597979746446665,0,0
-0.95599999999999996,plus,0.95599999999999996,0.41488311607005662,2.2204460492503131e-16,0
-0.95599999999999996,minus,0.95599999999999996,-0.41488311607005662,2.2204460492503131e-16,0
-0.95199999999999996,plus,0.95199999999999996,0.43288797627099812,0,0
-0.95199999999999996,minus,0.95199999999999996,-0.43288797627099812,0,0
-0.94799999999999995,plus,0.94799999999999995,0.45010221061443378,0,0
-0.94799999999999995,minus,0.94799999999999995,-0.45010221061443378,0,0
-0.94399999999999995,plus,0.94399999999999995,0.46661333028536611,0,0
-0.94399999999999995,minus,0.94399999999999995,-0.46661333028536611,0,0
-0.93999999999999995,plus,0.93999999999999995,0.48249352327259287,0,0
-0.93999999999999995,minus,0.93999999999999995,-0.48249352327259287,0,0
-0.93599999999999994,plus,0.93599999999999994,0.49780317395532969,0,0
-0.93599999999999994,minus,0.93599999999999994,-0.49780317395532969,0,0
-0.93199999999999994,plus,0.93199999999999994,0.51259340612224058,0,0
-0.93199999999999994,minus,0.93199999999999994,-0.51259340612224058,0,0
