chain_length,scaled_quench_time_tau_over_n2,quench_time,ground_state_probability,one_mode_approximation
32,0.001,1.024,0.019152344815941805,0.060128911823654096
32,0.0011279663305026155,1.1550375224346783,0.025129502213371884,0.0675577617323806
32,0.0012723080427475358,1.3028434357734766,0.03245287159045774,0.07586680786090738
32,0.0014351206342469028,1.4695635294688285,0.04128881711759524,0.08515030495474141
32,0.0016187677556400654,1.657618181775427,0.051796572354884204,0.09550990212078381
32,0.0018259155252652811,1.869737497871648,0.06412330435823714,0.10705445869166119
32,0.002059571234841233,2.1090009444774225,0.07839948884524775,0.11989958591124816
32,0.0023231270081726088,2.3788820563687514,0.0947348384962788,0.13416683366935434
32,0.0026204090466999774,2.683298863820777,0.11321496852890883,0.14998242720506327
32,0.0029557331768220304,3.026670773065759,0.13389882996803842,0.16747544440086914
32,0.003333967505404784,3.413982725534499,0.15681674013829425,0.18677531136398084
32,0.0037606030930863936,3.850857567320467,0.18196883753898513,0.2080084845003466
32,0.004241833671385446,4.343637679498697,0.2093242724115997,0.2312941841986793
32,0.004784645560915079,4.899477054377041,0.23882230736403068,0.2567390526301693
32,0.00539691909610101,5.526445154407434,0.2703769688619377,0.28443063137683455
32,0.006087543028848549,6.2336440615409145,0.3038859609008261,0.314429600286926
32,0.006866543572027084,7.031340617755734,0.33924202054746644,0.34676079492049006
32,0.007745229956175704,7.931115475123921,0.3763419675497527,0.3814031345720569
32,0.008736358612566452,8.946031219268047,0.41508740534646504,0.4182787539349283
32,0.009854318366171502,10.090822006959618,0.45537276492174406,0.4572418441923106
32,0.011115339327095,11.38210747094528,0.4970608100193481,0.49806797315146867
32,0.01253772851307476,12.838633997388554,0.5399508855048158,0.540444958368659
32,0.01414213562373095,14.481546878700494,0.583748643295322,0.583966685918032
32,0.01595185282497012,16.334697292769402,0.6280461340285045,0.6281315530590463
32,0.01799315289569933,18.424988565196113,0.6723181292488134,0.6723473920834798
32,0.020295670645934495,20.782766741436923,0.7159360849932102,0.7159447049578862
32,0.022892833143584382,23.442261139030407,0.7581975423400761,0.7581996847144497
32,0.02582234499577753,26.44208127567619,0.7983672621435385,0.7983677019320282
32,0.02912673572985976,29.825777387376395,0.8357265415933459,0.8357266143996698
32,0.03285397722072934,33.64247267402684,0.8696274219885831,0.8696274314511558
32,0.03705818012808261,37.94757645115659,0.8995477072620592,0.8995477081988937
32,0.04180037945417829,42.80358856107857,0.9251409495165217,0.9251409495848195
32,0.04714942062654641,48.28100672158352,0.9462738785329576,0.9462738785364868
32,0.05318295896944989,54.45934998471669,0.9630434019654308,0.9630434019655546
32,0.05998858707404156,61.42831316381856,0.9757671337316782,0.9757671337316811
32,0.06766510643394333,69.28906898835797,0.9849456158323096,0.9849456158323096
32,0.07632396180736398,78.15573689074071,0.9912003537244979,0.9912003537244979
32,0.08609085912927414,88.15703974837672,0.9951979578115119,0.9951979578115119
32,0.09710759046186494,99.4381726329497,0.9975749172591477,0.9975749172591477
32,0.10953409247722065,112.16291069667395,0.9988778275158957,0.9988778275158957
32,0.12355076835646472,126.51598679701988,0.9995294924797076,0.9995294924797076
32,0.1393611068138202,142.70577337735187,0.9998234908907929,0.9998234908907929
