quench_time,mode_index,momentum_k,forward_probability,reverse_probability,absolute_probability_difference,forward_state_norm,reverse_state_norm
8.0,0,0.09817477042468103,0.6156419221993561,0.6156419218236828,3.756732702697718e-10,0.99999999876163,0.9999999981512715
8.0,1,0.2945243112740431,0.013638776158368079,0.013638776146355695,1.2012384142945365e-11,0.9999999988821067,0.9999999980256974
8.0,2,0.4908738521234052,7.585347420403721e-05,7.585347386328427e-05,3.407529385610411e-13,0.999999998909048,0.9999999979377426
8.0,3,0.6872233929727672,9.73870826560257e-05,9.738708254083482e-05,1.1519087008034223e-13,0.9999999989338111,0.9999999979621039
8.0,4,0.8835729338221293,0.00014468921000398708,0.00014468920986079954,1.431875451540776e-13,0.9999999989119458,0.9999999979332841
8.0,5,1.0799224746714913,0.00018928326011103934,0.0001892832599332548,1.777845448983073e-13,0.9999999988632554,0.99999999787518
8.0,6,1.2762720155208536,0.0002251327974414204,0.00022513279721540715,2.2601324566225156e-13,0.9999999988043425,0.9999999978016212
8.0,7,1.4726215563702154,0.00024304087157184023,0.00024304087131647468,2.553655529223542e-13,0.9999999987366173,0.999999997720492
8.0,8,1.6689710972195777,0.00024272795639773844,0.0002427279561356429,2.6209554817267777e-13,0.9999999986650709,0.9999999976357984
8.0,9,1.8653206380689396,0.00022486867468313564,0.00022486867442734172,2.557939212007032e-13,0.9999999985931876,0.9999999975517415
8.0,10,2.061670178918302,0.00019022399805533312,0.00019022399783184344,2.2348968379062861e-13,0.9999999985225523,0.999999997469909
8.0,11,2.2580197197676637,0.00014549265475676,0.00014549265458291448,1.7384552998545022e-13,0.9999999984525512,0.9999999973894038
8.0,12,2.454369260617026,9.704259842657774e-05,9.704259830842706e-05,1.1815067424859188e-13,0.9999999983807603,0.9999999973064181
8.0,13,2.650718801466388,5.3439709514351955e-05,5.343970944785106e-05,6.650089550211402e-14,0.999999998299067,0.9999999972087278
8.0,14,2.84706834231575,2.0269463878234987e-05,2.026946385226285e-05,2.5972137580789617e-14,0.9999999981816057,0.9999999970646501
8.0,15,3.043417883165112,2.3062535805287137e-06,2.306253577450858e-06,3.0778555736249522e-15,0.9999999979165126,0.9999999967165687
16.0,0,0.09817477042468103,0.38139772778178377,0.38139772766772917,1.1405459909852311e-10,0.999999997170541,0.9999999968715577
16.0,1,0.2945243112740431,0.00015280071635311366,0.00015280071621331037,1.3980328938782705e-13,0.9999999974207073,0.9999999963647686
16.0,2,0.4908738521234052,1.3622389711784373e-05,1.3622389695029343e-05,1.6755029980629332e-14,0.9999999975196365,0.9999999965431294
16.0,3,0.6872233929727672,2.4629005500706645e-05,2.4629005476298947e-05,2.4407698220397026e-14,0.9999999974945164,0.9999999965197024
16.0,4,0.8835729338221293,3.648671584025138e-05,3.64867158043594e-05,3.589198437157354e-14,0.9999999974083095,0.9999999964283295
16.0,5,1.0799224746714913,4.756080178989823e-05,4.756080174027925e-05,4.9618979985985995e-14,0.9999999972921568,0.9999999963007538
16.0,6,1.2762720155208536,5.574090375907639e-05,5.574090370059341e-05,5.848298326735848e-14,0.9999999971571185,0.9999999961535162
16.0,7,1.4726215563702154,6.07615606567264e-05,6.076156059318933e-05,6.353706623329902e-14,0.9999999970130717,0.9999999959969474
16.0,8,1.6689710972195777,6.0708183836237244e-05,6.0708183770472515e-05,6.576472900325994e-14,0.9999999968677132,0.99999999583753
16.0,9,1.8653206380689396,5.5868149893142936e-05,5.586814983166166e-05,6.148127661273137e-14,0.9999999967227511,0.9999999956783698
16.0,10,2.061670178918302,4.7453051291298426e-05,4.745305123786556e-05,5.34328644156111e-14,0.9999999965807287,0.9999999955228749
16.0,11,2.2580197197676637,3.636843159489579e-05,3.6368431552695355e-05,4.220043504097118e-14,0.9999999964400489,0.999999995369423
16.0,12,2.454369260617026,2.4489716673684962e-05,2.4489716645054154e-05,2.8630807983763204e-14,0.9999999962944826,0.9999999952089071
16.0,13,2.650718801466388,1.3544043072348611e-05,1.354404305616326e-05,1.6185351195689875e-14,0.9999999961253166,0.9999999950222899
16.0,14,2.84706834231575,5.108912407949093e-06,5.108912401733097e-06,6.2159961761718875e-15,0.9999999958742667,0.9999999947421984
16.0,15,3.043417883165112,5.825985520695375e-07,5.825985513103465e-07,7.591909719428195e-16,0.9999999952971631,0.9999999940767113
32.0,0,0.09817477042468103,0.14495171644402063,0.14495171649230434,4.828371036325052e-11,0.9999999939857103,0.9999999943171917
32.0,1,0.2945243112740431,1.6452588719255162e-06,1.6452588760372437e-06,4.11172747190108e-15,0.9999999945589678,0.9999999935647726
32.0,2,0.4908738521234052,3.3700066093212547e-06,3.3700066059956356e-06,3.3256190634439395e-15,0.9999999946699282,0.9999999936935664
32.0,3,0.6872233929727672,6.1060340594530005e-06,6.106034053518674e-06,5.934326380990784e-15,0.9999999945682437,0.9999999935939426
32.0,4,0.8835729338221293,9.148163633789339e-06,9.148163624835606e-06,8.953732869606927e-15,0.9999999943708102,0.9999999933905318
32.0,5,1.0799224746714913,1.190052934508798e-05,1.1900529333098617e-05,1.1989363427294779e-14,0.99999999412157,0.9999999931309965
32.0,6,1.2762720155208536,1.3956839958759339e-05,1.3956839944612927e-05,1.4146412448574897e-14,0.9999999938426153,0.9999999928403053
32.0,7,1.4726215563702154,1.5058025022386155e-05,1.5058025006229176e-05,1.6156978980088645e-14,0.9999999935505177,0.9999999925342459
32.0,8,1.6689710972195777,1.5094972668787048e-05,1.509497265233203e-05,1.6455017686975437e-14,0.9999999932539957,0.9999999922241385
32.0,9,1.8653206380689396,1.401333961019908e-05,1.4013339594640727e-05,1.5558351997143824e-14,0.9999999929604051,0.9999999919168449
32.0,10,2.061670178918302,1.1905787108973341e-05,1.1905787095758943e-05,1.3214398379788467e-14,0.999999992672154,0.9999999916148169
32.0,11,2.2580197197676637,9.128016437638155e-06,9.128016427267415e-06,1.037073936926633e-14,0.9999999923870635,0.9999999913154518
32.0,12,2.454369260617026,6.1544323964684356e-06,6.154432389276526e-06,7.191909421515666e-15,0.9999999920908879,0.9999999910048716
32.0,13,2.650718801466388,3.3854614265144028e-06,3.3854614225226177e-06,3.991785065471029e-15,0.9999999917442193,0.999999990639644
32.0,14,2.84706834231575,1.2838874462423045e-06,1.283887444710993e-06,1.5313114783090023e-15,0.9999999912259978,0.9999999900908642
32.0,15,3.043417883165112,1.4655442876780153e-07,1.46554428580992e-07,1.868095430966897e-16,0.9999999900204081,0.9999999887945747
