field_g,momentum_k,energy
0.0,0.01227184630308513,2.0
0.0,0.03681553890925539,2.0
0.0,0.06135923151542565,1.9999999999999998
0.0,0.0859029241215959,1.9999999999999998
0.0,0.11044661672776616,2.0
0.0,0.1349903093339364,1.9999999999999998
0.0,0.1595340019401067,2.0
0.0,0.18407769454627693,1.9999999999999998
0.0,0.2086213871524472,2.0
0.0,0.23316507975861744,2.0
0.0,0.25770877236478773,1.9999999999999998
0.0,0.28225246497095796,1.9999999999999998
0.0,0.30679615757712825,2.0
0.0,0.3313398501832985,1.9999999999999998
0.0,0.35588354278946877,2.0
0.0,0.380427235395639,2.0
0.0,0.4049709280018093,2.0
0.0,0.4295146206079795,2.0
0.0,0.4540583132141498,2.0
0.0,0.47860200582032003,2.0
0.0,0.5031456984264903,2.0
0.0,0.5276893910326605,2.0
0.0,0.5522330836388308,2.0
0.0,0.5767767762450011,2.0
0.0,0.6013204688511713,2.0
0.0,0.6258641614573416,2.0
0.0,0.6504078540635119,2.0
0.0,0.6749515466696822,2.0
0.0,0.6994952392758523,2.0
0.0,0.7240389318820226,2.0
0.0,0.7485826244881929,2.0
0.0,0.7731263170943632,2.0
0.0,0.7976700097005334,2.0
0.0,0.8222137023067037,2.0
0.0,0.8467573949128739,2.0
0.0,0.8713010875190442,2.0
0.0,0.8958447801252144,2.0
0.0,0.9203884727313847,2.0
0.0,0.944932165337555,2.0
0.0,0.9694758579437253,2.0
0.0,0.9940195505498954,1.9999999999999998
0.0,1.0185632431560658,2.0
0.0,1.043106935762236,2.0
0.0,1.0676506283684062,2.0
0.0,1.0921943209745766,2.0
0.0,1.1167380135807468,2.0
0.0,1.141281706186917,2.0
0.0,1.1658253987930873,2.0
0.0,1.1903690913992575,2.0
0.0,1.214912784005428,2.0
0.0,1.239456476611598,2.0
0.0,1.2640001692177683,1.9999999999999998
0.0,1.2885438618239387,1.9999999999999998
0.0,1.3130875544301088,2.0
0.0,1.337631247036279,1.9999999999999998
0.0,1.3621749396424494,2.0
0.0,1.3867186322486196,1.9999999999999998
0.0,1.41126232485479,2.0
0.0,1.4358060174609601,1.9999999999999998
0.0,1.4603497100671303,2.0
0.0,1.4848934026733007,1.9999999999999998
0.0,1.509437095279471,1.9999999999999998
0.0,1.533980787885641,2.0
