quench_time,mode_index,momentum_k,p_bdg,p_lz_sin2,p_lz_gaussian,state_norm,absolute_error_bdg_vs_lz
8.0,0,0.02454369260617026,0.9700714564688309,0.9701801651205428,0.9701742668538964,0.9999999986554684,0.00010870865171197508
8.0,1,0.07363107781851078,0.760983652625314,0.76183599642672,0.7614611667834336,0.999999998726973,0.0008523438014059748
8.0,2,0.1227184630308513,0.46908223048636544,0.47085892204016605,0.4690766097947833,0.9999999987932944,0.0017766915538006134
8.0,3,0.1718058482431918,0.22790398766292075,0.23011919088778443,0.22679726042424833,0.9999999988512407,0.002215203224863682
16.0,0,0.02454369260617026,0.9413370077254499,0.9412495527933238,0.9412381080654955,0.9999999968758135,8.745493212614086e-05
16.0,1,0.07363107781851078,0.5809597323886236,0.5803940854514933,0.5798231085191881,0.9999999970878415,0.0005656469371303485
16.0,2,0.1227184630308513,0.22243788379547907,0.22170812446482716,0.22003286585656734,0.9999999972502911,0.000729759330651919
16.0,3,0.1718058482431918,0.05328769469680529,0.05295484201484857,0.051436997335944326,0.9999999973506741,0.0003328526819567218
32.0,0,0.02454369260617026,0.8860063511799372,0.885950720633632,0.8859291760747132,0.9999999933230703,5.563054630519648e-05
32.0,1,0.07363107781851078,0.3370145628178896,0.33685729442707524,0.33619483717285414,0.9999999937948578,0.00015726839081436905
32.0,2,0.1227184630308513,0.049076580317110555,0.04915449245371129,0.048414462057054165,0.9999999941231356,7.791213660073709e-05
32.0,3,0.1718058482431918,0.002734914083535397,0.002804215292817571,0.0026457646949379437,0.9999999942546076,6.930120928217397e-05
