instance,tau_real,tau_imag,tau_abs
0,-0.003808222508577393,0.005860663311548976,0.006989272717970855
1,-0.013447519847278619,0.03445318013287182,0.03698455638926964
2,0.00162293019692879,0.01208502398895114,0.01219351086593307
3,-0.03556724650440695,-0.019165628683094307,0.04040235570760071
4,0.026703489352862222,-0.016288324919529397,0.03127916035162371
5,-0.0125873434338772,-0.019172972136519528,0.022935650748782465
6,-0.023667402619080687,-0.020109419102785894,0.031056958695035764
7,-0.05924173458997806,-0.005005818974419831,0.059452849728453425
8,0.0074948336448071515,-0.009818448999659344,0.012352103955288136
9,0.010370842356612718,-0.006032400709386631,0.011997676004306866
10,-0.015838569067366467,0.004072857866152554,0.016353850962376373
11,0.02242092213323901,0.05909565494311752,0.06320596635176759
12,-0.01927506695823361,-0.029062487240903934,0.03487343359739751
13,0.025715122431759795,-0.03338051172668842,0.042136991881433335
14,-0.019517348057145726,0.002767190997048953,0.01971253969426362
15,0.03970964162879153,-0.03012124434527745,0.049841197810596025
16,-0.006614291526159787,0.006248083719031832,0.009098758297320564
17,-0.040618196932729396,-0.026835083039660805,0.0486822308836754
18,-0.019056601767989963,-0.0202888208155947,0.027835055613938817
19,-0.01671924940538286,0.005522605319665565,0.017607738929124137
20,2.3205458649444045e-05,0.012837784742640797,0.012837805715607787
21,-0.0631567242357413,0.024195681338406994,0.06763285304952918
22,0.0042596905010652275,0.01890489568106163,0.0193788555873841
23,-0.012021444781094109,0.003923817032787666,0.012645610888038956
24,0.021606595572371663,0.0374089829650913,0.043200427992214636
25,-0.00018889377437814525,-0.010879702465097263,0.01088134213169691
26,0.02583654042436681,-0.020556000903666972,0.03301629891813281
27,0.04424313480160823,-0.0178224938542613,0.047697969183797116
28,0.013323317329038986,0.035425434162175556,0.037848014085667764
29,0.006804841283977148,-0.020975063379681313,0.0220512845131926
30,0.01898386646422718,0.012084528116101268,0.02250384424316102
31,0.04033545977985787,-0.021256143472101068,0.04559356260437516
32,-0.006744529778765107,-0.005037781591919675,0.008418308933778448
33,-0.0003759530231267332,0.03866471202670073,0.038666539757046973
34,0.027321908802437116,0.004640085232260536,0.02771312128886483
35,-0.01417330178749767,-0.02242678368261154,0.026530041649159463
36,0.01671554123552406,0.008066305925201807,0.018560027211064402
37,-0.039985750782222135,-0.041032374874368054,0.057293246141658344
38,0.018959294353656907,0.009882182470300472,0.021380186452997097
39,0.00209653678215942,-0.012940598611537561,0.013109330986128744
40,-0.017844207312653466,0.006233314885842313,0.018901585888041743
41,0.028366144324549647,0.030571127435326816,0.04170410023616589
42,-0.0031104550494536233,-0.025829127584423038,0.026015740665740705
43,-0.0036281666056627443,-0.012567509972577889,0.013080745385079973
44,-0.004834045216527444,0.02839211785659788,0.028800700504299823
45,0.00663038759011841,-0.02605354335018081,0.02688399450779119
46,-0.005052548372038283,0.004027405640676921,0.006461287893782708
47,0.0007993183522703798,-0.018071244550113198,0.018088913439404594
48,0.025522505905438163,-0.005704455293084372,0.02615222969239763
49,0.005908544173952544,-0.022883316502963567,0.023633811974168563
50,0.014420250148521436,0.04767850136547837,0.04981147565374725
51,-0.04109483077179055,0.021605819035918614,0.046428402216477
52,-0.021616228863799155,-0.023062209474118002,0.031608967969869596
53,-0.020336617561615332,0.0015337222633068637,0.020394369758057352
54,-0.030403269910390256,-0.0367688524293818,0.04771066264701945
55,-0.02226656273590906,0.0029113558522443836,0.022456086234483773
56,-0.023866098784785,-0.004900565493169432,0.024364035243734955
57,-0.0055885743859744215,-0.0012295717949802774,0.005722238239236497
58,-0.003058838320766616,-0.014536078261165857,0.01485442907308554
59,0.00795805744336578,-0.049521725194314706,0.05015707272651718
60,-0.05209183823401374,0.02910437128593112,0.0596709647864687
61,-0.02035703240492239,0.0196542473600488,0.028296611239246396
62,-0.01924813341495552,-0.01998419489868798,0.027746327427403322
63,0.012303926090496724,0.060958952172408376,0.06218826615365939
64,0.02382528254528751,0.0006470083274156858,0.023834066126838846
65,0.00883887406293746,0.01306632620772099,0.015775125206065558
66,0.019893409110295843,-0.008461789625523547,0.02161827027530694
67,0.031666426474377805,0.008579286566909317,0.032808028341464325
68,0.008082399059882882,0.01646465453638485,0.01834148367950897
69,-0.0008727841146757374,0.0007367592288068416,0.0011421761125423534
70,-0.001363209311853096,0.013692676895665692,0.013760368461528203
71,0.0038145976529681772,-0.059664376067442224,0.0597861934460725
72,-0.015786800180788704,0.015223453302151201,0.021931178499819123
73,-0.0332739689454411,0.008597561788576529,0.03436677287861882
74,-0.024090858492891543,0.024317433296435216,0.03423020632498584
75,0.02206166519083243,0.011657137382432039,0.024952072518035086
76,0.010331726021878478,0.009863416683064834,0.014283961329229456
77,0.027886975627674105,-0.026899216768529542,0.03874598395213148
78,0.00806513421043491,-0.003637415410530063,0.008847439217145781
79,0.030708144588935525,0.024807042164705393,0.03947631549494509
80,-0.009852928199164846,-0.013092592050042786,0.01638585245529635
81,-0.019755170919350442,-0.005398864060285439,0.020479612086028172
82,-0.014000581940291858,-0.003975601445027522,0.014554095695594812
83,-0.02190980780745943,0.030829141698587678,0.03782162947350904
84,0.017928577612421753,-0.010219747604772338,0.02063679084329442
85,0.027433760926921635,-0.02813658973358342,0.0392973144175462
86,0.011150335576307395,-0.040628196463398956,0.042130515441100524
87,0.028564673631051293,-0.02174827541663796,0.03590164429725213
88,-0.0033689061512867232,0.00213326254013437,0.003987522754959283
89,0.00166406113975847,-0.0023293461012796023,0.00286268278654844
90,0.026804652536930602,-0.018758123288226493,0.032716304603697
91,-0.026518752513483363,0.015965024647818057,0.03095361443962269
92,0.01299246892794845,0.015083962026172777,0.019908042577077442
93,0.010957177433231114,0.013160260983476122,0.01712460821322675
94,0.00773309888170214,-0.030764360218824508,0.0317213914888325
95,0.029162695586256806,0.02410353797418205,0.03783442026421864
96,0.023184638486202173,-0.0407313675542668,0.0468675982377662
97,-0.014801770085382963,0.03416971838013544,0.03723791148598835
98,0.006113081354269065,-0.010413768289104845,0.01207544341310404
99,0.0034377782659533885,-0.028101570080173572,0.02831106780707446
100,0.03660199042916721,0.03999993361517912,0.05421900398011369
101,0.019866732683305507,0.006415423259398972,0.020876894479475546
102,0.008455020764787064,-0.03897023709670324,0.039876895008340935
103,-0.004861646873205642,-0.002567704095522011,0.005498064626931072
104,-0.021486692995832463,0.013053308939036588,0.025140939722991428
105,0.01320714156281497,0.007908684619048752,0.015394020938787011
106,-0.008934230190819282,0.024622890525196367,0.0261936482170459
107,-0.0023955362790046425,-0.03282027165594177,0.032907580063472344
108,0.020840418083793062,0.017393763457598875,0.027145276442250333
109,-0.01821760108282868,0.004803394230493356,0.018840211924142935
110,-0.00028249094435056285,0.001176014321105534,0.0012094671624667546
111,-0.03343515422577703,-0.01292931506100056,0.035847966832836024
112,0.04828539970528012,0.03365028769514217,0.058854241025303365
113,-0.0040363361256829855,0.020234550165487326,0.020633202119862942
114,-0.0406577871244165,-0.004190930591051918,0.04087321314838586
115,-0.002482397987580447,-0.024383901308579932,0.024509935593454945
116,-0.0044275429269834896,0.01576747966737598,0.01637731820022425
117,0.03265659521194568,0.04473611446390134,0.05538748187238842
118,-0.005572961589493752,-0.004927522087503161,0.007438976730761042
119,-0.04307043393171497,-0.02075802859074402,0.047811693444599616
120,0.011385838207445386,-0.009115096524659454,0.014585002445662531
121,-0.004966722210300055,-0.030044515574117837,0.03045227816761329
122,-0.0007857380340458513,-0.016063678024676717,0.016082883321675498
123,0.011014211692440745,-0.01348556981768617,0.017411876765977486
124,-0.024621327432388082,-0.036124136508147484,0.043716850332476374
125,0.04663100886893514,-0.029740302463830186,0.05530765388962735
126,-0.003887523018281323,0.04699084617656389,0.047151378130518694
127,0.026186847553996764,0.0145881598381616,0.029976080335494457
128,-0.03330712657158175,0.04682356427675291,0.05746138574760078
129,-0.01387453432896696,0.045380615705285926,0.047454219882287874
130,-0.007013341712071363,-0.014964798105036144,0.0165267100263414
131,0.013582847520891103,0.008071514511360414,0.01580009788839548
132,-0.014664858343142097,0.0033871496290415167,0.015050941925140116
133,0.041434965481500496,0.010059597826415844,0.04263861950019452
134,-0.03047780373588643,-0.02105092495300661,0.03704103078938718
135,-0.027936846457684135,0.004607622912837242,0.028314264583547306
136,0.02609667521228533,0.006563643569995701,0.026909438382274973
137,-0.03411530067605248,4.6840385219478094e-05,0.03411533283201491
138,0.024086093655091855,0.030032371452016326,0.03849783425848448
139,-0.005675050297058854,0.012029657271497504,0.013301084540135837
140,0.008114731580294566,0.020103109947947236,0.02167911202516111
141,-0.010697835423187266,-0.010606580276840291,0.015064635007548564
142,-0.01834524895908391,-0.01886466646237757,0.026313946874376756
143,0.045831272194374245,-0.011473306543289739,0.04724555295465507
144,0.0067361846000509144,-0.003963269760246514,0.007815605552895281
145,-0.016319210575713235,-0.020105834920595717,0.02589519707723262
146,-0.01705039247774931,-0.011334870111345784,0.020474256130232675
147,-0.01657063950412796,0.004238054098089949,0.017104011111844588
148,0.01300420788889059,0.021676599444577407,0.025278140483392716
149,-0.009723523956195869,-0.015768881180633135,0.018525780194519226
150,0.005363979584058782,0.009759948903225348,0.01113682538121924
151,0.008938320620288959,0.032200798997575865,0.033418333764467754
152,0.034473158114074115,-0.03837927041477327,0.05158843889795702
153,-0.003602633730033551,0.0022917788313560825,0.004269803274698649
154,0.040040671813376054,-0.009855926826196848,0.0412358423324883
155,0.01977768829149803,0.017306493569985548,0.026280633056370795
156,0.012822223897916929,0.032746035826107474,0.03516692036577878
157,-0.005158097834751622,-0.01165090823692012,0.012741649658423452
158,0.010789696371432293,0.0070955484893485115,0.012913727430621847
159,-0.007332575508683221,-0.04942044642527938,0.0499614570290384
160,0.00011216792580669155,-0.019491401322953714,0.01949172406884577
161,0.018661617706772046,0.0024961394559772547,0.018827816857442458
162,-0.026510867765282144,-0.024876064186699267,0.036354431354224996
163,-0.00508971625908285,0.008514891989400735,0.009920110744801851
164,0.0019491959197161166,0.021483407067839244,0.02157165139658814
165,-0.006879526584325727,0.007985667074709456,0.0105403398736731
166,0.004071310403452131,0.005815097965781188,0.007098657109122123
167,0.006084828547808105,0.028221883150406742,0.028870397070553645
168,0.006549718490226794,0.027846195726696325,0.028606108241959433
169,0.01006538397470523,-0.02709053794571347,0.028899986172079638
170,-0.034419798682208874,-0.020946118587928896,0.04029221296011635
171,0.004929038563602783,0.017582583117235463,0.018260412104768527
172,-0.029707119276020006,0.006468621592348722,0.030403223529498966
173,-0.040781715321409145,0.016274762300591945,0.04390918118682272
174,0.012387760886404867,0.03849851380648482,0.04044245523069594
175,0.004028608442715038,0.001611837457654721,0.0043390904547628084
176,-0.030884713958145155,0.02071011773410778,0.03718567644721623
177,-0.006452016417542178,-0.00974942964993398,0.01169101767816838
178,0.005672980812503111,0.026638285043227353,0.027235655698794155
179,-0.028037388574975237,0.024476497866660042,0.03721819589825339
180,0.009791321479659287,-0.024587740845892714,0.026465580972705252
181,0.01110745302493419,0.004659923206954792,0.012045347524909171
182,0.021319889977648117,-0.013819826189641629,0.025407190017216096
183,0.020170807880897475,0.018475900046156277,0.02735361718463635
184,-0.03525801776395468,-0.04134596096437727,0.05433798215531335
185,-0.033666742692109126,-0.0176569871175106,0.03801603290145644
186,0.018638677987526317,-0.03762395906598742,0.04198764833759799
187,0.05033238929393158,-0.006411280314520642,0.05073907692604624
188,0.027803377046763684,0.01537568520939322,0.031771677180515025
189,-0.021085980544701968,-0.012705947203581704,0.024618279181773766
190,-0.002640383579666363,0.02562472511457341,0.02576039911657467
191,-0.027781771624885824,0.0176016957057158,0.03288839501000201
192,0.00612929041898326,0.012567266865575367,0.01398228870789144
193,-0.010450554767856652,0.03905866447191433,0.04043257801928482
194,-0.01636398982178878,0.009269687213329431,0.01880710673975585
195,-0.048589602405186096,0.0006476663083671893,0.04859391868887567
196,-0.04212234073123337,-0.04130662887894576,0.05899600984830311
197,-0.02017888992966116,-0.034004847269672275,0.039541335797202384
198,0.016315079008872236,-0.001647798211757149,0.01639808043681984
199,-0.023308979380330008,0.006407027127259655,0.024173508565412893
200,-0.0364437967825052,-0.01598884135259787,0.03979690153420339
201,0.006895339322993511,-0.04664927149902752,0.04715612617432863
202,0.028985167557921614,-2.5997319443528746e-05,0.028985179216651568
203,0.018941998517257568,-0.010065923693211992,0.021450457515525267
204,-0.0038543995066282334,-0.004331487330652891,0.005798118492433771
205,0.006329178258569275,0.005832034496171388,0.008606458260706261
206,-0.03998148235248499,-0.024889736770046546,0.047095837688529076
207,-0.004523196596484503,0.0074432625903811,0.008709848761018515
208,-0.022963021983801707,0.005926392953397598,0.023715448805929042
209,0.000538508067841989,-0.02052263789372467,0.02052970182579559
210,0.01949939801630976,0.0007629263612318896,0.019514317298617637
211,0.012082755975359684,-0.0452669168124131,0.04685175289849909
212,0.0014424313539102818,-0.020793645651855208,0.020843615514244653
213,0.016788441451944136,-0.02474916597629426,0.02990606933228634
214,-0.00043338215337701113,-0.02984536278372551,0.029848509171867415
215,0.021255264404577152,0.009593336312463716,0.02331991351854718
216,0.059244491899432206,0.00990599033097559,0.060066949854801766
217,0.009733959521672877,0.026230785554101424,0.027978636113199336
218,-0.016136427329829825,-0.020672068334302914,0.026224391245345775
219,-0.05856532321335332,-0.03172944920748033,0.06660822043933178
220,-0.010359324416493275,0.006746820825661002,0.012362653178817512
221,-0.002882696059153176,0.010120491368649023,0.010523035784048092
222,-0.012227459973577735,0.03889783435977491,0.040774407356648744
223,0.015021200428664408,0.020047341097152276,0.025050595749077077
224,0.018898982195329945,0.03036315116449105,0.03576440236683863
225,-0.01755803903643733,0.01744079108270759,0.024748048981600747
226,0.033877715152656925,-0.00029110486132025507,0.03387896583434691
227,-0.008779659751321056,0.010188247825418868,0.013449268348171181
228,-0.0036747291374272144,0.00561301747594206,0.00670891939277016
229,-0.00283052028499012,0.004147527914224734,0.005021337758308429
230,-0.0044536017314619515,-0.04624445812024144,0.04645841662408702
231,0.07017842812376625,-0.006636640989781825,0.07049153692146226
232,-0.0006882717206197798,0.037759060493812474,0.03776533287734658
233,0.005670245456318324,-0.0048352674944046985,0.00745194573768122
234,0.0316846120216992,0.0016019915770117627,0.03172508496408515
235,0.034061387037849306,-0.029145025762944587,0.04482868070404116
