alpha,analytic_discord,discord_positive,witness_rows,max_negativity,max_realignment_trace_norm,all_grouped_witnesses_non_detecting
0.25,0.022843996458733792,True,168,0.0,0.49228485521540266,True
0.5,0.09546876302258372,True,168,0.0,0.6353145594738844,True
