generator,instance,alpha_index,alpha,discord,optimal_phi,tau_real,tau_imag,tau_abs
qr_haar,0,0,0.0,0.0,0.0,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,1,0.025,0.00021438962790032434,0.2678877456549436,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,2,0.05,0.0008578975607642647,0.2678877456549436,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,3,0.07500000000000001,0.0019315437759068743,0.2678877456549436,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,4,0.1,0.0034370377251100592,0.2678877456549436,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,5,0.125,0.00537679276994929,0.2678877456549436,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,6,0.15000000000000002,0.0077539468008449575,0.2678877456549436,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,7,0.17500000000000002,0.010572389467774279,0.2678877456549436,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,8,0.2,0.013836796600344314,0.2678877456549436,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,9,0.225,0.017552672567603622,0.2678877456549436,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,10,0.25,0.02172640153132921,0.2678877456549436,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,11,0.275,0.026365308790706088,0.2678877456549436,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,12,0.30000000000000004,0.03147773371383611,0.2678877456549436,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,13,0.325,0.03707311611942554,0.2678877456549436,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,14,0.35000000000000003,0.04316209843222385,0.2678877456549436,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,15,0.375,0.04975664651840361,0.2678877456549436,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,16,0.4,0.05687019285272843,0.2678877456549436,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,17,0.42500000000000004,0.06451780663426732,0.2678877456549436,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,18,0.45,0.07271639672986296,0.2678877456549436,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,19,0.47500000000000003,0.08148495499578967,0.2678877456549436,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,20,0.5,0.09084484976748008,0.2678877456549436,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,21,0.525,0.10082018234734047,0.2678877456549436,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,22,0.55,0.1114382235065996,0.2678877456549436,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,23,0.5750000000000001,0.12272974584336005,0.2435343142317669,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,24,0.6000000000000001,0.13473016166449447,0.2435343142317669,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,25,0.625,0.147480136772268,0.2435343142317669,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,26,0.65,0.16102657577664914,0.2435343142317669,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,27,0.675,0.17542411908471411,0.2435343142317669,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,28,0.7000000000000001,0.1907370141324325,0.2435343142317669,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,29,0.7250000000000001,0.20704163942659193,0.2435343142317669,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,30,0.75,0.22442998877584142,0.2435343142317669,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,31,0.775,0.2430146134965021,0.2435343142317669,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,32,0.8,0.26293586350783027,0.2435343142317669,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,33,0.8250000000000001,0.28437292177010765,0.2435343142317669,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,34,0.8500000000000001,0.3075614582501709,0.2435343142317669,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,35,0.875,0.3328236827406048,0.2435343142317669,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,36,0.9,0.360623882978655,0.2435343142317669,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,37,0.925,0.39168352511864235,0.2435343142317669,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,38,0.9500000000000001,0.4272651212423684,0.2435343142317669,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,39,0.9750000000000001,0.4701261765044249,0.2435343142317669,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,0,40,1.0,0.5341200936847823,0.2435343142317669,-0.003808222508577413,0.005860663311549025,0.006989272717970907
qr_haar,1,0,0.0,0.0,0.0,-0.013447519847278794,0.03445318013287176,0.03698455638926965
qr_haar,1,1,0.025,0.00021822295048945506,2.727584319395789,-0.013447519847278794,0.03445318013287176,0.03698455638926965
qr_haar,1,2,0.05,0.0008732383292784363,2.727584319395789,-0.013447519847278794,0.03445318013287176,0.03698455638926965
qr_haar,1,3,0.07500000000000001,0.001966088606129013,2.727584319395789,-0.013447519847278794,0.03445318013287176,0.03698455638926965
qr_haar,1,4,0.1,0.00349852091453684,2.727584319395789,-0.013447519847278794,0.03445318013287176,0.03698455638926965
qr_haar,1,5,0.125,0.005473001782313247,2.727584319395789,-0.013447519847278794,0.03445318013287176,0.03698455638926965
