dimension,qubits,alpha,phi_period,discord_min,discord_max,discord_range,conditional_entropy_range,half_cell_q_plus_max_difference,half_cell_q_minus_max_difference,minimum_discord_minus_continuum
4,2,0.5,1.5707963267948966,0.09436093777043353,0.09657409382245263,0.002213156052019105,0.002213156052019105,0.08838834764831843,0.08838834764831843,-0.0011078252521501963
4,2,1.0,1.5707963267948966,0.5,0.6008734984233701,0.10087349842337012,0.10087349842337012,0.17677669529663687,0.17677669529663687,-0.05730495911103661
8,3,0.5,0.7853981633974483,0.0954675569566148,0.09546996898360982,2.4120269950245188e-06,2.4120269950245188e-06,0.0239177145228181,0.023917714522818115,-1.2060659689283604e-06
8,3,1.0,0.7853981633974483,0.5504380183464281,0.5624723173705473,0.012034299024119122,0.012034299024119122,0.04783542904563623,0.047835429045636216,-0.006866940764608476
16,4,0.5,0.39269908169872414,0.09546876301516605,0.09546876303000174,1.4835688233461042e-11,1.4835688233461042e-11,0.006096572563004013,0.006096572563004013,-7.417677583276827e-12
16,4,1.0,0.39269908169872414,0.5564553168004815,0.5579426917278703,0.0014873749273887071,0.0014873749273887071,0.012193145126008012,0.012193145126008012,-0.0008496423105550654
32,5,0.5,0.19634954084936207,0.09546876302258411,0.09546876302258411,0.0,0.0,0.0015315178176493888,0.0015315178176493888,3.885780586188048e-16
32,5,1.0,0.19634954084936207,0.5571990225979464,0.5573844236685197,0.0001854010705732989,0.0001854010705732989,0.0030630356352987775,0.0030630356352987706,-0.00010593651309021013
64,6,0.5,0.09817477042468103,0.09546876302258411,0.095468763022585,8.881784197001252e-16,8.881784197001252e-16,0.00038334120568295216,0.00038334120568295216,3.885780586188048e-16
64,6,1.0,0.09817477042468103,0.5572917254162206,0.5573148843345628,2.3158918342147672e-05,2.3158918342147672e-05,0.0007666824113659026,0.0007666824113659043,-1.323369481598391e-05
128,7,0.5,0.04908738521234052,0.09546876302258323,0.095468763022585,1.7763568394002505e-15,1.7763568394002505e-15,9.586417391762529e-05,9.586417391762615e-05,-4.996003610813204e-16
128,7,1.0,0.04908738521234052,0.5573033051604934,0.5573061995190152,2.8943585217433565e-06,2.8943585217433565e-06,0.00019172834783525144,0.00019172834783525057,-1.6539505431900636e-06
256,8,0.5,0.02454369260617026,0.09546876302258323,0.095468763022585,1.7763568394002505e-15,1.7763568394002505e-15,2.3967848214296282e-05,2.3967848214296282e-05,-4.996003610813204e-16
256,8,1.0,0.02454369260617026,0.5573047523753836,0.5573051141543806,3.617789969823093e-07,3.617789969823093e-07,4.793569642859213e-05,4.7935696428592564e-05,-2.067356530410791e-07
512,9,0.5,0.01227184630308513,0.09546876302258411,0.09546876302258411,0.0,0.0,5.9920748526898215e-06,5.992074852690038e-06,3.885780586188048e-16
512,9,1.0,0.01227184630308513,0.5573049332693358,0.5573049784912172,4.522188135069882e-08,4.522188135069882e-08,1.1984149705380077e-05,1.1984149705379643e-05,-2.5841700779238863e-08
1024,10,0.5,0.006135923151542565,0.09546876302258411,0.09546876302258411,0.0,0.0,1.4980257631668327e-06,1.4980257631669412e-06,3.885780586188048e-16
1024,10,1.0,0.006135923151542565,0.5573049558808307,0.5573049615335517,5.652720957982638e-09,5.652720957982638e-09,2.996051526333557e-06,2.9960515263336655e-06,-3.230205880555559e-09
2048,11,0.5,0.0030679615757712823,0.09546876302258411,0.09546876302258411,0.0,0.0,3.7450688141719025e-07,3.7450688141719025e-07,3.885780586188048e-16
2048,11,1.0,0.0030679615757712823,0.5573049587072596,0.5573049594138517,7.06592118149274e-10,7.06592118149274e-10,7.490137628343805e-07,7.490137628342721e-07,-4.037770118259232e-10
4096,12,0.5,0.0015339807878856412,0.09546876302258234,0.09546876302258589,3.552713678800501e-15,3.552713678800501e-15,9.362674789343932e-08,9.362674789341221e-08,-1.3877787807814457e-15
4096,12,1.0,0.0015339807878856412,0.5573049590605645,0.5573049591488886,8.832401476865925e-11,8.832401476865925e-11,1.8725349578682443e-07,1.8725349578679732e-07,-5.0472070967089167e-11
