condition_id,p0,activity,shear_rate,seed,mean_stress,stress_std,bimodality,t1_count,tension_component_fraction
f25c8cfa46e48ac4,3.65,0.0,0.002,221115015,0.010879649754630414,0.0022653519511098576,0.5789402440956776,0,0.34375
3c4a355421c7e38e,3.65,0.0,0.006,221115015,0.010982446526224229,0.0022286089922764095,0.5806620562486496,0,0.34375
890b04af74fdea16,3.65,0.0,0.02,221115015,0.011342339703932901,0.00210004942294852,0.5872957136763679,0,0.34375
023658cc0f90ccfe,3.65,0.04,0.002,221115015,0.01089011305333527,0.002261148307780717,0.5790584561245552,0,0.34375
16c9f01dc32588cd,3.65,0.04,0.006,221115015,0.010992932061350569,0.0022243940578618436,0.5807888615730991,0,0.34375
06b7542916331a72,3.65,0.04,0.02,221115015,0.01135290297337245,0.002095795883817726,0.5874558856748844,0,0.34375
91f400564894e010,3.65,0.12,0.002,221115015,0.010911343362099996,0.0022525630070949383,0.5793043075435512,0,0.34375
099c7ab909e4c9e2,3.65,0.12,0.006,221115015,0.011014208418405714,0.002215785086394772,0.5810527145800852,0,0.34375
30367c5f4cda80e5,3.65,0.12,0.02,221115015,0.011374340312638481,0.002087105982314867,0.5877896781080088,0,0.34375
0f9b4d88dee7825d,3.65,0.25,0.002,221115015,0.010946702987537093,0.0022381085652561188,0.5797313489897978,0,0.34375
96cfd414aafe7147,3.65,0.25,0.006,221115015,0.011049647354185371,0.002201289095758319,0.5815113793137906,0,0.34375
2ac435d376e5ea7d,3.65,0.25,0.02,221115015,0.011410056529551153,0.002072467950974721,0.5883713328373609,0,0.34375
34aa6f8d513cebfb,3.65,0.5,0.002,221115015,0.011017675223476821,0.0022085786290119017,0.5806535385190348,0,0.3125
227fac8e2d7687fa,3.65,0.5,0.006,221115015,0.011120787717265731,0.002171668613662576,0.5825030142933835,0,0.3125
7bd715f9263df78e,3.65,0.5,0.02,221115015,0.011481784744871349,0.0020425380428434553,0.5896335670080058,0,0.3125
cc2030cc29ccdbb5,3.65,1.0,0.002,221115015,0.011171198475843584,0.0021428187795959506,0.5829431940915276,0,0.3125
2dd3bc962bb48aed,3.65,1.0,0.006,221115015,0.011274708917134849,0.0021056864738657833,0.5849691827897937,0,0.3125
5296ff27d5e0657d,3.65,1.0,0.02,221115015,0.011637097545061561,0.0019757973607728648,0.5927900829141699,0,0.3125
ec1ea8ea6b3870db,3.9,0.0,0.002,221115015,0.0033566060424332937,0.0028838052092401514,0.5194341753049763,0,0.0
940d64df70cff2dd,3.9,0.0,0.006,221115015,0.0033500637922669963,0.002859987596045886,0.49766003709830375,0,0.0
8544b23fd9c1f9d1,3.9,0.0,0.02,221115015,0.0033369269046579094,0.0027790976473279863,0.48428098114752416,0,0.0
ed18ea3738eeee46,3.9,0.04,0.002,221115015,0.0033588049923256825,0.0028879321072483844,0.4806064233554948,0,0.0
bdb42eba3d6b4655,3.9,0.04,0.006,221115015,0.0033512950861440153,0.0028648772001096338,0.49102065295300057,0,0.0
f8df16697cd9bb86,3.9,0.04,0.02,221115015,0.0033371940800138457,0.002783799719260613,0.48978699194638764,0,0.0
110cae0563c7202e,3.9,0.12,0.002,221115015,0.0033632036369697733,0.00289651097195737,0.4970422550209248,0,0.0
da96aad66ebea5c8,3.9,0.12,0.006,221115015,0.003353733100391814,0.002875001085059332,0.4801851577058323,0,0.0
3fc5c240e908860c,3.9,0.12,0.02,221115015,0.003337676884739564,0.002793561854573293,0.49679538772656934,0,0.0
e75b4e2de5ba2b99,3.9,0.25,0.002,221115015,0.003370353957570861,0.0029114050709064987,0.5042689127185113,0,0.0
ed8dd3037b61ba68,3.9,0.25,0.006,221115015,0.003359596928065413,0.0028901701144681954,0.48358595404685045,0,0.0
c7afd3c25c0388b8,3.9,0.25,0.02,221115015,0.0033383155159429126,0.002810473134338982,0.4826979188357739,0,0.0
a486986c395eb890,3.9,0.5,0.002,221115015,0.003387221294771461,0.0029399742509300443,0.5092000035524316,0,0.0
60419b893ece15f3,3.9,0.5,0.006,221115015,0.003373322492288837,0.0029199817097550563,0.48457231806888645,0,0.0
7bccf8a98b1ed180,3.9,0.5,0.02,221115015,0.0033426690822003285,0.00284256523104301,0.4925487323795195,0,0.0
1dd7bc62a201a860,3.9,1.0,0.002,221115015,0.0034375910828436758,0.0029935026306803177,0.518571721474915,0,0.0
70bb3cabd95463bc,3.9,1.0,0.006,221115015,0.003417488528074332,0.002975734000675487,0.5334365193796037,0,0.0
0a90795770e153a3,3.9,1.0,0.02,221115015,0.003362658619913485,0.002908325031320851,0.49975975719783905,0,0.0
e70ec22a39972708,4.0,0.0,0.002,221115015,0.0036444045916138494,0.0019803566908053933,0.6731920954365836,0,0.0
6dba74bb61c342d0,4.0,0.0,0.006,221115015,0.0037283328618044538,0.0020261210187457294,0.6555769244054084,0,0.0
cdc87a22ab110169,4.0,0.0,0.02,221115015,0.004039973568088988,0.0022073722326859486,0.6491958555256434,0,0.0
b13b7330d430a0cc,4.0,0.04,0.002,221115015,0.0036348119033532923,0.0019756492023860752,0.6756759202377919,0,0.0
98becb1b4b70b93e,4.0,0.04,0.006,221115015,0.003718695518221263,0.002020540113892378,0.6515941998566614,0,0.0
757dbb88a3658ea1,4.0,0.04,0.02,221115015,0.004029544161859529,0.0022002993558711183,0.6506738755494957,0,0.0
0b3507525ce85165,4.0,0.12,0.002,221115015,0.0036153677614783374,0.0019663962497421775,0.678150941505021,0,0.0
6d28285bf2d4ac3f,4.0,0.12,0.006,221115015,0.003699159532697367,0.0020095032112751746,0.6525181338956497,0,0.0
390700c7e3dd4c52,4.0,0.12,0.02,221115015,0.004008404022851188,0.002186179848912673,0.6564782666599953,0,0.0
0dfccdb04fa59cf1,4.0,0.25,0.002,221115015,0.0035830353145590577,0.0019518704329700536,0.6738542129814031,0,0.0
6840724f9da5d9e1,4.0,0.25,0.006,221115015,0.0036666706371976327,0.0019919719319732416,0.6639261667460227,0,0.0
4f2b2b072c5e6458,4.0,0.25,0.02,221115015,0.003973251439020993,0.002163350096463321,0.6686130336083109,0,0.0
8503b74ec51ff22c,4.0,0.5,0.002,221115015,0.003518298402720018,0.0019260417671231277,0.6488369696863712,0,0.0
96e761121a4f44bc,4.0,0.5,0.006,221115015,0.0036016078068758354,0.001959988736261696,0.6780520884917305,0,0.0
d6f2089160f1aee0,4.0,0.5,0.02,221115015,0.003902868111065344,0.0021201161937616673,0.6796412098612452,0,0.0
40c9f3b9296db017,4.0,1.0,0.002,221115015,0.0033843222084211444,0.0018753102686311608,0.6553941451550569,0,0.0
551dd12d4a822b35,4.0,1.0,0.006,221115015,0.0034612917413898393,0.0019055335186286871,0.7100076487035448,0,0.0
739c9f12ef2e2853,4.0,1.0,0.02,221115015,0.0037511305112170714,0.002038588171996419,0.6708123001917343,0,0.0
