occupation,S_P,S_W,S_Q,S_W_r_1_4,S_W_r_1_2,S_W_r_1,S_W_r_2,S_W_r_4
0,inf,-0.3068528194400547,-1,-1.155245300933242,-0.6931471805599453,-0.3068528194400547,0,0.2310490601866484
0.0005,6.600902459542082,-0.3058523191064711,-0.9994998749583177,-1.154244800599658,-0.6921466802263617,-0.3058523191064711,0.001000500333583565,0.232049560520232
0.001,5.907755278982137,-0.3048508167693816,-0.9989994996664164,-1.153243298262569,-0.6911451778892722,-0.3048508167693816,0.002002002670673075,0.2330510628573215
0.0015,5.502290170873972,-0.303848310419756,-0.9984988738737329,-1.152240791912943,-0.6901426715396466,-0.303848310419756,0.003004509020298696,0.2340535692069471
0.002,5.214608098422191,-0.3028447980425159,-0.9979979973293269,-1.151237279535703,-0.6891391591624064,-0.3028447980425159,0.004008021397538863,0.2350570815841873
0.0025,4.991464547107982,-0.3018402776165104,-0.9974968697818816,-1.150232759109698,-0.688134638736401,-0.3018402776165104,0.00501254182354427,0.2360616020101927
0.003,4.809142990314028,-0.3008347471144917,-0.9969954909797013,-1.149227228607679,-0.6871291082343822,-0.3008347471144917,0.006018072325563062,0.2370671325122115
0.0035,4.654992310486769,-0.2998282045030902,-0.9964938606707124,-1.148220685996278,-0.6861225656229808,-0.2998282045030902,0.007024614936964491,0.2380736751236129
0.004,4.521460917862246,-0.2988206477427904,-0.9959919786024611,-1.147213129235978,-0.685115008862681,-0.2988206477427904,0.008032171697264334,0.2390812318839128
0.004500000000000001,4.403677882205863,-0.2978120747879056,-0.995489844522114,-1.146204556281093,-0.6841064359077962,-0.2978120747879056,0.009040744652149102,0.2400898048387975
0.005,4.298317366548036,-0.2968024835865533,-0.9949874581764557,-1.145194965079741,-0.6830968447064438,-0.2968024835865533,0.01005033585350146,0.2410993960401499
0.0055,4.203007186743712,-0.2957918720806297,-0.9944848193118899,-1.144184353573817,-0.6820862332005203,-0.2957918720806297,0.01106094735942498,0.2421100075460734
0.006,4.115995809754082,-0.2947802382057855,-0.9939819276744369,-1.143172719698973,-0.681074599325676,-0.2947802382057855,0.01207258123426924,0.2431216414209177
0.006500000000000001,4.035953102080546,-0.2937675798913992,-0.9934787830097346,-1.142160061384587,-0.6800619410112898,-0.2937675798913992,0.01308523954865548,0.2441342997353039
0.007,3.961845129926823,-0.292753895060553,-0.9929753850630355,-1.14114637655374,-0.6790482561804436,-0.292753895060553,0.01409892437950166,0.2451479845661501
0.0075,3.892852258439873,-0.2917391816300066,-0.9924717335792085,-1.140131663123194,-0.6780335427498971,-0.2917391816300066,0.01511363781004815,0.2461626979966966
0.008,3.828313737302302,-0.290723437510171,-0.9919678283027358,-1.139115919003358,-0.6770177986300616,-0.290723437510171,0.01612938192988367,0.2471784421165321
0.008500000000000001,3.767689115485866,-0.2897066606050842,-0.9914636689777137,-1.138099142098272,-0.6760010217249748,-0.2897066606050842,0.0171461588349705,0.248195219021619
0.009000000000000001,3.710530701645918,-0.2886888488123835,-0.9909592553478509,-1.137081330305571,-0.6749832099322741,-0.2886888488123835,0.01816397062767117,0.2492130308143196
0.0095,3.656463480375642,-0.2876700000232807,-0.9904545871564686,-1.136062481516468,-0.6739643611431713,-0.2876700000232807,0.01918281941677402,0.2502318796034225
0.01,3.605170185988091,-0.2866501121225352,-0.9899496641464985,-1.135042593615723,-0.6729444732424258,-0.2866501121225352,0.0202027073175195,0.2512517675041679
0.0105,3.55638002181866,-0.285629182988428,-0.9894444860604834,-1.134021664481615,-0.6719235441083186,-0.285629182988428,0.02122363645162673,0.2522726966382752
0.011,3.509860006183766,-0.284607210492735,-0.988939052640575,-1.132999691985922,-0.6709015716126255,-0.284607210492735,0.02224560894731975,0.2532946691339682
0.0115,3.465408243612933,-0.2835841925007003,-0.9884333636285346,-1.131976673993888,-0.6698785536205909,-0.2835841925007003,0.02326862693935439,0.2543176871260028
0.012,3.422848629194137,-0.2825601268710101,-0.9879274187657308,-1.130952608364197,-0.6688544879909006,-0.2825601268710101,0.02429269256904465,0.2553417527556931
0.0125,3.382026634673881,-0.2815350114557648,-0.98742121779314,-1.129927492948952,-0.6678293725756553,-0.2815350114557648,0.02531780798428995,0.2563668681709384
0.013,3.342805921520601,-0.2805088441004527,-0.9869147604513445,-1.12890132559364,-0.6668032052203433,-0.2805088441004527,0.02634397533960198,0.2573930355262504
0.0135,3.305065593537753,-0.2794816226439226,-0.986408046480533,-1.12787410413711,-0.6657759837638132,-0.2794816226439226,0.02737119679613209,0.2584202569827805
0.014,3.268697949366879,-0.2784533449183567,-0.9859010756204983,-1.126845826411544,-0.6647477060382473,-0.2784533449183567,0.028399474521698,0.2594485347083464
0.0145,3.233606629555609,-0.2774240087492426,-0.9853938476106379,-1.12581649024243,-0.6637183698691331,-0.2774240087492426,0.02942881069081216,0.2604778708774606
0.015,3.199705077879927,-0.2763936119553461,-0.9848863621899518,-1.124786093448533,-0.6626879730752366,-0.2763936119553461,0.03045920748470865,0.2615082676713571
0.0155,3.166915255056936,-0.2753621523486839,-0.9843786190970433,-1.123754633841871,-0.6616565134685745,-0.2753621523486839,0.03149066709137083,0.2625397272780193
0.016,3.135166556742356,-0.2743296277344947,-0.9838706180701163,-1.122722109227682,-0.6606239888543852,-0.2743296277344947,0.03252319170556006,0.2635722518922085
0.0165,3.104394898075602,-0.273296035911212,-0.9833623588469768,-1.121688517404399,-0.6595903970311026,-0.273296035911212,0.03355678352884273,0.2646058437154912
0.017,3.074541934925921,-0.2722613746704357,-0.9828538411650295,-1.120653856163623,-0.6585557357903262,-0.2722613746704357,0.03459144476961906,0.2656405049562675
0.0175,3.045554398052668,-0.2712256417969036,-0.9823450647612793,-1.119618123290091,-0.6575200029167941,-0.2712256417969036,0.03562717764315115,0.2666762378297996
0.018,3.017383521085972,-0.2701888350684633,-0.9818360293723288,-1.11858131656165,-0.6564831961883538,-0.2701888350684633,0.03666398437159146,0.2677130445582399
0.0185,2.989984546897858,-0.2691509522560431,-0.9813267347343787,-1.11754343374923,-0.6554453133759337,-0.2691509522560431,0.03770186718401158,0.26875092737066
0.019,2.963316299815697,-0.268111991123624,-0.980817180583226,-1.116504472616811,-0.6544063522435146,-0.268111991123624,0.03874082831643066,0.2697898885030791
