state_index_1_based,graph_E_probability,graph_F_probability
212,2.751164699066443e-09,8.996697580903618e-12
213,5.547220037379721e-12,1.5861009441484578e-09
214,1.3594600383335834e-10,1.4365689438448124e-08
215,7.445512470799473e-08,5.949166756240965e-09
216,1.2361312257007195e-11,7.056525721610292e-11
217,1.4717352724896807e-08,1.6448044317207673e-09
218,1.118045873351628e-07,3.447621143376079e-09
219,4.197711630181601e-11,2.564908106322176e-09
220,1.1180458733513224e-07,9.85912242026182e-09
221,3.213681260927659e-08,6.258415193190761e-10
222,7.403333110583165e-10,1.649071301898595e-07
223,4.197711630157371e-11,1.551087250373742e-11
224,7.403333110572331e-10,3.7523733700507015e-10
225,9.672932230402334e-11,1.2890254473667838e-12
226,9.380567808557112e-08,6.256871839086187e-10
227,2.498940903475748e-08,6.176611587970061e-09
228,1.359460038336407e-10,8.34247400533294e-07
229,2.4989409034737272e-08,3.6035145592829574e-09
230,4.5754059043479947e-10,1.9999464106645087e-11
231,1.9819285845535047e-10,2.3133386629885787e-06
232,1.3594600383304238e-10,1.4365689438471882e-08
233,1.9819285845693671e-10,6.520510931001154e-10
234,5.830763343906703e-11,2.172806464366324e-11
235,2.278538920964943e-10,1.7934654498403113e-13
236,2.714765657002142e-12,7.964736156048914e-11
237,6.764076169931995e-13,4.722731278077481e-13
238,2.7147656569633765e-12,7.110951905614221e-11
239,3.1994021656442192e-12,5.944122436610786e-11
240,2.6667051462034353e-12,9.782928494373024e-12
241,6.764076169951186e-13,3.1155356748516194e-13
242,2.6667051462086654e-12,3.338539926610303e-12
243,1.619167984465646e-15,4.827015365554873e-16
244,3.779263077139691e-09,2.99116840406042e-10
245,2.0802661593242564e-07,1.5463177240018592e-08
246,1.8694494536532377e-07,1.0361783460772047e-06
247,2.0802661593136878e-07,6.253389874053626e-08
248,9.64641925632159e-07,2.0252610126993114e-09
249,7.010662873590443e-07,1.7060187751775714e-06
250,1.8694494536484144e-07,1.4185872464589336e-07
251,7.010662873588974e-07,5.287650854348743e-07
252,6.718450452345603e-07,1.9544007275480625e-09
253,8.94535241425386e-08,1.3593590081975082e-08
254,2.4680690266969646e-09,5.125995842223566e-09
255,9.24198552325133e-07,6.953807787702651e-06
256,2.4680690266952383e-09,1.4172119056096075e-08
257,5.400055325913195e-12,7.248179972597719e-11
258,8.168902515022855e-09,4.8415969951209056e-05
259,9.241985523216605e-07,5.398247061118616e-06
260,8.168902515058332e-09,2.603368625168987e-07
261,0.00024210624748217366,5.901348376971448e-08
262,1.278462371755842e-07,1.1644840542197863e-07
263,1.0877410212152463e-06,1.1296836208700615e-06
264,1.4625940283413416e-08,5.513115326483577e-09
265,1.087741021213818e-06,3.4846922662607425e-06
266,1.3017802162401286e-05,1.2064371230918714e-07
267,1.7720567343222306e-07,1.0792432347117572e-07
268,1.4625940283423326e-08,3.447621143348913e-09
269,1.7720567343228886e-07,2.093946861656498e-08
270,6.828860767335945e-13,2.2703864075086693e-12
271,1.3189711194134992e-09,1.9173915209859342e-09
272,2.4680690266970978e-09,5.1259958422163415e-09
273,1.0144024906001548e-10,2.0334264042224387e-09
274,6.072172017044884e-10,8.614915331113639e-10
275,5.4000553260297074e-12,7.887021253259028e-11
276,5.97763915256537e-10,7.510549853606825e-09
277,2.359161034593261e-08,4.1542515129887795e-08
278,8.1689025150494e-09,1.7657281731370563e-08
279,5.648236752303656e-08,1.3077679706180409e-08
280,4.0756835221981424e-09,6.27864000254254e-10
281,5.25154936952184e-13,5.291948381907382e-11
282,4.000461101556482e-09,4.899574327751926e-09
283,2.5742704255852454e-13,2.245630963638682e-12
284,6.556508237517372e-15,1.1318945762861745e-15
285,3.999105512352236e-12,7.054136309455029e-11
286,5.460485628413352e-09,7.098953618792089e-09
287,1.5361610204271714e-11,3.1947555567539697e-10
288,5.7400388152193334e-08,9.241932882483249e-09
