time_us,graph_A_target_probability,graph_B_target_probability,graph_C_target_probability,graph_D_target_probability,graph_E_target_probability,graph_F_target_probability
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.028,0.0,0.0,0.0,0.0,0.0,0.0
0.056,1.5703202056133249e-06,1.36704377335273e-13,4.5936618067429714e-10,1.5226248724889103e-13,6.018289508938148e-13,3.042918550518643e-13
0.084,9.37141424926924e-06,6.1491675669450626e-12,3.764123490541739e-09,6.584707378191944e-12,6.181675504880015e-11,1.311453820321905e-11
0.112,8.057702218577718e-05,3.0850397916222746e-10,1.243846473593015e-07,4.392253658465458e-10,1.985029278948166e-09,8.722309628037465e-10
0.14,5.557273904761789e-05,5.6647356386725424e-11,3.201274364522587e-08,5.2605719865698475e-11,3.314407795376015e-09,9.987814586377436e-11
0.168,0.00020347743426237788,3.5806364455456546e-09,8.505436732917906e-07,3.7835547316588305e-09,3.0438476731301576e-08,7.315478166890039e-09
0.196,0.0003977702122102335,2.3586423564213516e-08,9.200101427111547e-07,1.3500644917819433e-08,7.1373971008430605e-09,2.7363336626024872e-08
0.224,0.0007794220937418169,5.595307892880682e-08,4.976663949241736e-06,3.6118715784000335e-08,5.880643220927625e-07,6.771391668275998e-08
0.252,0.0012887215977780456,1.0462852081805845e-07,8.25435823967192e-06,1.3088391579185667e-07,3.997430511161056e-07,2.560363741096259e-07
0.28,0.001089814532488121,3.252816142649714e-08,4.8381468249287444e-06,7.431093082083945e-08,4.256596319575531e-07,1.4567808352198225e-07
0.308,0.0024033575920752916,6.232836696066492e-07,3.064535538121378e-05,4.515338744475434e-07,3.110259960048213e-06,8.406357745831725e-07
0.336,0.0030743414095851683,7.010707809728398e-07,2.465470430149307e-05,6.747500844723237e-07,2.190836939483569e-06,1.2782436771810466e-06
0.364,0.0046725412229729835,1.4689642841675879e-06,6.151982993013287e-05,1.5534332140792016e-06,4.9943450365925056e-06,2.7679735993832943e-06
0.392,0.004252829308872379,1.4884753192978998e-06,5.9556728156699024e-05,1.3696989007675184e-06,6.595494868390775e-06,2.6859550079623185e-06
0.42,0.0057771411989590744,2.78306012749793e-06,0.00010579668207207248,2.174732191845117e-06,1.5084489939646672e-05,3.7717572952700856e-06
0.448,0.008236272359544682,5.417220760567102e-06,0.00014646374803833803,4.87973203187711e-06,2.2762954189761875e-05,9.051194919136174e-06
0.47600000000000003,0.00645416074228718,3.851538583586627e-06,0.00010864124635791721,3.077794199075888e-06,1.819162017587864e-05,5.4663517333746164e-06
0.504,0.007512367892192006,5.3153383272811476e-06,0.00017509695177322742,4.104307445588936e-06,2.967113218144001e-05,7.07353731415514e-06
0.532,0.007457790247908715,4.3151978086375645e-06,0.00013829871440763236,5.261289525180239e-06,2.1714142823078616e-05,1.0384254895729745e-05
0.56,0.011035878701055551,8.998940118218317e-06,0.000251958943041235,8.368775826942005e-06,5.1989369018112454e-05,1.3459202060838313e-05
0.588,0.009538214745153673,6.752136140597199e-06,0.00021395767921691573,8.116754230640916e-06,4.8319978873425746e-05,1.4612617695755585e-05
0.616,0.0090151802540698,6.852169763452314e-06,0.00022041311106165253,5.0751370063056405e-06,2.8468478787819967e-05,8.399000848157486e-06
0.644,0.01108920291005432,1.491824235343646e-05,0.0002510746877771473,1.1926007977178011e-05,4.619561937986136e-05,2.0949860187499848e-05
