rydberg_level_count,graph_id,profile_id,time_us,channel_index,rydberg_state,omega_rad_per_us,omega_over_2pi_mhz,detuning_rad_per_us,detuning_over_2pi_mhz,phase_rad
2,A,EV20-K2-65-70,0.0,1,"65S1/2,mj=1/2",0.0,0.0,-50.26548245743669,-8.0,0.0
2,A,EV20-K2-65-70,0.0,2,"70S1/2,mj=1/2",0.0,0.0,-119.38052083641213,-19.0,0.0
2,A,EV20-K2-65-70,0.4,1,"65S1/2,mj=1/2",18.84955592153876,3.0,-50.26548245743669,-8.0,0.0
2,A,EV20-K2-65-70,0.4,2,"70S1/2,mj=1/2",43.982297150257104,7.0,-119.38052083641213,-19.0,0.0
2,A,EV20-K2-65-70,4.2,1,"65S1/2,mj=1/2",18.84955592153876,3.0,0.0,0.0,0.0
2,A,EV20-K2-65-70,4.2,2,"70S1/2,mj=1/2",43.982297150257104,7.0,0.0,0.0,0.0
2,A,EV20-K2-65-70,8.0,1,"65S1/2,mj=1/2",18.84955592153876,3.0,50.26548245743669,8.0,0.0
2,A,EV20-K2-65-70,8.0,2,"70S1/2,mj=1/2",43.982297150257104,7.0,119.38052083641213,19.0,0.0
2,A,EV20-K2-65-70,8.4,1,"65S1/2,mj=1/2",0.0,0.0,50.26548245743669,8.0,0.0
2,A,EV20-K2-65-70,8.4,2,"70S1/2,mj=1/2",0.0,0.0,119.38052083641213,19.0,0.0
3,A,EV20-K3-65-70-75,0.0,1,"65S1/2,mj=1/2",0.0,0.0,-31.41592653589793,-5.0,0.0
3,A,EV20-K3-65-70-75,0.0,2,"70S1/2,mj=1/2",0.0,0.0,-62.83185307179586,-10.0,0.0
3,A,EV20-K3-65-70-75,0.0,3,"75S1/2,mj=1/2",0.0,0.0,-94.24777960769379,-14.999999999999998,0.0
3,A,EV20-K3-65-70-75,0.4,1,"65S1/2,mj=1/2",6.283185307179586,1.0,-31.41592653589793,-5.0,0.0
3,A,EV20-K3-65-70-75,0.4,2,"70S1/2,mj=1/2",12.566370614359172,2.0,-62.83185307179586,-10.0,0.0
3,A,EV20-K3-65-70-75,0.4,3,"75S1/2,mj=1/2",31.41592653589793,5.0,-94.24777960769379,-14.999999999999998,0.0
3,A,EV20-K3-65-70-75,4.2,1,"65S1/2,mj=1/2",6.283185307179586,1.0,0.0,0.0,0.0
3,A,EV20-K3-65-70-75,4.2,2,"70S1/2,mj=1/2",12.566370614359172,2.0,0.0,0.0,0.0
3,A,EV20-K3-65-70-75,4.2,3,"75S1/2,mj=1/2",31.41592653589793,5.0,0.0,0.0,0.0
3,A,EV20-K3-65-70-75,8.0,1,"65S1/2,mj=1/2",6.283185307179586,1.0,31.41592653589793,5.0,0.0
3,A,EV20-K3-65-70-75,8.0,2,"70S1/2,mj=1/2",12.566370614359172,2.0,62.83185307179586,10.0,0.0
3,A,EV20-K3-65-70-75,8.0,3,"75S1/2,mj=1/2",31.41592653589793,5.0,94.24777960769379,14.999999999999998,0.0
3,A,EV20-K3-65-70-75,8.4,1,"65S1/2,mj=1/2",0.0,0.0,31.41592653589793,5.0,0.0
3,A,EV20-K3-65-70-75,8.4,2,"70S1/2,mj=1/2",0.0,0.0,62.83185307179586,10.0,0.0
3,A,EV20-K3-65-70-75,8.4,3,"75S1/2,mj=1/2",0.0,0.0,94.24777960769379,14.999999999999998,0.0
4,G,EV20-K4-61-66-72-78,0.0,1,"61S1/2,mj=1/2",0.0,0.0,-18.84955592153876,-3.0,0.0
4,G,EV20-K4-61-66-72-78,0.0,2,"66S1/2,mj=1/2",0.0,0.0,-62.83185307179586,-10.0,0.0
4,G,EV20-K4-61-66-72-78,0.0,3,"72S1/2,mj=1/2",0.0,0.0,-94.24777960769379,-14.999999999999998,0.0
4,G,EV20-K4-61-66-72-78,0.0,4,"78S1/2,mj=1/2",0.0,0.0,-157.07963267948966,-25.0,0.0
4,G,EV20-K4-61-66-72-78,0.4,1,"61S1/2,mj=1/2",6.283185307179586,1.0,-18.84955592153876,-3.0,0.0
4,G,EV20-K4-61-66-72-78,0.4,2,"66S1/2,mj=1/2",12.566370614359172,2.0,-62.83185307179586,-10.0,0.0
4,G,EV20-K4-61-66-72-78,0.4,3,"72S1/2,mj=1/2",31.41592653589793,5.0,-94.24777960769379,-14.999999999999998,0.0
4,G,EV20-K4-61-66-72-78,0.4,4,"78S1/2,mj=1/2",50.26548245743669,8.0,-157.07963267948966,-25.0,0.0
4,G,EV20-K4-61-66-72-78,4.2,1,"61S1/2,mj=1/2",6.283185307179586,1.0,0.0,0.0,0.0
4,G,EV20-K4-61-66-72-78,4.2,2,"66S1/2,mj=1/2",12.566370614359172,2.0,0.0,0.0,0.0
4,G,EV20-K4-61-66-72-78,4.2,3,"72S1/2,mj=1/2",31.41592653589793,5.0,0.0,0.0,0.0
4,G,EV20-K4-61-66-72-78,4.2,4,"78S1/2,mj=1/2",50.26548245743669,8.0,0.0,0.0,0.0
4,G,EV20-K4-61-66-72-78,8.0,1,"61S1/2,mj=1/2",6.283185307179586,1.0,18.84955592153876,3.0,0.0
4,G,EV20-K4-61-66-72-78,8.0,2,"66S1/2,mj=1/2",12.566370614359172,2.0,62.83185307179586,10.0,0.0
4,G,EV20-K4-61-66-72-78,8.0,3,"72S1/2,mj=1/2",31.41592653589793,5.0,94.24777960769379,14.999999999999998,0.0
4,G,EV20-K4-61-66-72-78,8.0,4,"78S1/2,mj=1/2",50.26548245743669,8.0,157.07963267948966,25.0,0.0
