state_index_1_based,graph_E_probability,graph_F_probability
1,2.3154247932698802e-12,1.1761059521034944e-13
2,2.6037738443981153e-12,2.4556169791088717e-12
3,5.489011291431517e-12,4.214951666421612e-11
4,3.0826261641963385e-09,2.707744707849474e-10
5,2.603773844376753e-12,2.782395855825479e-13
6,4.499238437273454e-10,8.83259785266375e-12
7,4.214234538441302e-11,1.0547766748098044e-10
8,2.3405487778855227e-11,4.790615459354448e-10
9,5.4890112915531674e-12,9.19261806626688e-12
10,4.214234538440898e-11,1.3959500907403715e-11
11,1.841448461684607e-08,9.0138703935711e-11
12,1.5050796876805868e-10,1.3028115041765649e-10
13,3.082626164200742e-09,6.555438483052505e-10
14,2.3405487779018773e-11,6.363291057016529e-10
15,1.5050796876805307e-10,1.4559429888068748e-09
16,7.621592255660665e-10,8.69582784303533e-12
17,1.0589556639937178e-12,4.328434456324552e-14
18,3.537402709718901e-12,8.430657798295415e-12
19,6.447098208946882e-11,7.940989220388948e-11
20,4.300487617776064e-10,5.305556940645604e-10
21,3.537402709718847e-12,2.2401953809757143e-11
22,4.595599913800334e-12,7.188643117843559e-14
23,5.0701305060191614e-11,5.254653335912223e-10
24,3.0844618038407014e-09,5.491499836555562e-10
25,6.447098208924098e-11,6.732850587862964e-11
26,5.070130505983033e-11,1.5283865254266386e-10
27,3.7568104877616794e-10,6.749683434677766e-11
28,6.98404339424921e-10,2.1990872625829437e-09
29,4.300487617790285e-10,5.956793665924192e-10
30,3.0844618038370246e-09,3.6343091488125543e-09
31,6.984043394173792e-10,1.1566340443683362e-09
32,6.929957022641329e-10,1.6450074670683682e-10
33,2.0175225433578743e-11,1.514385401379679e-11
34,1.549275296986434e-10,1.21548220733672e-10
35,6.242464150920974e-11,1.1168532374309432e-11
36,1.7382539862837672e-10,1.7947918638616913e-10
37,1.549275296990895e-10,1.635287527010662e-10
38,8.341155052566413e-09,5.065290785982472e-10
39,2.319807365540437e-10,1.8276831099420575e-10
40,1.2227461303638096e-09,4.712103583640557e-09
41,6.242464150937935e-11,4.456189373380551e-11
42,2.3198073655436654e-10,6.373527585096614e-10
43,4.733561277386601e-11,6.508293556704012e-15
44,1.1530885715437858e-09,8.054425453915216e-09
45,1.73825398628477e-10,4.669129531246078e-10
46,1.2227461303618008e-09,2.3954825649670172e-09
47,1.1530885715449873e-09,1.8366279866266361e-09
48,3.395886809612873e-10,8.651318911407717e-10
49,1.2267951327682898e-08,5.64007051607453e-10
50,2.7795398659592973e-10,2.6620109656195656e-10
51,5.694389283958157e-10,1.0485574321041214e-08
52,3.2859298820089276e-11,2.8509456319108856e-12
53,2.7795398659501926e-10,1.2711138981913958e-09
54,9.248633081301875e-09,5.292550082461517e-09
55,1.5491074559758396e-10,2.7806201857493133e-09
56,4.370313908921856e-11,7.711573707278506e-11
57,5.694389283979693e-10,2.474994620593595e-09
58,1.5491074559640942e-10,1.2395222135498118e-08
59,5.328637695330141e-09,3.9682052889054264e-09
60,1.147215524747204e-09,1.96886255705527e-10
61,3.285929882046145e-11,3.192152991156396e-11
62,4.3703139089602716e-11,2.832177579000745e-12
63,1.1472155247493125e-09,8.87003417128141e-10
64,2.5914128035312285e-12,3.2048316984484455e-13
65,1.0589556639811809e-12,4.328434456029905e-14
66,3.413345268457384e-11,9.926396650687881e-11
67,1.9468831215056127e-11,1.4254086331570172e-10
68,9.184945997445866e-10,5.833275127956226e-10
69,3.537402709719304e-12,1.3396447816390034e-11
