s,theta,generator_reconstruction_residual,trace_preservation_residual,primary_drive_01,weak_drive_02,additional_drive_12,nearest_dressed_detuning_01,emission_rate
0.0,4.3890356652865677e-16,7.060241568182518e-15,3.1401849173675503e-16,1.0000000000000002,0.10000000000000045,1.936458893144021e-15,1.936458893144021e-15,0.3992015968063868
0.1,-0.02468659852484168,1.474418614920494e-14,3.226967812982047e-16,0.9601596061061238,0.0631819719503949,0.18757783260010863,0.18757783260010863,0.12874561837200463
0.25,-0.03432549241522635,1.8160904659366437e-14,9.374735524904978e-17,0.894080600540367,0.04083847259050805,0.3757456501884765,0.3757456501884765,0.03032362323926206
0.5,-0.03820358383124021,1.6738056989658958e-14,3.028173804882411e-16,0.7902037896752232,0.02713078086657469,0.5563536278421943,0.5563536278421943,0.0078122822015034375
1.0,-0.040118355912306655,5.4756764435499126e-14,2.4767088793141085e-16,0.6158667597127784,0.01663664782166875,0.7425643111989545,0.7425643111989545,0.0018337348899766836
2.0,-0.04096360042727453,1.5243727498635672e-13,4.615279405716673e-16,0.3736642053710655,0.008612657940008244,0.8886125113416932,0.8886125113416932,0.0003585149348002644
