target_id,s,photon_number,probability,mean_photons,parameter_match,generated_data_provenance
T010,-0.05,0,4.853521943190895e-25,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,1,1.6143562081474065e-23,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,2,4.502644102244073e-22,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,3,1.0765835726588896e-20,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,4,2.2136318835296168e-19,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,5,3.908424468117465e-18,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,6,5.906058354859265e-17,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,7,7.604934581765211e-16,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,8,8.301437615649241e-15,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,9,7.637016037188168e-14,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,10,5.882476526791769e-13,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,11,3.766282052826323e-12,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,12,1.9884994639912503e-11,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,13,8.583250954224588e-11,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,14,3.0013756874993e-10,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,15,8.42385332692482e-10,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,16,1.881807465180911e-09,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,17,3.3280647819531984e-09,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,18,4.67129004087174e-09,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,19,5.307755450474766e-09,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,20,5.141201346752521e-09,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,21,4.645063750429468e-09,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,22,4.301609084197259e-09,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,23,4.250117910266724e-09,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,24,4.4304042757746845e-09,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,25,4.783659014080893e-09,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,26,5.298042608062503e-09,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,27,5.993291459048451e-09,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,28,6.911690509086087e-09,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,29,8.119728736825658e-09,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,30,9.716398160500002e-09,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,31,1.1848174570842926e-08,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,32,1.4733670964824638e-08,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,33,1.870390274239131e-08,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,34,2.4268682151426265e-08,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,35,3.222762486117382e-08,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,36,4.385849941098053e-08,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,37,6.124145142080347e-08,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,38,8.782474020235711e-08,69.88546173304951,reconstructed,independent_numerics
T010,-0.05,39,1.2942412883663445e-07,69.88546173304951,reconstructed,independent_numerics
