target_id,k,phi_legendre,phi_exact,phi_poisson,generated_data_provenance
T002,0.02,1.7296065258058908,1.7296065261608007,0.5765355087202669,independent_numerics
T002,0.029916666666666668,1.6316772565711812,1.6316772697124107,0.5438924232374702,independent_numerics
T002,0.03983333333333333,1.5437984291090057,1.5437984624636232,0.5145994874878744,independent_numerics
T002,0.04975,1.463404497851129,1.4634045036900465,0.4878015012300155,independent_numerics
T002,0.05966666666666666,1.3889805159795099,1.3889805189874624,0.46299350632915415,independent_numerics
T002,0.06958333333333333,1.31952403049047,1.3195240362494292,0.43984134541647635,independent_numerics
T002,0.0795,1.2543218417867714,1.2543218439125354,0.4181072813041785,independent_numerics
T002,0.08941666666666666,1.192840232682539,1.1928402893181105,0.3976134297727035,independent_numerics
T002,0.09933333333333333,1.134664892320989,1.1346649260350696,0.3782216420116899,independent_numerics
T002,0.10925,1.0794645077577671,1.0794645243315912,0.3598215081105304,independent_numerics
T002,0.11916666666666666,1.0269682608736403,1.0269682626766328,0.34232275422554426,independent_numerics
T002,0.12908333333333333,0.9769505603582954,0.9769505656500832,0.32565018855002775,independent_numerics
T002,0.13899999999999998,0.9292205731202935,0.9292206288610518,0.3097402096203506,independent_numerics
T002,0.14891666666666664,0.8836148756854986,0.8836149482667379,0.2945383160889126,independent_numerics
T002,0.1588333333333333,0.8399917719706259,0.8399918480826113,0.27999728269420376,independent_numerics
T002,0.16874999999999998,0.7982273070152668,0.7982273804323251,0.2660757934774417,independent_numerics
T002,0.17866666666666664,0.7582121892511217,0.7582121920193938,0.25273739733979794,independent_numerics
T002,0.1885833333333333,0.7198489922980374,0.7198490884776626,0.23994969615922088,independent_numerics
T002,0.19849999999999998,0.6830511042058715,0.6830511123703237,0.22768370412344122,independent_numerics
T002,0.20841666666666664,0.6477399001278628,0.6477400061623327,0.21591333538744426,independent_numerics
T002,0.2183333333333333,0.613844916093878,0.6138449683410262,0.20461498944700873,independent_numerics
T002,0.22824999999999998,0.5813016246149921,0.5813016359546068,0.19376721198486893,independent_numerics
T002,0.23816666666666664,0.5500510788617053,0.5500512442779915,0.18335041475933048,independent_numerics
T002,0.2480833333333333,0.5200399129213671,0.5200399266583182,0.1733466422194394,independent_numerics
