target_id,k,phi_legendre,phi_poisson,physical_activity,generated_data_provenance
T006,0.005,0.03585655317750264,0.37230144940233184,0.3992015925085576,independent_numerics
T006,0.008160535117056856,0.03412518291813815,0.3592952963057825,0.3992015925085576,independent_numerics
T006,0.011321070234113712,0.032703956827982016,0.3475458028094464,0.3992015925085576,independent_numerics
T006,0.014481605351170566,0.031470797303534435,0.3366904789677623,0.3992015925085576,independent_numerics
T006,0.017642140468227423,0.03036817083760325,0.32653050827936736,0.3992015925085576,independent_numerics
T006,0.02080267558528428,0.029363250360162702,0.3169398058506502,0.3992015925085576,independent_numerics
T006,0.023963210702341135,0.02843445322390578,0.3078311457387352,0.3992015925085576,independent_numerics
T006,0.02712374581939799,0.02756846501208879,0.2991405492133086,0.3992015925085576,independent_numerics
T006,0.030284280936454848,0.02675442218111264,0.2908190650627611,0.3992015925085576,independent_numerics
T006,0.033444816053511704,0.025984323816695003,0.2828280227729807,0.3992015925085576,independent_numerics
T006,0.036605351170568554,0.02525394512164776,0.275136097181128,0.3992015925085576,independent_numerics
T006,0.03976588628762541,0.02455706725843156,0.2677173947637118,0.3992015925085576,independent_numerics
T006,0.042926421404682266,0.023890055230066095,0.2605501522354144,0.3992015925085576,independent_numerics
T006,0.04608695652173912,0.023250406597729128,0.25361582049758286,0.3992015925085576,independent_numerics
T006,0.04924749163879598,0.02263590812748998,0.2468984010331366,0.3992015925085576,independent_numerics
T006,0.052408026755852835,0.022043441730407745,0.24038395333514523,0.3992015925085576,independent_numerics
T006,0.05556856187290969,0.021470571197524914,0.23406022157155837,0.3992015925085576,independent_numerics
T006,0.05872909698996655,0.020917671641976072,0.22791634644732928,0.3992015925085576,independent_numerics
T006,0.061889632107023404,0.020382765673226437,0.22194263926129923,0.3992015925085576,independent_numerics
T006,0.06505016722408026,0.019863877508498655,0.21613040222911295,0.3992015925085576,independent_numerics
T006,0.06821070234113712,0.0193599242006215,0.21047178380214895,0.3992015925085576,independent_numerics
T006,0.07137123745819397,0.018870041257477682,0.2049596608548761,0.3992015925085576,independent_numerics
T006,0.07453177257525083,0.018395654228546075,0.199587541778305,0.3992015925085576,independent_numerics
T006,0.07769230769230769,0.017933764066721716,0.19434948603790128,0.3992015925085576,independent_numerics
T006,0.08085284280936454,0.017483001022818443,0.1892400368408537,0.3992015925085576,independent_numerics
T006,0.0840133779264214,0.017041884518051907,0.18425416434610456,0.3992015925085576,independent_numerics
T006,0.08717391304347825,0.01661521227724923,0.179387217430958,0.3992015925085576,independent_numerics
