target_id,series_id,target_activity,measured_activity,duration,long_record_seed,jump_time,generated_data_provenance
T007,k_0.02,0.02,0.02,100.0,24680,0.4900000000000091,independent_numerics
T007,k_0.02,0.02,0.02,100.0,24680,9.639999999999986,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,0.8099999999999454,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,3.199999999999818,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,4.230000000000018,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,6.25,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,7.369999999999891,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,7.8400000000001455,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,8.579999999999927,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,9.300000000000182,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,9.61999999999989,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,11.190000000000055,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,12.599999999999909,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,14.210000000000036,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,14.670000000000073,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,16.980000000000018,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,18.300000000000182,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,19.40000000000009,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,20.40000000000009,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,21.75,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,21.970000000000255,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,22.909999999999854,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,23.329999999999927,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,24.36999999999989,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,26.559999999999945,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,26.720000000000255,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,28.309999999999945,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,31.220000000000255,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,31.51000000000022,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,34.190000000000055,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,35.039999999999964,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,35.80000000000018,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,37.26000000000022,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,37.55000000000018,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,40.55000000000018,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,41.659999999999854,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,43.659999999999854,independent_numerics
