target_id,s,theta_eigen,theta_exact,activity_eigen,activity_exact,mandel_eigen,mandel_exact,generated_data_provenance
T001,-5.0,8.588980100940061,8.58898010094006,3.52966003399402,3.529660033646686,-0.6666643770979332,-0.6666666666666666,independent_numerics
T001,-4.975,8.501105253829602,8.501105253829591,3.5003684181411643,3.500368417943197,-0.6666685338356456,-0.6666666666666666,independent_numerics
T001,-4.95,8.413959654359704,8.413959654359699,3.4713198849267712,3.471319884786566,-0.6666666270131931,-0.6666666666666666,independent_numerics
T001,-4.925,8.32753725071762,8.327537250717613,3.442512417120014,3.442512416905871,-0.6666665643031293,-0.6666666666666666,independent_numerics
T001,-4.9,8.241832041312794,8.241832041312803,3.4139440137437305,3.413944013770934,-0.666663826308405,-0.6666666666666666,independent_numerics
T001,-4.875,8.156838074360175,8.156838074360163,3.38561269149551,3.3856126914533875,-0.6666694836598959,-0.6666666666666666,independent_numerics
T001,-4.85,8.07254944746672,8.072549447466722,3.357516482545009,3.357516482488907,-0.6666638709724884,-0.6666666666666666,independent_numerics
T001,-4.825,7.988960307221754,7.988960307221747,3.329653435981683,3.3296534357405823,-0.6666671017673441,-0.6666666666666666,independent_numerics
T001,-4.8,7.906064848790235,7.906064848790228,3.302021616278239,3.302021616263409,-0.6666668307589315,-0.6666666666666666,independent_numerics
T001,-4.775,7.823857315509811,7.8238573155098035,3.2746191052979157,3.2746191051699345,-0.6666674392773897,-0.6666666666666666,independent_numerics
T001,-4.75,7.742331998490959,7.742331998490949,3.2474439997365323,3.2474439994969826,-0.6666666754898014,-0.6666666666666666,independent_numerics
T001,-4.725,7.661483236220563,7.6614832362205565,3.220494412250474,3.220494412073519,-0.6666662951543603,-0.6666666666666666,independent_numerics
T001,-4.7,7.581305414168758,7.581305414168757,3.193768471438929,3.1937684713895855,-0.6666653340679272,-0.6666666666666666,independent_numerics
T001,-4.675,7.501792964399021,7.5017929643990175,3.1672643216573704,3.167264321466339,-0.6666666110211042,-0.6666666666666666,independent_numerics
T001,-4.65,7.422940365181485,7.422940365181484,3.140980121871806,3.140980121727161,-0.6666663675523344,-0.6666666666666666,independent_numerics
T001,-4.625,7.3447421406095215,7.344742140609519,3.1149140469466374,3.1149140468698393,-0.66666596668102,-0.6666666666666666,independent_numerics
T001,-4.6,7.267192860219444,7.267192860219435,3.0890642868453,3.0890642867398115,-0.6666665893027321,-0.6666666666666666,independent_numerics
T001,-4.575,7.190287138613387,7.190287138613378,3.0634290462749902,3.063429046204459,-0.6666666741874376,-0.6666666666666666,independent_numerics
T001,-4.55,7.114019635085324,7.114019635085322,3.0380065451840466,3.0380065450284404,-0.6666664801642181,-0.6666666666666666,independent_numerics
T001,-4.525,7.038385053250217,7.038385053250213,3.012795017900416,3.012795017750071,-0.6666661586233288,-0.6666666666666666,independent_numerics
T001,-4.5,6.963378140676136,6.963378140676129,2.98779271370897,2.9877927135587097,-0.6666680081459506,-0.6666666666666666,independent_numerics
T001,-4.475,6.888993688519568,6.888993688519561,2.9629978963274795,2.962997896173187,-0.6666675714772169,-0.6666666666666666,independent_numerics
T001,-4.45,6.815226531163664,6.81522653116366,2.9384088438355604,2.93840884372122,-0.6666668927146082,-0.6666666666666666,independent_numerics
T001,-4.425,6.742071545859524,6.742071545859515,2.9140238487812553,2.914023848619838,-0.6666669897366369,-0.6666666666666666,independent_numerics
T001,-4.4,6.6695236523704295,6.669523652370419,2.889841217514899,2.889841217456806,-0.6666669491772205,-0.6666666666666666,independent_numerics
T001,-4.375,6.597577812619053,6.597577812619052,2.8658592710062436,2.8658592708730173,-0.6666653326032459,-0.6666666666666666,independent_numerics
T001,-4.35,6.526229030337634,6.526229030337634,2.8420763436187713,2.8420763434458776,-0.6666654052205138,-0.6666666666666666,independent_numerics
T001,-4.325,6.455472350720951,6.455472350720942,2.818490783695893,2.8184907835736475,-0.6666682749413536,-0.6666666666666666,independent_numerics
T001,-4.3,6.38530286008224,6.385302860082234,2.7951009534721294,2.7951009533607447,-0.6666679698246734,-0.6666666666666666,independent_numerics
T001,-4.275,6.315715685512023,6.315715685512014,2.771905228602378,2.7719052285040044,-0.6666684437955757,-0.6666666666666666,independent_numerics
T001,-4.25,6.246705994539649,6.246705994539642,2.748901998330666,2.7489019981798806,-0.6666688749505827,-0.6666666666666666,independent_numerics
T001,-4.225,6.178268994797741,6.178268994797728,2.7260896650105337,2.7260896649325757,-0.6666691970860757,-0.6666666666666666,independent_numerics
T001,-4.2,6.110399933689356,6.110399933689351,2.703466644664587,2.703466644563117,-0.6666668466349375,-0.6666666666666666,independent_numerics
T001,-4.175,6.043094098057987,6.043094098057981,2.681031366114084,2.681031366019327,-0.6666683192521954,-0.6666666666666666,independent_numerics
T001,-4.15,5.976346813860211,5.976346813860216,2.6587822714141396,2.6587822712867384,-0.666664563425567,-0.6666666666666666,independent_numerics
T001,-4.125,5.910153445841155,5.910153445841154,2.6367178153563486,2.6367178152803845,-0.6666656272238918,-0.6666666666666666,independent_numerics
T001,-4.1,5.844509397212537,5.84450939721253,2.6148364658595824,2.61483646573751,-0.6666658665563785,-0.6666666666666666,independent_numerics
T001,-4.075,5.779410109333484,5.779410109333478,2.593136703250565,2.593136703111159,-0.6666664351998666,-0.6666666666666666,independent_numerics
T001,-4.05,5.714851061393943,5.714851061393948,2.5716170205303257,2.5716170204646494,-0.6666620344476081,-0.6666666666666666,independent_numerics
