time,exact_overlap,direct_liouvillian_overlap,quasi_sampled_overlap,standard_error,confidence_low_95,confidence_high_95,coherent_branch_count,plus_inner_count
0,1,1,1.00131953338494,0.00162504849808869,0.998134438328687,1.00450462844119,1000,150155
0.1,0.966134083406154,0.966134083406154,0.964995232843769,0.0037448527292317,0.957655321494475,0.972335144193063,950,142437
0.2,0.916705225833602,0.916705225833602,0.92422113782705,0.0043566134959883,0.915682175374913,0.932760100279187,916,137679
0.3,0.85518647349022,0.85518647349022,0.855659547556617,0.00472514664722311,0.84639826012806,0.864920834985174,864,129496
0.4,0.785207604409144,0.785207604409144,0.787343883767088,0.00454239701851751,0.778440785610794,0.796246981923382,820,123199
0.5,0.710393929452696,0.710393929452696,0.710820022965113,0.00383514228907547,0.703303144078525,0.718336901851701,780,117012
0.6,0.634220613460816,0.634220613460816,0.632453459114378,0.00286120144164686,0.62684550428875,0.638061413940006,743,111196
0.7,0.559886910622659,0.559886910622659,0.558732278872958,0.00182968337123555,0.555146099465336,0.562318458280579,690,103511
0.8,0.490213487433391,0.490213487433391,0.491576579699353,0.00135607143865447,0.48891867967959,0.494234479719116,679,102025
0.9,0.427564774158126,0.427564774158126,0.426691377659088,0.00218534555050755,0.422408100380094,0.430974654938083,634,94949
1,0.373797092345868,0.373797092345868,0.374198371586912,0.0035663776737052,0.36720827134645,0.381188471827375,592,88492
1.1,0.330232195995412,0.330232195995412,0.325423760163621,0.0048135958817398,0.315989112235411,0.334858408091831,586,87648
1.2,0.297654874264178,0.297654874264178,0.289419711599696,0.00593217467239561,0.2777926492418,0.301046773957591,569,85257
1.3,0.276332422574865,0.276332422574865,0.283734953749141,0.00685653164117515,0.270296151732437,0.297173755765844,506,75962
1.4,0.266053116360001,0.26605311636,0.25655191980606,0.00757161163714568,0.241711560997254,0.271392278614865,515,77153
1.5,0.266180328570688,0.266180328570688,0.264075279449242,0.00791616974412062,0.248559586750766,0.279590972147719,476,71364
1.6,0.275718621254255,0.275718621254255,0.273184965292092,0.00797658859464025,0.257550851646597,0.288819078937587,452,67659
1.7,0.293388008155249,0.293388008155249,0.289649532018481,0.00769283644945342,0.274571572577552,0.30472749145941,433,64828
1.8,0.317702617900754,0.317702617900754,0.32171249208744,0.00704232705533376,0.307909531058986,0.335515453115894,397,59517
1.9,0.347050168787377,0.347050168787377,0.337141118541848,0.00625417324893567,0.324882938973934,0.349399298109762,411,61613
2,0.379768975015708,0.379768975015708,0.378287944152798,0.00508529005826874,0.368320775638591,0.388255112667004,374,56161
2.1,0.414219615851325,0.414219615851325,0.412020187600049,0.00387342211723379,0.404428280250271,0.419612094949827,357,53495
2.2,0.448848887257121,0.448848887257121,0.452002852965864,0.00241363137007033,0.447272135480526,0.456733570451202,317,47634
2.3,0.482244193096794,0.482244193096794,0.481536261119409,0.00128282504502169,0.479021924031166,0.484050598207651,320,47939
2.4,0.513177093680082,0.513177093680082,0.513131926886567,0.00111445857325878,0.51094758808298,0.515316265690154,306,45870
2.5,0.54063528841153,0.54063528841153,0.539487732818062,0.00215198353422292,0.535269845090986,0.543705620545139,293,43707
2.6,0.563842844247909,0.56384284424791,0.567058020223794,0.00341820137375559,0.560358345531233,0.573757694916355,290,43397
2.7,0.58226897329473,0.582268973294729,0.585271646510001,0.00456988365142265,0.576314674553213,0.594228618466789,265,39888
2.8,0.595626095488666,0.595626095488666,0.588261257481087,0.00519493170915495,0.578079191331144,0.598443323631031,228,34182
2.9,0.603858284100803,0.603858284100803,0.60197100968041,0.00593758238678404,0.590333348202313,0.613608671158506,231,34614
3,0.60712147491503,0.60712147491503,0.603950450342528,0.00632379429810493,0.591555813518243,0.616345087166814,215,32336
3.1,0.605757020463116,0.605757020463116,0.615109114538632,0.00668833810487717,0.601999971853073,0.628218257224192,231,34651
3.2,0.600260288411042,0.600260288411042,0.61386727679691,0.00670083102254538,0.600733647992721,0.627000905601099,227,34184
3.3,0.591246041227049,0.591246041227049,0.597953839435975,0.00616651553865449,0.585867468980212,0.610040209891738,204,30721
3.4,0.579412298669855,0.579412298669855,0.575680654282537,0.00524254646071195,0.565405263219541,0.585956045345532,175,26204
3.5,0.565504283856708,0.565504283856708,0.562122667414029,0.00446399780793006,0.553373231710486,0.570872103117572,166,24847
3.6,0.550279897970161,0.550279897970161,0.548417310269536,0.00360403057513313,0.541353410342275,0.555481210196797,158,23742
3.7,0.534477969541106,0.534477969541106,0.537817011779373,0.00274620345957184,0.532434452998612,0.543199570560134,168,25315
3.8,0.518790293860562,0.518790293860562,0.517901107569472,0.00153413139250016,0.514894210040172,0.520908005098773,141,21172
3.9,0.503838228683805,0.503838228683805,0.503949905231788,0.000688118052096841,0.502601193849678,0.505298616613898,136,20433
4,0.490154355856787,0.490154355856787,0.489969004466512,0.00101966209627919,0.487970466757805,0.49196754217522,138,20701
4.1,0.478169465834955,0.478169465834955,0.477686644727705,0.00188158324612391,0.473998741565302,0.481374547890108,136,20488
4.2,0.468204883092286,0.468204883092286,0.469987655126391,0.00268700959994276,0.464721116310503,0.475254193942278,115,17232
4.3,0.46046993346197,0.46046993346197,0.46074255201957,0.00351691015020419,0.45384940812517,0.46763569591397,114,17033
4.4,0.455064166158172,0.455064166158172,0.460653470727067,0.00382995260183952,0.453146763627461,0.468160177826672,97,14549
4.5,0.451983788461253,0.451983788461254,0.443454677175964,0.00481443754103721,0.434018379595531,0.452890974756397,123,18390
4.6,0.451131652853734,0.451131652853734,0.452302921621846,0.0046334129042297,0.443221432329555,0.461384410914136,97,14501
4.7,0.452330056054194,0.452330056054194,0.449245512570425,0.00479140547833771,0.439854357832884,0.458636667307967,102,15327
4.8,0.455335566546708,0.455335566546708,0.456062198117842,0.00447500459424215,0.447291189113127,0.464833207122556,89,13336
4.9,0.459855090003421,0.459855090003421,0.458865430905488,0.00421241013092696,0.450609107048871,0.467121754762105,88,13177
5,0.465562407345203,0.465562407345203,0.461340733492138,0.00385231135415324,0.453790203237998,0.468891263746278,93,13992
5.1,0.472114473961158,0.472114473961158,0.475298237679889,0.00291606420727849,0.469582751833623,0.481013723526155,69,10343
5.2,0.479166845939484,0.479166845939484,0.474399042053924,0.00258584943886316,0.469330777153752,0.479467306954095,92,13824
5.3,0.48638769469173,0.48638769469173,0.488654921087185,0.00147912160616444,0.485755842739102,0.491553999435267,58,8680
5.4,0.493469979498001,0.493469979498001,0.491519625724173,0.0010000696964787,0.489559489119075,0.493479762329272,85,12724
5.5,0.500141462703361,0.500141462703362,0.500928267040192,0.000398619116163572,0.500146973572511,0.501709560507873,54,8195
5.6,0.506172369241021,0.506172369241021,0.505928387877474,0.00088016869944608,0.504203257226559,0.507653518528388,60,8981
5.7,0.511380605967173,0.511380605967173,0.511446222571371,0.00152733901972814,0.508452638092704,0.514439807050038,59,8831
5.8,0.515634562677249,0.515634562677249,0.514920256166918,0.00204336406021965,0.510915262608888,0.518925249724949,52,7817
5.9,0.51885361205304,0.51885361205304,0.515838346811503,0.00239368103094028,0.51114673199086,0.520529961632146,43,6491
6,0.521006507367954,0.521006507367954,0.517491068542391,0.00267453372099392,0.512248982449243,0.522733154635539,42,6273
6.1,0.522107942579378,0.522107942579378,0.521236617401504,0.00310940082747116,0.515142191779661,0.527331043023348,45,6777
6.2,0.522213588312165,0.522213588312165,0.525326000505941,0.0034442640937216,0.518575242882247,0.532076758129635,52,7763
6.3,0.521413948826598,0.521413948826598,0.523824672604554,0.00337431867346994,0.517211008004553,0.530438337204555,48,7181
6.4,0.519827399739878,0.519827399739878,0.518791451158432,0.00297146464708478,0.512967380450146,0.524615521866718,39,5829
6.5,0.517592765050089,0.517592765050089,0.51161551328222,0.00231067068594231,0.507086598737773,0.516144427826667,25,3782
6.6,0.514861776457813,0.514861776457813,0.511926502778607,0.00215667871026502,0.507699412506487,0.516153593050726,30,4481
6.7,0.511791730083764,0.511791730083765,0.512086887574965,0.00202691840058021,0.508114127509828,0.516059647640102,35,5288
6.8,0.508538617739958,0.508538617739958,0.50734173839602,0.00143573528981771,0.504527697227978,0.510155779564063,26,3981
6.9,0.505250964411913,0.505250964411913,0.503944237095171,0.000820861553278202,0.502335348450746,0.505553125739596,24,3597
7,0.502064553103162,0.502064553103162,0.502222369925159,0.000464181881838636,0.501312573436755,0.503132166413562,34,5088
7.1,0.499098165192868,0.499098165192868,0.498947448132445,0.000346366982615072,0.49826856884652,0.499626327418371,30,4487
7.2,0.496450411335913,0.496450411335913,0.495227430850672,0.000811326754337228,0.493637230412171,0.496817631289173,37,5554
7.3,0.494197676844768,0.494197676844768,0.495339341240967,0.00106071086987082,0.493260347936021,0.497418334545914,20,2977
7.4,0.49239315829954,0.49239315829954,0.49291373909718,0.00145677262891716,0.490058464744503,0.495769013449858,24,3635
7.5,0.491066926367752,0.491066926367752,0.488905910261314,0.00198427819377917,0.485016725001507,0.492795095521121,31,4730
7.6,0.490226914645382,0.490226914645382,0.492890915345714,0.00177420758570262,0.489413468477737,0.496368362213692,16,2386
7.7,0.489860706545229,0.489860706545229,0.488947668201562,0.00224304184335178,0.484551306188593,0.493344030214532,24,3645
7.8,0.489937972274815,0.489937972274814,0.491575029659654,0.00203251072731724,0.487591308634112,0.495558750685196,17,2553
7.9,0.490413395826777,0.490413395826777,0.491880616616549,0.00202442414442267,0.487912745293481,0.495848487939618,16,2382
8,0.491229927390012,0.491229927390012,0.492313183098076,0.00191205574708325,0.488565553833793,0.49606081236236,16,2397
8.1,0.492322199137983,0.492322199137983,0.493236463859626,0.00174162245469144,0.489822883848431,0.496650043870821,15,2232
8.2,0.493619951186844,0.493619951186844,0.495695308570549,0.00124640449558933,0.493252355759194,0.498138261381904,12,1837
8.3,0.495051328685754,0.495051328685754,0.495664797089826,0.00116813313207384,0.493375256150961,0.497954338028691,14,2107
8.4,0.496545929426462,0.496545929426462,0.495956529743954,0.00100015089277519,0.493996233994114,0.497916825493793,17,2535
8.5,0.498037502891426,0.498037502891426,0.497892340252373,0.000561185328988837,0.496792417007555,0.498992263497191,16,2411
8.6,0.499466225135904,0.499466225135904,0.499731081985576,0.000173884934352968,0.499390267514244,0.500071896456908,9,1360
8.7,0.500780498188543,0.500780498188543,0.500666067018255,0.000270278521218647,0.500136321116667,0.501195812919844,12,1793
8.8,0.501938246700707,0.501938246700708,0.502206322288509,0.00060092227643165,0.501028514626703,0.503384129950315,15,2231
8.9,0.502907707431294,0.502907707431294,0.502762210259609,0.000878905207645682,0.501039556052623,0.504484864466595,10,1532
9,0.503667728013014,0.503667728013014,0.504656270000388,0.00125567346849017,0.502195150002147,0.507117389998628,14,2104
9.1,0.50420760965758,0.50420760965758,0.50234648997922,0.000957932610974286,0.500468942061711,0.50422403789673,6,895
9.2,0.504526543538915,0.504526543538915,0.504851359276535,0.00146456653216103,0.501980808873499,0.50772190967957,11,1638
9.3,0.504632702235373,0.504632702235373,0.504947271626838,0.00156732972687764,0.501875305362158,0.508019237891519,10,1512
9.4,0.504542055672337,0.504542055672337,0.506616814968914,0.00176226981055472,0.503162766140226,0.510070863797601,14,2056
9.5,0.504276985501234,0.504276985501235,0.506255737416635,0.0018035586440751,0.502720762474248,0.509790712359022,12,1838
9.6,0.503864772938304,0.503864772938304,0.503979601699391,0.00132328462190735,0.501385963840453,0.506573239558329,9,1321
9.7,0.503336033046763,0.503336033046763,0.502113703712203,0.000946959692392382,0.500257662715114,0.503969744709292,5,748
