branch,epsilon,kappa,gamma_log2,p_plus,p_minus,status,solver,iterations,solve_time_seconds,solver_setup_time_seconds,solver_internal_time_seconds,trace_residual,signed_weight_residual,minimum_eigenvalue_plus,minimum_eigenvalue_minus,worst_diamond_psd_violation,worst_diamond_trace_violation,endpoint_t10_half_diamond,time_points,time_grid,full_grid_points,unconstrained_grid_points,unconstrained_max_half_diamond_upper_bound,unconstrained_max_upper_bound_excess,unconstrained_worst_time,full_source_grid_certified,fast_certificate_points,batch_exact_certificate_points,batch_diamond_seconds,batch_diamond_status
damping_plus_z,0.0,2.23606856355087,1.1609644255595903,1.61803428060652,0.6180342829443499,optimal,SCS,75,0.31955970800481737,0.007332041,0.27567583300000004,1.5041898523674818e-08,2.337829929643931e-09,-6.412234124357988e-06,-6.4036894497385055e-06,4.788333633412679e-07,7.383944352893974e-16,1.2789977780571966e-12,101,101 active source-grid constraints; all 1000 source points certified,1000,899,4.63552239814342e-07,4.63552239814342e-07,0.01,True,899,0,0.0,not_needed
damping_plus_z,0.005,2.2072638707295154,1.1422591091087895,1.6036319393271419,0.6036319314023733,optimal,SCS,175,0.7645310419611633,0.007740416,0.703835333,3.997427974110515e-08,7.924768619105294e-09,8.223995266584897e-06,7.200879330953911e-06,6.0045748175825864e-05,4.429982688682575e-05,0.004990116510904255,101,101 active source-grid constraints; all 1000 source points certified,1000,899,0.005492469872070126,0.0004924698720701259,2.05,True,569,330,8.168590083019808,optimal
damping_plus_z,0.01,2.178632417837089,1.1234228032925986,1.589316213607719,0.5893162042293699,optimal,SCS,200,0.8482585409656167,0.007362666,0.817254083,7.051734724312523e-08,9.378349208333248e-09,2.668111111720044e-06,2.6134145113663587e-06,3.71478559741123e-05,2.7359732624587116e-05,0.009978667162076004,101,101 active source-grid constraints; all 1000 source points certified,1000,899,0.010480962506691225,0.00048096250669122514,2.24,True,537,362,14.991035833023489,optimal
damping_plus_z,0.015,2.150097075524953,1.1044017980551082,1.5750485379071266,0.5750485376178263,optimal,SCS,275,1.1667488340754062,0.007260541,1.134068458,1.2257231996203907e-08,2.893003614445888e-10,1.251449181862368e-06,1.2479454172441097e-06,4.0189536367540156e-05,3.530397230275262e-05,0.014976251682444108,101,101 active source-grid constraints; all 1000 source points certified,1000,899,0.015484666322717167,0.00048466632271716714,8.14,True,528,371,6.983740624971688,optimal
damping_plus_z,0.02,2.1216743897587618,1.085203264959155,1.5608371949714863,0.5608371947872755,optimal,SCS,525,2.2031913339160383,0.0073785,2.1710569580000003,7.6066030943541e-09,1.8421086878106507e-10,-3.7646313831360216e-06,-2.898107621708098e-06,3.820371941424052e-05,3.356466308949285e-05,0.019958457448290338,101,101 active source-grid constraints; all 1000 source points certified,1000,899,0.020424815304798637,0.00042481530479863625,8.09,True,522,377,6.8086068329866976,optimal
damping_plus_z,0.025,2.0933470747496683,1.0658115287499499,1.5466735370566609,0.5466735376930076,optimal,SCS,625,2.846907375147566,0.009159791,2.796332083,6.521696501481251e-09,6.363467530690059e-10,-3.3515776209797346e-06,-2.621874320492573e-06,4.164913090153391e-05,3.6592581142545766e-05,0.02496008089422698,101,101 active source-grid constraints; all 1000 source points certified,1000,899,0.02548158095456827,0.000481580954568267,8.07,True,520,379,8.603727292036638,optimal
damping_plus_z,0.03,2.0651374888915854,1.0462378339154619,1.5325687440877935,0.5325687448037919,optimal,SCS,675,3.1256574580911547,0.007896499999999999,3.083989916,8.773888776466486e-09,7.159983717031082e-10,-4.8773011450924554e-06,-3.878578928624866e-06,3.884081013276125e-05,3.412353608663735e-05,0.02995388569777354,101,101 active source-grid constraints; all 1000 source points certified,1000,899,0.0304300877250449,0.0004300877250449017,2.32,True,516,383,7.757839499972761,optimal
damping_plus_z,0.035,2.0370409060683397,1.0264749515307956,1.5185204525437808,0.5185204535245587,optimal,SCS,725,3.3830522908829153,0.010214625,3.333826625,7.85380460833503e-09,9.80777903336616e-10,-4.348097247761969e-06,-3.456412966698086e-06,3.889826730267554e-05,3.417449119710868e-05,0.034961594058536674,101,101 active source-grid constraints; all 1000 source points certified,1000,899,0.035467250458945436,0.00046725045894543266,2.32,True,514,385,7.69159054197371,optimal
damping_plus_z,0.04,2.009066504083175,1.00652532092685,1.5045332521010262,0.5045332519821488,optimal,SCS,950,4.252830125158653,0.007665833,4.209876666,8.95298251300715e-09,1.1887735240634356e-10,-4.920565927432309e-06,-3.7274839202693853e-06,3.517340949012878e-05,3.0894483207782875e-05,0.039964222587091584,101,101 active source-grid constraints; all 1000 source points certified,1000,899,0.040492442729303926,0.0004924427293039255,2.32,True,513,386,7.404709666967392,optimal
damping_plus_z,0.045,1.9812147502608406,0.9863852670747439,1.4906073746854176,0.490607375575423,optimal,SCS,900,4.133677458157763,0.010495958,4.078067666,9.240808495428925e-09,8.900054027094484e-10,-5.295367672227453e-06,-4.192560236119457e-06,3.634316858690952e-05,3.190541379434472e-05,0.044967127755677495,101,101 active source-grid constraints; all 1000 source points certified,1000,899,0.04542749810386548,0.00042749810386548404,7.99,True,511,388,7.608236707979813,optimal
damping_plus_z,0.05,1.953489197402225,0.9660532775859167,1.4767445982585947,0.47674459914363043,optimal,SCS,875,3.9939472910482436,0.007762708,3.956641333,9.085115753730867e-09,8.850357113843188e-10,-5.259442631063806e-06,-4.178576322995841e-06,3.6664437931009666e-05,3.21897991523018e-05,0.04997399843017998,101,101 active source-grid constraints; all 1000 source points certified,1000,899,0.05049498556576436,0.0004949855657643554,2.32,True,510,389,8.291017290903255,optimal
damping_plus_z,0.055,1.9258928231023902,0.9455274187156197,1.462946411237806,0.46294641186458413,optimal,SCS,575,2.9660931250546128,0.009239708000000001,2.9170708330000004,7.971193518475361e-09,6.267779628643666e-10,-4.6007176346026505e-06,-3.518490438696762e-06,3.572913263895361e-05,3.136634728179155e-05,0.054985839021573175,101,101 active source-grid constraints; all 1000 source points certified,1000,899,0.055470557442374974,0.0004705574423749734,2.32,True,509,390,7.100732499966398,optimal
damping_plus_z,0.06,1.898416875648237,0.9247968302893633,1.4492084423419112,0.44920843330632576,optimal,SCS,300,1.4707869999110699,0.008095416,1.421232791,3.698298023333345e-08,9.03558539100402e-09,-3.0899842983942956e-06,-2.790095514515328e-06,2.6170973643702055e-05,1.9749197772700455e-05,0.06004708375731489,101,101 active source-grid constraints; all 1000 source points certified,1000,899,0.06048418722109271,0.0004841872210927106,7.94,True,507,392,7.904892249964178,optimal
damping_plus_z,0.065,1.8710812855018628,0.9038722350314542,1.4355406420295995,0.4355406434722634,optimal,SCS,1200,5.511655333917588,0.008224208,5.468776541,5.824692015942834e-09,1.4426638772491174e-09,2.4233635419075705e-07,-3.331103529983541e-07,2.2941783932639563e-05,1.7572659939346646e-05,0.0650340551463016,101,101 active source-grid constraints; all 1000 source points certified,1000,899,0.06541169976294219,0.00041169976294218313,2.32,True,503,396,8.198608292033896,optimal
damping_plus_z,0.07,1.8438823837185014,0.8827466330786465,1.4219411912357647,0.42194119248273676,optimal,SCS,1500,6.995081332977861,0.0081355,6.951698749999999,4.676697471702162e-09,1.246972081148101e-09,5.704244742549708e-07,5.706008418613796e-07,3.910381053369438e-05,3.424722208189568e-05,0.07001826533045542,101,101 active source-grid constraints; all 1000 source points certified,1000,899,0.07041303772677417,0.00041303772677415973,7.88,True,502,397,7.410115041071549,optimal
damping_plus_z,0.075,1.8168289995926759,0.8614226391377561,1.4084144991842917,0.4084145004083841,optimal,SCS,1500,6.904073250014335,0.008122666,6.858061958,4.474255185826872e-09,1.224092383012021e-09,3.8130573560236314e-07,3.8160880641947316e-07,4.354771859747806e-05,3.8139515539298285e-05,0.07502211293775078,101,101 active source-grid constraints; all 1000 source points certified,1000,899,0.07538133834124147,0.0003813383412414745,7.87,True,501,398,8.133163207909092,optimal
damping_plus_z,0.08,1.7899223535700428,0.839897005059861,1.39496117620903,0.3949611773610128,optimal,SCS,1625,7.369637208990753,0.008279708,7.3058833750000005,4.11638072890347e-09,1.1519829534734072e-09,2.0787155963959906e-07,2.082252784886428e-07,4.8410531628934044e-05,4.2398433772378175e-05,0.08002731190593229,101,101 active source-grid constraints; all 1000 source points certified,1000,899,0.08034581091665936,0.0003458109166593615,7.86,True,500,399,8.041189417010173,optimal
