probe_k,direction,omega_khz,input_power_w,photon_number,probability,poisson_probability,relative_poisson_deviation,mean_n,classification
2.5,1,29.0,3e-13,0,0.5134327802830085,0.5224298455267782,-0.017221575912642763,0.6492645710921785,2PB
2.5,1,29.0,3e-13,1,0.3251668397389749,0.3391951895816967,-0.041357749972875085,0.6492645710921785,2PB
2.5,1,29.0,3e-13,2,0.16010541377632248,0.11011370964014525,0.45400072615436854,0.6492645710921785,2PB
2.5,1,29.0,3e-13,3,0.0012929621153927914,0.02383097682029253,-0.945744476815075,0.6492645710921785,2PB
2.5,1,29.0,3e-13,4,2.0029774148211944e-06,0.0038681522359837184,-0.9994821875426235,0.6492645710921785,2PB
2.5,-1,29.0,3e-13,0,0.9873826177420024,0.9829219432969605,0.004538177701150666,0.017225568603345724,PIT
2.5,-1,29.0,3e-13,1,0.008930556286840603,0.01693138936599569,-0.4725443911427395,0.017225568603345724,PIT
2.5,-1,29.0,3e-13,2,0.002771157268002145,0.0001458264045369585,18.003124137918505,0.017225568603345724,PIT
2.5,-1,29.0,3e-13,3,0.0009099841817535813,8.373142451768749e-07,1085.7893231188914,0.017225568603345724,PIT
2.5,-1,29.0,3e-13,4,5.677375094306569e-06,3.6058034932132254e-09,1573.5103983044046,0.017225568603345724,PIT
