probe_k,direction,omega_khz,input_power_w,photon_number,probability,poisson_probability,relative_poisson_deviation,mean_n,classification
2.0,1,58.0,3e-13,0,0.502558492840048,0.6045121704307542,-0.16865446648999233,0.5033334760766,1PB
2.0,1,58.0,3e-13,1,0.4915615844662553,0.30427121207352154,0.6155376025106132,0.5033334760766,1PB
2.0,1,58.0,3e-13,2,0.00586788475682755,0.07657494342150296,-0.9233706941900294,0.5033334760766,1PB
2.0,1,58.0,3e-13,3,1.2029653360165852e-05,0.012847577484238018,-0.9990636636848522,0.5033334760766,1PB
2.0,1,58.0,3e-13,4,8.280935538711484e-09,0.0016166539585762453,-0.9999948777315673,0.5033334760766,1PB
2.0,-1,58.0,3e-13,0,0.9887587015174146,0.9852234420789064,0.003588281893748371,0.014886818785269342,PIT
2.0,-1,58.0,3e-13,1,0.008321962225085251,0.014666842845227986,-0.43260030035755853,0.014886818785269342,PIT
2.0,-1,58.0,3e-13,2,0.002197705141088439,0.00010917131579446662,19.13079282863998,0.014886818785269342,PIT
2.0,-1,58.0,3e-13,3,0.0007170839502989046,5.417378649272124e-07,1322.6733053452922,0.014886818785269342,PIT
2.0,-1,58.0,3e-13,4,4.541406149304476e-06,2.0161883560725328e-09,2251.471171964797,0.014886818785269342,PIT
3.0,1,58.0,3e-13,0,0.5484536602222163,0.5478123613208381,0.0011706543091360001,0.6018224570173958,2PB
3.0,1,58.0,3e-13,1,0.302450986989809,0.3296857812746082,-0.08260833748882324,0.6018224570173958,2PB
3.0,1,58.0,3e-13,2,0.14791640025944425,0.09920615346519222,0.49100025646435985,0.6018224570173958,2PB
3.0,1,58.0,3e-13,3,0.0011771416026703776,0.019901497009888938,-0.940851605178974,0.6018224570173958,2PB
3.0,1,58.0,3e-13,4,1.8099288714068156e-06,0.002994291957203929,-0.9993955402822186,0.6018224570173958,2PB
3.0,-1,58.0,3e-13,0,0.9972251613409826,0.9972118352973091,1.3363302762619058e-05,0.002792058873973929,PIT
3.0,-1,58.0,3e-13,1,0.002760672507021786,0.00278427415397368,-0.008476768323338359,0.002792058873973929,PIT
3.0,-1,58.0,3e-13,2,1.1617704171465491e-05,3.886928679589233e-06,1.9889162187285718,0.002792058873973929,PIT
3.0,-1,58.0,3e-13,3,2.0453740235366126e-06,3.617511237450295e-09,564.4091692547827,0.002792058873973929,PIT
3.0,-1,58.0,3e-13,4,5.005351458257602e-07,2.525076088055876e-12,198224.76760890227,0.002792058873973929,PIT
1.5,1,29.0,3e-13,0,0.5008233225468633,0.6033995729607899,-0.16999722076467594,0.5051756599790213,1PB
1.5,1,29.0,3e-13,1,0.49319005198668525,0.30482277750152664,0.6179566895528836,0.5051756599790213,1PB
1.5,1,29.0,3e-13,2,0.005974276949683745,0.07699452390048603,-0.9224064693561144,0.5051756599790213,1PB
1.5,1,29.0,3e-13,3,1.2339976765388868e-05,0.012965253142066188,-0.9990482270858753,0.5051756599790213,1PB
1.5,1,29.0,3e-13,4,8.537339215897537e-09,0.001637432578209591,-0.9999947861430574,0.5051756599790213,1PB
1.5,-1,29.0,3e-13,0,0.5184476907095469,0.5258823113533839,-0.014137422923968827,0.6426778339527286,2PB
1.5,-1,29.0,3e-13,1,0.3217492948320562,0.3379729047746472,-0.04800269404261421,0.6426778339527286,2PB
1.5,-1,29.0,3e-13,2,0.15848257993906884,0.10860384718764103,0.45927224534918626,0.6426778339527286,2PB
1.5,-1,29.0,3e-13,3,0.0013183599945738255,0.023265761756495428,-0.9433347591034383,0.6426778339527286,2PB
1.5,-1,29.0,3e-13,4,2.07336526153831e-06,0.0037380973427311773,-0.9994453420894536,0.6426778339527286,2PB
2.5,1,29.0,3e-13,0,0.5134327802830085,0.5224298455267782,-0.017221575912642763,0.6492645710921785,2PB
2.5,1,29.0,3e-13,1,0.3251668397389749,0.3391951895816967,-0.041357749972875085,0.6492645710921785,2PB
2.5,1,29.0,3e-13,2,0.16010541377632248,0.11011370964014525,0.45400072615436854,0.6492645710921785,2PB
2.5,1,29.0,3e-13,3,0.0012929621153927914,0.02383097682029253,-0.945744476815075,0.6492645710921785,2PB
2.5,1,29.0,3e-13,4,2.0029774148211944e-06,0.0038681522359837184,-0.9994821875426235,0.6492645710921785,2PB
2.5,-1,29.0,3e-13,0,0.9873826177420024,0.9829219432969605,0.004538177701150666,0.017225568603345724,PIT
2.5,-1,29.0,3e-13,1,0.008930556286840603,0.01693138936599569,-0.4725443911427395,0.017225568603345724,PIT
2.5,-1,29.0,3e-13,2,0.002771157268002145,0.0001458264045369585,18.003124137918505,0.017225568603345724,PIT
2.5,-1,29.0,3e-13,3,0.0009099841817535813,8.373142451768749e-07,1085.7893231188914,0.017225568603345724,PIT
2.5,-1,29.0,3e-13,4,5.677375094306569e-06,3.6058034932132254e-09,1573.5103983044046,0.017225568603345724,PIT
