probe_k,direction,omega_khz,input_power_w,photon_number,probability,poisson_probability,relative_poisson_deviation,mean_n,classification
1.0,0,0.0,2e-15,0,0.8302922016127456,0.8438994172381769,-0.016124214980457557,0.16972196537636802,1PB
1.0,0,0.0,2e-15,1,0.1696936315953695,0.143228267673635,0.18477751879286428,0.16972196537636802,1PB
1.0,0,0.0,2e-15,2,1.4166594656116052e-05,0.012154491543510925,-0.9988344560029186,0.16972196537636802,1PB
1.0,0,0.0,2e-15,3,1.9722877344468556e-10,0.0006876280643050397,-0.9999997131752124,0.16972196537636802,1PB
1.0,0,0.0,2e-15,4,0.0,2.9176396630449733e-05,-1.0,0.16972196537636802,1PB
2.0,0,0.0,2e-15,0,0.9997687698798179,0.9997473610974806,2.1414192395316166e-05,0.0002526708211029289,PIT
2.0,0,0.0,2e-15,1,0.00020979061244793997,0.0002526069866239868,-0.16949798082893203,0.0002526708211029289,PIT
2.0,0,0.0,2e-15,2,2.1438314560037134e-05,3.191320736330966e-08,670.7693497860255,0.0002526708211029289,PIT
2.0,0,0.0,2e-15,3,1.1931616935631706e-09,2.6878454361718293e-12,442.9100840792892,0.0002526708211029289,PIT
2.0,0,0.0,2e-15,4,1.2458488902896739e-14,1.6978502833882405e-16,72.37801821980734,0.0002526708211029289,PIT
