k,direction,omega_khz,input_power_w,cutoff,delta_l_over_u,delta_f_over_u,mean_n,g1,g2,g3,g4,analytic_g2,analytic_g3,f,f2,one_photon_blockade,two_photon_blockade,pit_2_to_4,residual_norm,trace_error,hermiticity_error,minimum_eigenvalue,tail_probability
0.0,0,0.0,2e-15,12,1.0,0.0,0.00016694582073734681,1.0,0.2501729990182394,0.027819297171422647,0.0,0.2501219695204833,0.027807401064783042,0.9998330681139407,0.9998377124293393,True,False,False,8.214188859762799e-17,1.1754943508222875e-38,3.0103980910868825e-21,-4.301861249526246e-29,0.0
0.008333333333333333,0,0.0,2e-15,12,0.9916666666666668,0.0,0.00016976072201364478,1.0,0.2480873657808271,0.02728126868242878,0.0,0.24803566097497276,0.02726935162408943,0.9998302536865223,0.9998348849743913,True,False,False,1.1517738456721005e-17,8.110911020673784e-36,9.730506930123762e-19,-5.062125551268053e-29,0.0
0.016666666666666666,0,0.0,2e-15,12,0.9833333333333333,0.0,0.00017264739684547115,1.0,0.24599308422221003,0.02674746251107776,0.0,0.2459406930628261,0.02673552554387938,0.9998273675058587,0.9998319853856334,True,False,False,8.210158917613049e-17,3.373668786859965e-36,3.855564497758115e-19,-1.6150041130762804e-39,0.0
0.025,0,0.0,2e-15,12,0.9750000000000001,0.0,0.00017560830534098321,1.0,0.2438901577279335,0.026217925056802274,0.0,0.2438370689570407,0.026205969253995303,0.9998244071128949,0.9998290111982837,True,False,False,1.2280698437185138e-17,8.087401133657338e-36,7.202227460824526e-19,-4.131538186523762e-29,0.0
0.03333333333333333,0,0.0,2e-15,12,0.9666666666666667,0.0,0.00017864601388350304,1.0,0.2417785916613175,0.0256927027297824,0.0,0.24172479380377587,0.02568072919561968,0.9998213699423655,0.9998259598412941,True,False,False,8.077193548063136e-17,4.231779662960235e-36,7.798523316329166e-19,-4.582098821924686e-30,0.0
0.041666666666666664,0,0.0,2e-15,12,0.9583333333333334,0.0,0.00018176320068668308,1.0,0.23965839344654336,0.02517184193502669,0.0,0.23960387480533263,0.025159851805361667,0.999818253317243,0.9998228286318004,True,False,False,6.743997380838347e-17,2.519084393812162e-35,1.2791919756429072e-18,-6.388128404692074e-59,0.0
0.05,0,0.0,2e-15,12,0.95,0.0,0.0001849626616912928,1.0,0.2375295726549271,0.02465538905580373,0.0,0.23747432130631613,0.02464338349869362,0.9998150544428472,0.9998196147692321,True,False,False,3.959710069487276e-17,1.1637394073140646e-36,1.25615603607265e-19,-3.0858732238524207e-35,0.0
0.058333333333333334,0,0.0,2e-15,12,0.9416666666666667,0.0,0.00018824731682783765,1.0,0.23539214109450568,0.024143390436403747,0.0,0.23533614488310903,0.02413137065271772,0.9998117704005866,0.9998163153290553,True,False,False,7.078108862092439e-17,1.1102230246251565e-16,1.0780518007924162e-19,-1.201590354531192e-29,0.0
0.06666666666666667,0,0.0,2e-15,12,0.9333333333333332,0.0,0.00019162021667117548,1.0,0.23324611290306785,0.023635892364210785,0.0,0.2331893594367871,0.023623859588242008,0.99980839814131,0.999812927256126,True,False,False,1.7544071842518795e-17,1.586917373610088e-36,8.811743447048474e-20,-4.905543554143182e-35,0.0
0.075,0,0.0,2e-15,12,0.925,0.0,0.00019508454951540417,1.0,0.2310915046447701,0.023132941051062728,0.0,0.23103398128961797,0.023120896551145145,0.9998049344782379,0.9998094473576219,True,False,False,9.074560356730224e-17,7.828792376476435e-36,5.559723550823688e-19,-8.478337928630983e-30,0.0
