N,inverse_N,eta_from_oscillatory_mode,minus_real_lambda_1,minus_real_lambda_2,parameter_match
6,0.16666666666666666,0.41402867334908905,0.23934063947563483,0.41402867334908905,reduced_scale
8,0.125,0.32736287300207056,0.18323298250999062,0.32736287300207056,reduced_scale
10,0.10000000000000001,0.27063708194505565,0.14796187596619645,0.27063708194505565,reduced_scale
12,0.083333333333333329,0.23042608020851385,0.12380991786259823,0.23042608020851385,reduced_scale
16,0.0625,0.1771030696892939,0.093013581821814392,0.1771030696892939,reduced_scale
20,0.050000000000000003,0.14338178613093266,0.074305307172109217,0.14338178613093266,reduced_scale
