Q,P_over_pi,R_over_2pi_kappa,branch_cut_argument,parameter_match
-1,-0.25,1.5295254403663638,-2,paper_subset
-1,-0.24363636363636365,1.5295254403663638,-2,paper_subset
-1,-0.23727272727272727,1.5295254403663638,-2,paper_subset
-1,-0.23090909090909092,1.5295254403663638,-2,paper_subset
-1,-0.22454545454545452,1.5295254403663638,-2,paper_subset
-1,-0.21818181818181817,1.5295254403663638,-2,paper_subset
-1,-0.21181818181818182,1.5295254403663638,-2,paper_subset
-1,-0.20545454545454545,1.5295254403663638,-2,paper_subset
-1,-0.1990909090909091,1.5295254403663638,-2,paper_subset
-1,-0.19272727272727275,1.5295254403663638,-2,paper_subset
-1,-0.18636363636363637,1.5295254403663638,-2,paper_subset
-1,-0.17999999999999999,1.5295254403663638,-2,paper_subset
-1,-0.17363636363636364,1.5295254403663638,-2,paper_subset
-1,-0.16727272727272727,1.5295254403663638,-2,paper_subset
-1,-0.16090909090909092,1.5295254403663638,-2,paper_subset
-1,-0.15454545454545454,1.5295254403663638,-2,paper_subset
-1,-0.14818181818181819,1.5295254403663638,-2,paper_subset
-1,-0.14181818181818182,1.5295254403663638,-2,paper_subset
-1,-0.13545454545454544,1.5295254403663638,-2,paper_subset
-1,-0.12909090909090909,1.5295254403663638,-2,paper_subset
-1,-0.12272727272727273,1.5295254403663638,-2,paper_subset
-1,-0.11636363636363636,1.5295254403663638,-2,paper_subset
-1,-0.11000000000000001,1.5295254403663638,-2,paper_subset
-1,-0.10363636363636365,1.5295254403663638,-2,paper_subset
-1,-0.097272727272727275,1.5295254403663638,-2,paper_subset
-1,-0.090909090909090912,1.5295254403663638,-2,paper_subset
-1,-0.084545454545454549,1.5295254403663638,-2,paper_subset
-1,-0.0781818181818182,1.5295254403663638,-2,paper_subset
-1,-0.071818181818181837,1.5295254403663638,-2,paper_subset
-1,-0.06545454545454546,1.5295254403663638,-2,paper_subset
-1,-0.059090909090909104,1.5295254403663638,-2,paper_subset
-1,-0.05272727272727272,1.5295254403663638,-2,paper_subset
-1,-0.046363636363636371,1.5295254403663638,-2,paper_subset
-1,-0.040000000000000022,1.5295254403663638,-2,paper_subset
-1,-0.033636363636363638,1.5295254403663638,-2,paper_subset
-1,-0.027272727272727285,1.5295254403663638,-2,paper_subset
-1,-0.020909090909090901,1.5295254403663638,-2,paper_subset
-1,-0.014545454545454551,1.5295254403663638,-2,paper_subset
-1,-0.0081818181818181998,1.5295254403663638,-2,paper_subset
-1,-0.0018181818181818143,1.5295254403663638,-2,paper_subset
-1,0.0045454545454545357,1.5295254403663638,-2,paper_subset
-1,0.010909090909090886,1.5295254403663638,-2,paper_subset
-1,0.017272727272727273,1.5295254403663638,-2,paper_subset
-1,0.023636363636363622,1.5295254403663638,-2,paper_subset
-1,0.029999999999999971,1.5295254403663638,-2,paper_subset
-1,0.036363636363636355,1.5295254403663638,-2,paper_subset
-1,0.042727272727272704,1.5295254403663638,-2,paper_subset
-1,0.049090909090909095,1.5295254403663638,-2,paper_subset
-1,0.055454545454545444,1.5295254403663638,-2,paper_subset
-1,0.061818181818181793,1.5295254403663638,-2,paper_subset
-1,0.068181818181818177,1.5295254403663638,-2,paper_subset
-1,0.074545454545454526,1.5295254403663638,-2,paper_subset
-1,0.080909090909090917,1.5295254403663638,-2,paper_subset
-1,0.087272727272727224,1.5295254403663638,-2,paper_subset
