N,inverse_N,rank,minus_real_lambda_over_kappa,omega0_over_kappa,parameter_match
6,0.16666666666666666,1,0.69304567377069726,0.5,reduced_scale
6,0.16666666666666666,2,0.73476213456759398,0.5,reduced_scale
6,0.16666666666666666,3,0.93396816040184794,0.5,reduced_scale
6,0.16666666666666666,4,1.0529303766940188,0.5,reduced_scale
6,0.16666666666666666,5,1.1805423562965047,0.5,reduced_scale
6,0.16666666666666666,6,1.2829417323925862,0.5,reduced_scale
6,0.16666666666666666,7,1.4132310657483373,0.5,reduced_scale
6,0.16666666666666666,8,1.5948117797814039,0.5,reduced_scale
8,0.125,1,0.7262119113079718,0.5,reduced_scale
8,0.125,2,0.74774122853774416,0.5,reduced_scale
8,0.125,3,0.88587227027998627,0.5,reduced_scale
8,0.125,4,0.92922311717021566,0.5,reduced_scale
8,0.125,5,1.2166894472743386,0.5,reduced_scale
8,0.125,6,1.3254631842497795,0.5,reduced_scale
8,0.125,7,1.3510718840859226,0.5,reduced_scale
8,0.125,8,1.5265458044047349,0.5,reduced_scale
10,0.10000000000000001,1,0.76217548051608097,0.5,reduced_scale
10,0.10000000000000001,2,0.77358626701153943,0.5,reduced_scale
10,0.10000000000000001,3,0.86165971723190549,0.5,reduced_scale
10,0.10000000000000001,4,0.87997121450259375,0.5,reduced_scale
10,0.10000000000000001,5,1.2687168377862268,0.5,reduced_scale
10,0.10000000000000001,6,1.2873455379553611,0.5,reduced_scale
10,0.10000000000000001,7,1.3493252775250313,0.5,reduced_scale
10,0.10000000000000001,8,1.4048420214171704,0.5,reduced_scale
12,0.083333333333333329,1,0.79255242902895218,0.5,reduced_scale
12,0.083333333333333329,2,0.79854671865921123,0.5,reduced_scale
12,0.083333333333333329,3,0.84997027866269281,0.5,reduced_scale
12,0.083333333333333329,4,0.85803887705380122,0.5,reduced_scale
12,0.083333333333333329,5,1.2824784337231658,0.5,reduced_scale
12,0.083333333333333329,6,1.3091541267715854,0.5,reduced_scale
12,0.083333333333333329,7,1.3285581522397329,0.5,reduced_scale
12,0.083333333333333329,8,1.4594312316224314,0.5,reduced_scale
16,0.0625,1,0.82851168989839141,0.5,reduced_scale
16,0.0625,2,0.83000014400728794,0.5,reduced_scale
16,0.0625,3,0.84406032956409993,0.5,reduced_scale
16,0.0625,4,0.84569218137678071,0.5,reduced_scale
16,0.0625,5,1.3399044112724297,0.5,reduced_scale
16,0.0625,6,1.346335330262048,0.5,reduced_scale
16,0.0625,7,1.4506815691438086,0.5,reduced_scale
16,0.0625,8,1.5603884866450972,0.5,reduced_scale
20,0.050000000000000003,1,0.84256893197064986,0.5,reduced_scale
20,0.050000000000000003,2,0.8428914006305197,0.5,reduced_scale
20,0.050000000000000003,3,0.84611117901990396,0.5,reduced_scale
20,0.050000000000000003,4,0.84644111901696562,0.5,reduced_scale
20,0.050000000000000003,5,1.4347858350787994,0.5,reduced_scale
20,0.050000000000000003,6,1.4366424661852544,0.5,reduced_scale
20,0.050000000000000003,7,1.5499925280970011,0.5,reduced_scale
20,0.050000000000000003,8,1.5511799868288954,0.5,reduced_scale
