phase,omega0_over_kappa,eigen_index,real_lambda_over_kappa,imag_lambda_over_kappa,generated_N,paper_N,parameter_match
strong,0.5,0,-2.4757519185383656e-14,-1.1122188309491079e-14,16,36,reduced_scale
strong,0.5,1,-0.82851168989839674,-1.9803563352320387e-15,16,36,reduced_scale
strong,0.5,2,-0.83000014400730437,7.7877765023405617e-15,16,36,reduced_scale
strong,0.5,3,-0.84406032956410681,3.3830093068755364e-16,16,36,reduced_scale
strong,0.5,4,-0.84569218137676694,1.5554483285543059e-14,16,36,reduced_scale
strong,0.5,5,-1.3399044112724228,-2.9730938407449932e-15,16,36,reduced_scale
strong,0.5,6,-1.3463353302620185,-2.1733232663773309e-14,16,36,reduced_scale
strong,0.5,7,-1.4506815691437009,1.0994183577952651e-13,16,36,reduced_scale
strong,0.5,8,-1.5603884864679531,3.7950423370003897e-14,16,36,reduced_scale
strong,0.5,9,-1.5639217230299212,7.3708301849525286e-15,16,36,reduced_scale
strong,0.5,10,-1.5786063585839918,3.6376251905177277e-14,16,36,reduced_scale
strong,0.5,11,-1.6116887980812038,0.1718930010864079,16,36,reduced_scale
strong,0.5,12,-1.611688798081353,-0.17189300108659294,16,36,reduced_scale
strong,0.5,13,-1.8407988414360932,-2.1510132556786764e-14,16,36,reduced_scale
strong,0.5,14,-1.8920405158195515,0.25477306813078365,16,36,reduced_scale
strong,0.5,15,-1.8920405158197049,-0.25477306813095524,16,36,reduced_scale
strong,0.5,16,-1.9540434888706908,7.563954984369284e-14,16,36,reduced_scale
strong,0.5,17,-2.0002858361497426,-1.5699510146620701e-13,16,36,reduced_scale
strong,0.5,18,-2.0473340310251489,4.8643574489920451e-14,16,36,reduced_scale
strong,0.5,19,-2.0982773767304903,-0.42586188426626403,16,36,reduced_scale
strong,0.5,20,-2.0982773767306178,0.42586188426666,16,36,reduced_scale
strong,0.5,21,-2.1729903203981364,0.34311522359977276,16,36,reduced_scale
strong,0.5,22,-2.1729903203983936,-0.34311522360006252,16,36,reduced_scale
strong,0.5,23,-2.3125961231318288,5.1113666326301148e-14,16,36,reduced_scale
strong,0.5,24,-2.3336105409640844,0.62064220358088251,16,36,reduced_scale
strong,0.5,25,-2.3336105409645853,-0.62064220358061883,16,36,reduced_scale
strong,0.5,26,-2.3700153220683293,-9.3556572698123946e-14,16,36,reduced_scale
