fraction,percentage,xeb
0.100000,10.00,2.388871315116
0.200000,20.00,1.656602837575
0.300000,30.00,1.237294886506
0.400000,40.00,0.940658669073
0.500000,50.00,0.711728740078
0.600000,60.00,0.525209032838
0.700000,70.00,0.367334574382
0.800000,80.00,0.230490495252
0.900000,90.00,0.111117938773
1.000000,100.00,0.004942257576
