rank_descending,open_bitstring,probability,scaled_Np,conditional_probability,scaled_conditional_Lp
1,111101011111,3.01274851909338113e-05,7.89773947789215303e+00,1.93302184593859569e-03,7.91765748096448796e+00
2,011011011101,3.00207223618567227e-05,7.86975224282656871e+00,1.92617179258590746e-03,7.88959966243187694e+00
3,100010010011,2.93271574569686525e-05,7.68793836439959044e+00,1.88167169228784436e-03,7.70732725161101051e+00
4,100111101100,2.76615437456415181e-05,7.25130772365745013e+00,1.77480357267927177e-03,7.26959543369429717e+00
5,101010110010,2.60820578429092160e-05,6.83725497117159353e+00,1.67346153447117175e-03,6.85449844519391949e+00
6,111100111100,2.43574909578681616e-05,6.38517010965939136e+00,1.56281089627685566e-03,6.40127343115000080e+00
7,101100100000,2.33318352445647155e-05,6.11630061835117278e+00,1.49700338238505830e-03,6.13172585424919880e+00
8,100010000110,2.23768386672783354e-05,5.86595399559501196e+00,1.43572945809327312e-03,5.88074786035004671e+00
9,000100011001,2.22659827325891203e-05,5.83689377745184235e+00,1.42861678532459871e-03,5.85161435268955632e+00
10,100010010101,2.21791925562508300e-05,5.81414225346581759e+00,1.42304820547760704e-03,5.82880544963627845e+00
11,110011111101,2.18829931506372012e-05,5.73649535648063846e+00,1.40404363479483822e-03,5.75096272811965736e+00
12,101101111110,2.11241434631089730e-05,5.53756746399323863e+00,1.35535477097233873e-03,5.55153314190269942e+00
13,110010001100,2.10778053376004754e-05,5.52542020241993903e+00,1.35238165163164051e-03,5.53935524508319954e+00
14,000011011110,2.09749420466757773e-05,5.49845520788377495e+00,1.34578179813432913e-03,5.51232224515821212e+00
15,101010111011,2.07060428458244645e-05,5.42796489577580843e+00,1.32852884700658492e-03,5.44165415733897184e+00
16,011000001011,2.06434542092943575e-05,5.41155766024126006e+00,1.32451307201064813e-03,5.42520554295561475e+00
17,100011101101,2.05702799757707247e-05,5.39237547396844086e+00,1.31981811021531187e-03,5.40597497944191741e+00
18,000011011101,2.03586515198897696e-05,5.33689834402998375e+00,1.30623973067757189e-03,5.35035793685533445e+00
19,011010001110,2.00758647412896796e-05,5.26276748674064176e+00,1.28809573301854816e-03,5.27604012244397325e+00
20,000100101101,2.00450941485759817e-05,5.25470116048430214e+00,1.28612144848895332e-03,5.26795345301075280e+00
21,111100110000,1.99667808720289830e-05,5.23417180491716572e+00,1.28109675846145880e-03,5.24737232265813525e+00
22,101101101101,1.99236338198029594e-05,5.22286106405842698e+00,1.27832838287311539e-03,5.23603305624828064e+00
23,011100110010,1.98720235770802182e-05,5.20933174859011672e+00,1.27501699707290679e-03,5.22246962001062620e+00
24,110011110111,1.95220114041300957e-05,5.11757815752427980e+00,1.25255972351126792e-03,5.13048462750215339e+00
25,110011101100,1.94346046450111639e-05,5.09466500006180656e+00,1.24695158284540068e-03,5.10751368333476119e+00
26,000101000100,1.94115413809511004e-05,5.08861910376804527e+00,1.24547181136815273e-03,5.10145253936395360e+00
27,111111111101,1.92839012256749640e-05,5.05515900290333775e+00,1.23728223938748133e-03,5.06790805253112353e+00
28,110011011001,1.92037321692470403e-05,5.03414316577509613e+00,1.23213847991133054e-03,5.04683921371680988e+00
29,110000011010,1.91505411968189451e-05,5.02019947149890555e+00,1.22872567226878725e-03,5.03286035361295259e+00
30,000100001101,1.91277012986080241e-05,5.01421212922230186e+00,1.22726023225874586e-03,5.02685791133182303e+00
31,000000111001,1.90842922105472043e-05,5.00283269724168633e+00,1.22447504408249920e-03,5.01544978056191670e+00
32,100011010000,1.88693041543800522e-05,4.94647486824580440e+00,1.21068110786269026e-03,4.95894981780557931e+00
33,111101101011,1.86999703511195090e-05,4.90208502772387256e+00,1.19981641275508123e-03,4.91444802664481273e+00
34,011001000000,1.85087604852851471e-05,4.85196050865458961e+00,1.18754811868823922e-03,4.86419709414702783e+00
35,110011001100,1.84973325783177730e-05,4.84896475141053429e+00,1.18681488809559968e-03,4.86119378163957627e+00
36,010001010010,1.84607013351011285e-05,4.83936209078875024e+00,1.18446457598249399e-03,4.85156690322429540e+00
37,101101101011,1.84207765150911326e-05,4.82889603877204987e+00,1.18190294334752995e-03,4.84107445595148267e+00
38,010001101000,1.83997575066013411e-05,4.82338603181050196e+00,1.18055433418439402e-03,4.83555055281927793e+00
39,000100011111,1.82189056827422976e-05,4.77597681129679685e+00,1.16895062666676252e-03,4.78802176682705927e+00
40,011110101011,1.81880562742352439e-05,4.76788982395312377e+00,1.16697128520495464e-03,4.77991438419949422e+00
41,110011110000,1.81546020556527949e-05,4.75912000127704626e+00,1.16482481546316082e-03,4.77112244413710673e+00
42,011010101110,1.79114310060373941e-05,4.69537416964666665e+00,1.14922261872395736e-03,4.70721584629332934e+00
43,100010001011,1.76556318108182490e-05,4.62831794541513908e+00,1.13281018239220154e-03,4.63999050707845750e+00
44,011001001000,1.74979768014374299e-05,4.58698963063601362e+00,1.12269481513458248e-03,4.59855796279124984e+00
45,111110100110,1.74574409406353016e-05,4.57636339794190050e+00,1.12009397726252455e-03,4.58790493086730056e+00
46,111001100110,1.73770503516601580e-05,4.55528948738560047e+00,1.11493600394639851e-03,4.56677787216444830e+00
47,011110101100,1.73354185526894480e-05,4.54437596107622266e+00,1.11226484913921507e-03,4.55583682207422491e+00
48,101101100010,1.73347348298731659e-05,4.54419672724227119e+00,1.11222098052117199e-03,4.55565713621472046e+00
49,001110011101,1.72800361920096491e-05,4.52985780751817746e+00,1.10871143894267091e-03,4.54128205390918005e+00
50,000000110100,1.72691118897109976e-05,4.52699406721639974e+00,1.10801052033426069e-03,4.53841109128913178e+00
51,111111000101,1.72655343845190282e-05,4.52605624569535614e+00,1.10778098256679642e-03,4.53747090459359814e+00
52,000100111000,1.72248555653289170e-05,4.51539253731758361e+00,1.10517097228339132e-03,4.52678030247277086e+00
53,000100001011,1.71671662143012915e-05,4.50026962008179776e+00,1.10146954233968086e-03,4.51161924542333281e+00
54,101011011010,1.69901210962166842e-05,4.45385830464662646e+00,1.09011007842142087e-03,4.46509088121413988e+00
55,111011100011,1.69437456110648535e-05,4.44170124946698497e+00,1.08713456203343283e-03,4.45290316608894088e+00
56,011000001000,1.68900542558271726e-05,4.42762638283955834e+00,1.08368964912567648e-03,4.43879280281877087e+00
57,110001000010,1.65278920038635133e-05,4.33268772146079684e+00,1.06045280939665921e-03,4.34361470728871613e+00
58,100111001100,1.64776654906802070e-05,4.31952114238887219e+00,1.05723020563091674e-03,4.33041492226423497e+00
59,101111101011,1.64049714598471130e-05,4.30046483837016158e+00,1.05256605431595755e-03,4.31131055847816214e+00
60,011011011001,1.63582040078574567e-05,4.28820503143578513e+00,1.04956538878406996e-03,4.29901983245955055e+00
61,111101110011,1.62910091509020993e-05,4.27059030285407992e+00,1.04525407220366993e-03,4.28136067974623202e+00
62,111111001110,1.62661457966712343e-05,4.26407252372258405e+00,1.04365880440793527e-03,4.27482646285490286e+00
63,111101100110,1.61345199721020830e-05,4.22956760356672845e+00,1.03521350627669884e-03,4.24023452170935844e+00
64,111101111010,1.60802602377883891e-05,4.21534373977479948e+00,1.03173212536758941e-03,4.22597478550564620e+00
65,000000111000,1.60430810263474040e-05,4.20559743257081387e+00,1.02934665484209656e-03,4.21620389823322750e+00
