length,log10_length,ed_minus_1p33,ed_minus_2p66,vacuum_xi0,sma_xi1,mma_xi2,energy_scar_one,energy_scar_two
16,1.2041199826559248,1.5236367403967421,1.5009749337011542,1.7725548044462562,1.622577877169301,1.5296742700128165,-1.340020766479645,-2.6701434848224768
18,1.255272505103306,1.563354282255922,1.6017950505746612,1.8391192094153916,1.6908395476490754,1.5937976342849431,-1.3395312601351144,-2.6711866633739736
20,1.3010299956639813,1.6012120980346007,1.5920889935157114,1.8984151984514945,1.759945234817255,1.6552880420313159,-1.3391844234604298,-2.6720929513132727
22,1.3424226808222062,1.6355703499514527,1.6698083507905321,1.9532945005930151,1.8296310295277265,1.7140440220668332,-1.3389336649917043,-2.672639134984677
24,1.380211241711606,1.664988757546185,1.670489066704984,2.000867437021373,1.900566061797623,1.7733773756885673,-1.338737228031623,-2.673140272723945
26,1.414973347970818,1.7201505526905514,1.8307674188153442,2.0433550025606304,1.9719125366732257,1.8327951404146714,-1.3385842280938114,-2.6734602358663166
