model,launch,time_ns,site_i,site_j,G_ij
strong,Q1_Q12,10.5,1,1,5.276086878785714e-18
strong,Q1_Q12,10.5,1,2,7.060831638099352e-16
strong,Q1_Q12,10.5,1,3,1.0627267248678675e-13
strong,Q1_Q12,10.5,1,4,1.2910639412270263e-11
strong,Q1_Q12,10.5,1,5,1.2152157949826987e-09
strong,Q1_Q12,10.5,1,6,8.584959223981258e-08
strong,Q1_Q12,10.5,1,7,4.361888302721911e-06
strong,Q1_Q12,10.5,1,8,0.0001526955105973571
strong,Q1_Q12,10.5,1,9,0.003375814472960166
strong,Q1_Q12,10.5,1,10,0.041008725271017586
strong,Q1_Q12,10.5,1,11,0.21457136793874765
strong,Q1_Q12,10.5,1,12,0.25027785894204585
strong,Q1_Q12,10.5,2,1,7.060831638099352e-16
strong,Q1_Q12,10.5,2,2,1.0131931452025142e-15
strong,Q1_Q12,10.5,2,3,8.716516150581856e-14
strong,Q1_Q12,10.5,2,4,1.0398143135269439e-11
strong,Q1_Q12,10.5,2,5,9.78814615087974e-10
strong,Q1_Q12,10.5,2,6,6.914889806345563e-08
strong,Q1_Q12,10.5,2,7,3.5133510298002215e-06
strong,Q1_Q12,10.5,2,8,0.00012299098310795928
strong,Q1_Q12,10.5,2,9,0.002719102475041493
strong,Q1_Q12,10.5,2,10,0.033031118053459395
strong,Q1_Q12,10.5,2,11,0.1728298584858879
strong,Q1_Q12,10.5,2,12,0.20159020916272807
strong,Q1_Q12,10.5,3,1,1.0627267248678675e-13
strong,Q1_Q12,10.5,3,2,8.716516150581856e-14
strong,Q1_Q12,10.5,3,3,2.1283650359578853e-14
strong,Q1_Q12,10.5,3,4,1.8930856224719804e-12
strong,Q1_Q12,10.5,3,5,1.7712292137782142e-10
strong,Q1_Q12,10.5,3,6,1.251422394915275e-08
strong,Q1_Q12,10.5,3,7,6.358287250541119e-07
strong,Q1_Q12,10.5,3,8,2.22582932337691e-05
strong,Q1_Q12,10.5,3,9,0.000492089572495882
strong,Q1_Q12,10.5,3,10,0.00597780661469386
strong,Q1_Q12,10.5,3,11,0.03127788377017342
strong,Q1_Q12,10.5,3,12,0.036482788255660044
strong,Q1_Q12,10.5,4,1,1.2910639412270263e-11
strong,Q1_Q12,10.5,4,2,1.0398143135269439e-11
strong,Q1_Q12,10.5,4,3,1.8930856224719804e-12
strong,Q1_Q12,10.5,4,4,2.676711132617136e-13
strong,Q1_Q12,10.5,4,5,1.3961805310486942e-11
strong,Q1_Q12,10.5,4,6,9.771510873072723e-10
strong,Q1_Q12,10.5,4,7,4.965097684968174e-08
strong,Q1_Q12,10.5,4,8,1.7381192418854655e-06
strong,Q1_Q12,10.5,4,9,3.842659105765405e-05
strong,Q1_Q12,10.5,4,10,0.00046679861410647724
strong,Q1_Q12,10.5,4,11,0.002442446491928015
strong,Q1_Q12,10.5,4,12,0.0028488902524774597
strong,Q1_Q12,10.5,5,1,1.2152157949826987e-09
strong,Q1_Q12,10.5,5,2,9.78814615087974e-10
strong,Q1_Q12,10.5,5,3,1.7712292137782142e-10
strong,Q1_Q12,10.5,5,4,1.3961805310486942e-11
strong,Q1_Q12,10.5,5,5,8.176486081596918e-13
strong,Q1_Q12,10.5,5,6,4.2911104175134655e-11
strong,Q1_Q12,10.5,5,7,2.167684787080898e-09
strong,Q1_Q12,10.5,5,8,7.588738411216749e-08
strong,Q1_Q12,10.5,5,9,1.6777293508789955e-06
strong,Q1_Q12,10.5,5,10,2.0380723177467693e-05
strong,Q1_Q12,10.5,5,11,0.000106638761108983
strong,Q1_Q12,10.5,5,12,0.0001243843531644669
strong,Q1_Q12,10.5,6,1,8.584959223981258e-08
strong,Q1_Q12,10.5,6,2,6.914889806345563e-08
strong,Q1_Q12,10.5,6,3,1.251422394915275e-08
strong,Q1_Q12,10.5,6,4,9.771510873072723e-10
