launch,time_ns,site,density
Q6,0.0,1,1.0625366841429545e-33
Q6,0.0,2,1.5941018233862545e-32
Q6,0.0,3,3.409232161540175e-33
Q6,0.0,4,1.394932041949901e-33
Q6,0.0,5,3.410823889093711e-37
Q6,0.0,6,1.0000000000000004
Q6,0.0,7,5.97989908972189e-33
Q6,0.0,8,2.5378166272532745e-36
Q6,0.0,9,1.8038820768536591e-34
Q6,0.0,10,1.261032065415751e-32
Q6,0.0,11,7.769748112693512e-35
Q6,0.5,1,5.148887482714335e-19
Q6,0.5,2,8.906523506605376e-15
Q6,0.5,3,9.699308376122982e-11
Q6,0.5,4,5.844668791966983e-07
Q6,0.5,5,0.0015397489613331401
Q6,0.5,6,0.9968945954666074
Q6,0.5,7,0.001564457747088243
Q6,0.5,8,6.131543023577581e-07
Q6,0.5,9,1.0677776369651348e-10
Q6,0.5,10,1.0458516552626128e-14
Q6,0.5,11,6.452488425390356e-19
Q6,1.0,1,5.265660743772355e-16
Q6,1.0,2,2.2759536153933868e-12
Q6,1.0,3,6.193438494601115e-09
Q6,1.0,4,9.322890363888813e-06
Q6,1.0,5,0.006130548308850822
Q6,1.0,6,0.9876217167534465
Q6,1.0,7,0.006228619147066738
Q6,1.0,8,9.779884103145237e-06
Q6,1.0,9,6.817781510437415e-09
Q6,1.0,10,2.672376455785083e-12
Q6,1.0,11,6.598525899661882e-16
Q6,1.5,1,3.0299201742610583e-14
Q6,1.5,2,5.8154752768300795e-11
Q6,1.5,3,7.027982874646192e-08
Q6,1.5,4,4.6956850498660345e-05
Q6,1.5,5,0.013687602507130118
Q6,1.5,6,0.9723106230427142
Q6,1.5,7,0.013905416295014184
Q6,1.5,8,4.925354233231507e-05
Q6,1.5,9,7.735598247326495e-08
Q6,1.5,10,6.827683021596346e-11
Q6,1.5,11,3.796578000111025e-14
Q6,2.0,1,5.364266607139363e-13
Q6,2.0,2,5.784460936717885e-10
Q6,2.0,3,3.9278409606105147e-07
Q6,2.0,4,0.00014734934326851587
Q6,2.0,5,0.024071398254416305
Q6,2.0,6,0.9511742754987227
Q6,2.0,7,0.02445161656136426
Q6,2.0,8,0.00015453403473931487
Q6,2.0,9,4.3226471266378793e-07
Q6,2.0,10,6.790260595043689e-10
Q6,2.0,11,6.720868550465526e-13
Q6,2.5,1,4.976547580644645e-12
Q6,2.5,2,3.4291476879996466e-09
Q6,2.5,3,1.4881378560685848e-06
Q6,2.5,4,0.00035644383392250534
Q6,2.5,5,0.03709038513336883
Q6,2.5,6,0.9245056802083411
Q6,2.5,7,0.037670603338730166
Q6,2.5,8,0.00037375449186649346
Q6,2.5,9,1.637390920978344e-06
Q6,2.5,10,4.024635931765142e-09
Q6,2.5,11,6.234245634718599e-12
Q6,3.0,1,3.0667890664605584e-11
Q6,3.0,2,1.4647176959846827e-08
Q6,3.0,3,4.406531501627151e-06
Q6,3.0,4,0.0007308435021435431
Q6,3.0,5,0.05250465286742538
Q6,3.0,6,0.8926728655842112
Q6,3.0,7,0.05331618980852062
Q6,3.0,8,0.0007661625024005374
Q6,3.0,9,4.8473008375321354e-06
Q6,3.0,10,1.7186703104238857e-08
Q6,3.0,11,3.841201818150834e-11
Q6,3.5,1,1.424689983531044e-10
Q6,3.5,2,4.987921092172641e-08
Q6,3.5,3,1.1002192178347316e-05
Q6,3.5,4,0.0013360462138541124
Q6,3.5,5,0.07003053141371507
Q6,3.5,6,0.8561125891766306
Q6,3.5,7,0.07109738844397506
Q6,3.5,8,0.0014002346486604225
Q6,3.5,9,1.2099199868062304e-05
Q6,3.5,10,5.851102963787181e-08
Q6,3.5,11,1.7840942600502168e-10
Q6,4.0,1,5.380632207028483e-10
Q6,4.0,2,1.4385296880892028e-07
Q6,4.0,3,2.423627660282932e-05
Q6,4.0,4,0.0022443794544827326
Q6,4.0,5,0.0893460216953333
Q6,4.0,6,0.8153228926780957
Q6,4.0,7,0.09068403968803251
Q6,4.0,8,0.0023514725387226106
Q6,4.0,9,2.6643910808301364e-05
Q6,4.0,10,1.6869324471217077e-07
Q6,4.0,11,6.736458421461738e-10
Q6,4.5,1,1.7345085678441968e-09
Q6,4.5,2,3.653201578965443e-07
Q6,4.5,3,4.850059881645028e-05
Q6,4.5,4,0.0035326871152979397
Q6,4.5,5,0.11009694825659581
Q6,4.5,6,0.7708546453698903
Q6,4.5,7,0.1117131859853413
Q6,4.5,8,0.003699936824619074
Q6,4.5,9,5.3298376842285855e-05
Q6,4.5,10,4.282469183673289e-07
Q6,4.5,11,2.1710125242729987e-09
Q6,5.0,1,4.9339326684912865e-09
Q6,5.0,2,8.38952825826177e-07
Q6,5.0,3,8.99469724940938e-05
Q6,5.0,4,0.005279826456259762
Q6,5.0,5,0.13190371085462946
Q6,5.0,6,0.7233022349277024
Q6,5.0,7,0.13379606246646764
Q6,5.0,8,0.005527582631446632
Q6,5.0,9,9.880256866473843e-05
Q6,5.0,10,9.830617673716498e-07
Q6,5.0,11,6.173809863142897e-09
Q6,5.5,1,1.2681928819457666e-08
Q6,5.5,2,1.7756221697804208e-06
Q6,5.5,3,0.0001568059877433058
Q6,5.5,4,0.00756403862233983
Q6,5.5,5,0.15436850027169502
Q6,5.5,6,0.673293580005978
Q6,5.5,7,0.1565255633868559
Q6,5.5,8,0.007915465229362657
Q6,5.5,9,0.0001721626447719645
Q6,5.5,10,2.0796833986473067e-06
Q6,5.5,11,1.5863756577136527e-08
Q6,6.0,1,2.997498051488305e-08
Q6,6.0,2,3.512336686314973e-06
Q6,6.0,3,0.0002596785996291968
Q6,6.0,4,0.010460259643853975
Q6,6.0,5,0.17708283468352407
Q6,6.0,6,0.6214796510568379
Q6,6.0,7,0.17948403416380063
Q6,6.0,8,0.010940888526551507
Q6,6.0,9,0.00028496178110531137
Q6,6.0,10,4.1117506814797056e-06
Q6,6.0,11,3.748234963248606e-08
Q6,6.5,1,6.602220392043072e-08
Q6,6.5,2,6.562864469802671e-06
Q6,6.5,3,0.0004117840018728574
Q6,6.5,4,0.014037440818134564
Q6,6.5,5,0.19963526692946354
Q6,6.5,6,0.5685236941787938
Q6,6.5,7,0.20225123271938011
Q6,6.5,8,0.014674570952693722
Q6,6.5,9,0.0004516202744593417
Q6,6.5,10,7.678712395957636e-06
Q6,6.5,11,8.252613289734832e-08
Q6,7.0,1,1.3692041233541062e-07
Q6,7.0,2,1.1679715985597976e-05
Q6,7.0,3,0.0006291479012617546
Q6,7.0,4,0.018355947699638067
Q6,7.0,5,0.22161911011759797
Q6,7.0,6,0.5150903572792535
Q6,7.0,7,0.22441230094712186
Q6,7.0,8,0.019177903486978804
Q6,7.0,9,0.0006895873392953625
Q6,7.0,10,1.3657516259239997e-05
Q6,7.0,11,1.710761961005577e-07
Q6,7.5,1,2.695580226054446e-07
Q6,7.5,2,1.9927726192577955e-05
Q6,7.5,3,0.000930716487970038
Q6,7.5,4,0.023465105606022905
Q6,7.5,5,0.24264002921463565
Q6,7.5,6,0.4618349183981543
Q6,7.5,7,0.24556558752715466
Q6,7.5,8,0.024500372952627053
Q6,7.5,9,0.001019448447683417
Q6,7.5,10,2.3287430618296916e-05
Q6,7.5,11,3.3665091902147095e-07
Q6,8.0,1,5.071202199582608e-07
Q6,8.0,2,3.276895970751667e-05
Q6,8.0,3,0.001338383090713876
Q6,8.0,4,0.029400956604740864
Q6,8.0,5,0.2623233496026808
Q6,8.0,6,0.4093928126837724
Q6,8.0,7,0.2653301670007209
Q6,8.0,8,0.030677220284484503
Q6,8.0,9,0.0014649340769903243
Q6,8.0,10,3.8267536511209616e-05
Q6,8.0,11,6.330394582154441e-07
Q6,8.5,1,9.166222488144968e-07
Q6,8.5,2,5.215808457834682e-05
Q6,8.5,3,0.0018769166752487416
Q6,8.5,4,0.036184288441822844
Q6,8.5,5,0.28032093995412216
Q6,8.5,6,0.3583696473217297
Q6,8.5,7,0.2833529068925869
Q6,8.5,8,0.03772739835296713
Q6,8.5,9,0.0020528182823439027
Q6,8.5,10,6.0865734245671697e-05
Q6,8.5,11,1.1436381062786153e-06
Q6,9.0,1,1.5989465552616775e-06
Q6,9.0,2,8.064673713046939e-05
Q6,9.0,3,0.0025737839380912462
Q6,9.0,4,0.04381898991161391
Q6,9.0,5,0.29631753603919514
Q6,9.0,6,0.3093318828584695
Q6,9.0,7,0.29931494458402935
Q6,9.0,8,0.04565188721235827
Q6,9.0,9,0.0028126985373938965
Q6,9.0,10,9.403736675008091e-05
Q6,9.0,11,1.99386841356813e-06
Q6,9.5,1,2.7018994041893443e-06
Q6,9.5,2,0.0001214947529339635
Q6,9.5,3,0.003458859699840268
Q6,9.5,4,0.052290779877026274
Q6,9.5,5,0.3100363840353447
Q6,9.5,6,0.26279834506937944
Q6,9.5,7,0.3129374483706166
Q6,9.5,8,0.05443241648792003
Q6,9.5,9,0.0037766517094200746
Q6,9.5,10,0.00014155079753755732
Q6,9.5,11,3.367300577632977e-06
Q6,10.0,1,4.436830058009742e-06
Q6,10.0,2,0.00017878548999655526
Q6,10.0,3,0.004564023538354346
Q6,10.0,4,0.061566348699211626
Q6,10.0,5,0.32124409629442846
Q6,10.0,6,0.21923271410686668
Q6,10.0,7,0.32398655240976904
Q6,10.0,8,0.06403063521244116
Q6,10.0,9,0.004978764762718126
Q6,10.0,10,0.0002081165224465676
Q6,10.0,11,5.526133710007296e-06
Q6,10.5,1,7.099367184270346e-06
Q6,10.5,2,0.00025754184406910196
Q6,10.5,3,0.005922644036406788
Q6,10.5,4,0.07159294141540759
Q6,10.5,5,0.32975462903390385
Q6,10.5,6,0.17903711749500625
Q6,10.5,7,0.3322773727419062
Q6,10.5,8,0.07438775898660069
Q6,10.5,9,0.006454542716387904
Q6,10.5,10,0.00029951567123752106
Q6,10.5,11,8.836691890494784e-06
Q6,11.0,1,1.1094819563149636e-05
Q6,11.0,2,0.0003638389774510962
Q6,11.0,3,0.0075689555593200925
Q6,11.0,4,0.08229840182895994
Q6,11.0,5,0.3354323096987404
Q6,11.0,6,0.1425469310393796
Q6,11.0,7,0.3376770308790453
Q6,11.0,8,0.08542471311164189
Q6,11.0,9,0.008240200410371573
Q6,11.0,10,0.0004227230981547053
Q6,11.0,11,1.380057737270489e-05
Q6,11.5,1,1.6968758394915113e-05
Q6,11.5,2,0.0005049092768729056
Q6,11.5,3,0.00953733602877691
Q6,11.5,4,0.09359168597899599
Q6,11.5,5,0.33819386140333807
Q6,11.5,6,0.11002686736323658
Q6,11.5,7,0.34010663218170856
Q6,11.5,8,0.09704277858931386
Q6,11.5,9,0.010371848643142539
Q6,11.5,10,0.0005860196999219527
Q6,11.5,11,2.1092076298409628e-05
Q6,12.0,1,2.544324399655999e-05
Q6,12.0,2,0.0006892346470627833
Q6,12.0,3,0.011861497620555996
Q6,12.0,4,0.10536384248442095
Q6,12.0,5,0.33800939249115036
Q6,12.0,6,0.0816684060693418
Q6,12.0,7,0.3395421679462379
Q6,12.0,8,0.10912473587798212
Q6,12.0,9,0.012884589120209943
Q6,12.0,10,0.0007990881642356652
Q6,12.0,11,3.160233480627973e-05
Q6,12.5,1,3.745907842550329e-05
Q6,12.5,2,0.0009266209570244916
Q6,12.5,3,0.01457360558768329
Q6,12.5,4,0.11748944626036925
Q6,12.5,5,0.33490234040947126
Q6,12.5,6,0.05758859299065463
Q6,12.5,7,0.3360143323386326
Q6,12.5,8,0.12153648931711282
Q6,12.5,9,0.015811536280117416
Q6,12.5,10,0.0010730860682569296
Q6,12.5,11,4.649071225234801e-05
Q6,13.0,1,5.4224356263081124e-05
Q6,13.0,2,0.0012282493060183713
Q6,13.0,3,0.017703343400635355
Q6,13.0,4,0.12982846133878678
Q6,13.0,5,0.32894838034412893
Q6,13.0,6,0.037830209175618384
Q6,13.0,7,0.3296072675675321
Q6,13.0,8,0.13412914346702703
Q6,13.0,9,0.019182787333664433
Q6,13.0,10,0.001420690138232112
Q6,13.0,11,6.724357209393926e-05
Q6,13.5,1,7.726944791396443e-05
Q6,13.5,2,0.0016066987828054957
Q6,13.5,3,0.021276945012411116
Q6,13.5,4,0.1422284982377349
Q6,13.5,5,0.3202733299502281
Q6,13.5,6,0.022363283700601908
Q6,13.5,7,0.32045627251908204
Q6,13.5,8,0.146741491532544
Q6,13.5,9,0.023024364659711354
Q6,13.5,10,0.0018561055673801564
Q6,13.5,11,9.57405895875293e-05
