time_ns,site_i,site_j,connected_z,concurrence
55.5,1,1,0.4968880099167462,0.0
55.5,1,2,-0.141277675473559,0.36560888543069586
55.5,1,3,-0.003382084353422516,0.02323584587736357
55.5,1,4,-0.00022461439855709373,0.007854109815748956
55.5,1,5,-0.054677469299479926,0.213517754727489
55.5,1,6,-0.0023570205077728507,0.043079537533189334
55.5,1,7,-0.05790142927130909,0.20748827233182215
55.5,1,8,-7.83457125679946e-05,0.013298668124750388
55.5,1,9,-0.0006857065069457301,0.051603786461169324
55.5,1,10,-0.1697675886931884,0.33352325614763956
55.5,1,11,-0.06653607569994381,0.25794587746258674
55.5,2,1,-0.141277675473559,0.36560888543069586
55.5,2,2,0.7358017358506863,0.0
55.5,2,3,-0.005654308459519595,0.03711566839671249
55.5,2,4,-0.0003755196385347571,0.0125457251270845
55.5,2,5,-0.09141205389874829,0.34106157456468966
55.5,2,6,-0.0039405643395246945,0.06881289530859142
55.5,2,7,-0.09680200347922491,0.3314304094079522
55.5,2,8,-0.000130981601594891,0.021242564563445553
55.5,2,9,-0.0011463924898997056,0.08242906397366931
55.5,2,10,-0.28382447407875694,0.5327517940643249
55.5,2,11,-0.11123776239132399,0.4120286260603605
55.5,3,1,-0.003382084353422516,0.02323584587736357
55.5,3,2,-0.005654308459519595,0.03711566839671249
55.5,3,3,0.02313350452920249,0.0
55.5,3,4,-8.989665845181442e-06,0.0007973289137360451
55.5,3,5,-0.002188337797665946,0.02167577019344157
55.5,3,6,-9.433423187130153e-05,0.0043733232245764826
55.5,3,7,-0.0023173692534905286,0.021063672735969336
55.5,3,8,-3.135603865617191e-06,0.0013500463908438832
55.5,3,9,-2.7443798816583134e-05,0.005238682927662557
55.5,3,10,-0.006794550587575269,0.03385841830180059
55.5,3,11,-0.0026629507771299622,0.026185998299582357
55.5,4,1,-0.00022461439855709373,0.007854109815748956
55.5,4,2,-0.0003755196385347571,0.0125457251270845
55.5,4,3,-8.989665845181442e-06,0.0007973289137360451
55.5,4,4,0.0015447582792747618,0.0
55.5,4,5,-0.0001453340978219787,0.0073267777871637635
55.5,4,6,-6.265020189007315e-06,0.0014782573893318645
55.5,4,7,-0.00015390346505720333,0.007119878469863199
55.5,4,8,-2.0824488770547133e-07,0.0004563385669713566
55.5,4,9,-1.822625257430595e-06,0.0017707636391165228
55.5,4,10,-0.0004512465492321527,0.011444719375978208
55.5,4,11,-0.00017685457389225202,0.008851311347365123
55.5,5,1,-0.054677469299479926,0.213517754727489
55.5,5,2,-0.09141205389874829,0.34106157456468966
55.5,5,3,-0.002188337797665946,0.02167577019344157
55.5,5,4,-0.0001453340978219787,0.0073267777871637635
55.5,5,5,0.34080458483986587,0.0
55.5,5,6,-0.0015250823243995945,0.04018713846431759
55.5,5,7,-0.03746443700762947,0.19355732227851644
55.5,5,8,-5.0692669425621525e-05,0.0124057835325788
55.5,5,9,-0.00044367830912801797,0.04813906161830046
55.5,5,10,-0.1098461162803228,0.3111302034184803
55.5,5,11,-0.04305138315524439,0.24062715821641809
55.5,6,1,-0.0023570205077728507,0.043079537533189334
55.5,6,2,-0.0039405643395246945,0.06881289530859142
55.5,6,3,-9.433423187130153e-05,0.0043733232245764826
55.5,6,4,-6.265020189007315e-06,0.0014782573893318645
55.5,6,5,-0.0015250823243995945,0.04018713846431759
55.5,6,6,0.01615064483746804,0.0
55.5,6,7,-0.0016150060979502339,0.03905230242123497
55.5,6,8,-2.1852449091142593e-06,0.0025030022351183218
55.5,6,9,-1.9125956026620046e-05,0.009712581112727015
55.5,6,10,-0.004735214560751163,0.06277391448304538
55.5,6,11,-0.0018558465540734685,0.048549155582490316
55.5,7,1,-0.05790142927130909,0.20748827233182215
55.5,7,2,-0.09680200347922491,0.3314304094079522
55.5,7,3,-0.0023173692534905286,0.021063672735969336
55.5,7,4,-0.00015390346505720333,0.007119878469863199
55.5,7,5,-0.03746443700762947,0.19355732227851644
55.5,7,6,-0.0016150060979502339,0.03905230242123497
55.5,7,7,0.3586904984892962,0.0
55.5,7,8,-5.3681672742476327e-05,0.012055459253880737
55.5,7,9,-0.00046983901347889,0.046779672911061984
55.5,7,10,-0.11632299764454536,0.3023442638760463
55.5,7,11,-0.045589831583868146,0.233832139150032
55.5,8,1,-7.83457125679946e-05,0.013298668124750388
55.5,8,2,-0.000130981601594891,0.021242564563445553
55.5,8,3,-3.135603865617191e-06,0.0013500463908438832
55.5,8,4,-2.0824488770547133e-07,0.0004563385669713566
55.5,8,5,-5.0692669425621525e-05,0.0124057835325788
55.5,8,6,-2.1852449091142593e-06,0.0025030022351183218
55.5,8,7,-5.3681672742476327e-05,0.012055459253880737
55.5,8,8,0.0005389487433523031,0.0
55.5,8,9,-6.357333966795017e-07,0.002998277146159348
55.5,8,10,-0.0001573952189643594,0.01937832909553239
55.5,8,11,-6.168704099784411e-05,0.01498714110686537
55.5,9,1,-0.0006857065069457301,0.051603786461169324
55.5,9,2,-0.0011463924898997056,0.08242906397366931
55.5,9,3,-2.7443798816583134e-05,0.005238682927662557
55.5,9,4,-1.822625257430595e-06,0.0017707636391165228
55.5,9,5,-0.00044367830912801797,0.04813906161830046
55.5,9,6,-1.9125956026620046e-05,0.009712581112727015
55.5,9,7,-0.00046983901347889,0.046779672911061984
55.5,9,8,-6.357333966795017e-07,0.002998277146159348
55.5,9,9,0.004712121807120971,0.0
55.5,9,10,-0.0013775728405347224,0.07519513587672806
55.5,9,11,-0.0005399045336365936,0.05815569063662228
55.5,10,1,-0.1697675886931884,0.33352325614763956
55.5,10,2,-0.28382447407875694,0.5327517940643249
55.5,10,3,-0.006794550587575269,0.03385841830180059
55.5,10,4,-0.0004512465492321527,0.011444719375978208
55.5,10,5,-0.1098461162803228,0.3111302034184803
55.5,10,6,-0.004735214560751163,0.06277391448304538
55.5,10,7,-0.11632299764454536,0.3023442638760463
55.5,10,8,-0.0001573952189643594,0.01937832909553239
55.5,10,9,-0.0013775728405347224,0.07519513587672806
55.5,10,10,0.8269470135597463,0.0
55.5,10,11,-0.13366985710587573,0.3758692265583324
55.5,11,1,-0.06653607569994381,0.25794587746258674
55.5,11,2,-0.11123776239132399,0.4120286260603605
55.5,11,3,-0.0026629507771299622,0.026185998299582357
55.5,11,4,-0.00017685457389225202,0.008851311347365123
55.5,11,5,-0.04305138315524439,0.24062715821641809
55.5,11,6,-0.0018558465540734685,0.048549155582490316
55.5,11,7,-0.045589831583868146,0.233832139150032
55.5,11,8,-6.168704099784411e-05,0.01498714110686537
55.5,11,9,-0.0005399045336365936,0.05815569063662228
55.5,11,10,-0.13366985710587573,0.3758692265583324
55.5,11,11,0.405382153415986,0.0
