time_ns,site,density,entropy_nats,rms_distance_sites
0.0,1,1.0625366841429545e-33,8.173526139373184e-32,7.2746407421227165e-16
0.0,2,1.5941018233862545e-32,1.1830851852063773e-30,7.2746407421227165e-16
0.0,3,3.409232161540175e-33,2.5827940898980753e-31,7.2746407421227165e-16
0.0,4,1.394932041949901e-33,1.0692497585450208e-31,7.2746407421227165e-16
0.0,5,3.410823889093711e-37,2.8981325326092365e-35,7.2746407421227165e-16
0.0,6,1.0000000000000004,0.0,7.2746407421227165e-16
0.0,7,5.97989908972189e-33,4.49669900025625e-31,7.2746407421227165e-16
0.0,8,2.5378166272532745e-36,2.105417320051243e-34,7.2746407421227165e-16
0.0,9,1.8038820768536591e-34,1.4196182529612076e-32,7.2746407421227165e-16
0.0,10,1.261032065415751e-32,9.388483662624658e-31,7.2746407421227165e-16
0.0,11,7.769748112693512e-35,6.180076335769518e-33,7.2746407421227165e-16
0.5,1,5.148887482714335e-19,2.219702699122551e-17,0.055758398716203264
0.5,2,8.906523506605376e-15,2.97050304377536e-13,0.055758398716203264
0.5,3,9.699308376122982e-11,2.3333026201328927e-09,0.055758398716203264
0.5,4,5.844668791966983e-07,8.973066004883495e-06,0.055758398716203264
0.5,5,0.0015397489613331401,0.01151018644596701,0.055758398716203264
0.5,6,0.9968945954666074,0.02103308183680965,0.055758398716203264
0.5,7,0.001564457747088243,0.011669968317388488,0.055758398716203264
0.5,8,6.131543023577581e-07,9.384111324858022e-06,0.055758398716203264
0.5,9,1.0677776369651348e-10,2.5584241993743157e-09,0.055758398716203264
0.5,10,1.0458516552626128e-14,3.4713238553051883e-13,0.055758398716203264
0.5,11,6.452488425390356e-19,2.7671271361139347e-17,0.055758398716203264
1.0,1,5.265660743772355e-16,1.9051242111199526e-14,0.1115154506513276
1.0,2,2.2759536153933868e-12,6.329113373392202e-11,0.1115154506513276
1.0,3,6.193438494601115e-09,1.2324803505526052e-07,0.1115154506513276
1.0,4,9.322890363888813e-06,0.00011731023888491466,0.1115154506513276
1.0,5,0.006130548308850822,0.03734361908028812,0.1115154506513276
1.0,6,0.9876217167534465,0.06666444332321293,0.1115154506513276
1.0,7,0.006228619147066738,0.03784184993914113,0.1115154506513276
1.0,8,9.779884103145237e-06,0.00012259258838895784,0.1115154506513276
1.0,9,6.817781510437415e-09,1.3501751586505052e-07,0.1115154506513276
1.0,10,2.672376455785083e-12,7.388600583481821e-11,0.1115154506513276
1.0,11,6.598525899661882e-16,2.3724679983850782e-14,0.1115154506513276
1.5,1,3.0299201742610583e-14,9.73442301206453e-13,0.16726981532954813
1.5,2,5.8154752768300795e-11,1.4287409360542104e-09,0.16726981532954813
1.5,3,7.027982874646192e-08,1.2278434950056004e-06,0.16726981532954813
1.5,4,4.6956850498660345e-05,0.0005149409361982634,0.16726981532954813
1.5,5,0.013687602507130118,0.07233062352358362,0.16726981532954813
1.5,6,0.9723106230427142,0.1266161048226151,0.16726981532954813
1.5,7,0.013905416295014184,0.07326057022919001,0.16726981532954813
1.5,8,4.925354233231507e-05,0.0005377750305030463,0.16726981532954813
1.5,9,7.735598247326495e-08,1.3440484281846435e-06,0.16726981532954813
1.5,10,6.827683021596346e-11,1.6664633635130627e-09,0.16726981532954813
1.5,11,3.796578000111025e-14,1.2111877748288315e-12,0.16726981532954813
2.0,1,5.364266607139363e-13,1.5692543213397735e-11,0.22302016482116074
2.0,2,5.784460936717885e-10,1.288238539465287e-08,0.22302016482116074
2.0,3,3.9278409606105147e-07,6.186351694302437e-06,0.22302016482116074
2.0,4,0.00014734934326851587,0.001447358172123864,0.22302016482116074
2.0,5,0.024071398254416305,0.11348695372294561,0.22302016482116074
2.0,6,0.9511742754987227,0.19504303688081345,0.22302016482116074
2.0,7,0.02445161656136426,0.11489159946235239,0.22302016482116074
2.0,8,0.00015453403473931487,0.001510573114181934,0.22302016482116074
2.0,9,4.3226471266378793e-07,6.7667701347264e-06,0.22302016482116074
2.0,10,6.790260595043689e-10,1.5013511717933252e-08,0.22302016482116074
2.0,11,6.720868550465526e-13,1.9509598545175907e-11,0.22302016482116074
2.5,1,4.976547580644645e-12,1.3449759184808694e-10,0.2787651898552905
2.5,2,3.4291476879996466e-09,7.026650785084587e-08,0.2787651898552905
