time_ns,site,probability_n_eq_2
3.5,10,5.210116675747515e-13
3.5,11,8.677617244877699e-18
3.5,12,6.303774453579588e-23
4.0,1,6.471115050459114e-22
4.0,2,5.985819750422442e-17
4.0,3,2.0590688125880076e-12
4.0,4,2.5221896735189932e-08
4.0,5,4.1836474777784135e-05
4.0,6,0.00854190427792476
4.0,7,0.0001912474392212685
4.0,8,4.259131081779078e-05
4.0,9,2.1544377432271312e-08
4.0,10,2.386470273658684e-12
4.0,11,7.168512176188083e-17
4.0,12,9.409718806462325e-22
4.5,1,6.622773950860814e-21
4.5,2,3.6795948796577845e-16
4.5,3,7.234014643042148e-12
4.5,4,5.053308793961714e-08
4.5,5,3.521590646355881e-05
4.5,6,0.002175195208639312
4.5,7,0.003408886849368355
4.5,8,3.690196259103356e-05
4.5,9,3.931612124062888e-08
4.5,10,8.27335879744349e-12
4.5,11,4.261327724663213e-16
4.5,12,9.599142209375872e-21
5.0,1,4.981549304843366e-20
5.0,2,1.7359915697151638e-15
5.0,3,2.0121097587135714e-11
5.0,4,8.229404307937508e-08
5.0,5,2.0236452821754767e-05
5.0,6,0.0003096851764963042
5.0,7,0.009357920129535109
5.0,8,2.4940796544496488e-05
5.0,9,5.6816732776077135e-08
5.0,10,2.2677778233443988e-11
5.0,11,1.932012341784563e-15
5.0,12,7.196715818526199e-20
5.5,1,2.9011100253756324e-19
5.5,2,6.560636865029587e-15
5.5,3,4.5769137822581075e-11
5.5,4,1.1188733847462297e-07
5.5,5,9.824002303721292e-06
5.5,6,0.0030454422391063196
5.5,7,0.014172177376714319
5.5,8,2.116041214206144e-05
5.5,9,6.756595472057698e-08
5.5,10,5.0880943210407016e-11
5.5,11,6.970460258099972e-15
5.5,12,4.1788353854771146e-19
6.0,1,1.3610005879488315e-18
6.0,2,2.055374883470159e-14
6.0,3,8.798658848280126e-11
6.0,4,1.3516499738501128e-07
6.0,5,2.0639370073835387e-05
6.0,6,0.008657509843528899
6.0,7,0.014986653043244475
6.0,8,4.296630906458106e-05
6.0,9,7.688089354930844e-08
6.0,10,9.717087592459117e-11
6.0,11,2.072946685218917e-14
6.0,12,1.956634181104161e-18
6.5,1,5.315078870918718e-18
6.5,2,5.5137889919975344e-14
6.5,3,1.5043210568765798e-10
6.5,4,1.7072607631976076e-07
6.5,5,6.197370639856391e-05
6.5,6,0.01447806492867812
6.5,7,0.011589149600979745
6.5,8,9.861816956597501e-05
6.5,9,1.1688089833136012e-07
6.5,10,1.6851393426247496e-10
6.5,11,5.270815230033732e-14
6.5,12,7.643132067992196e-18
7.0,1,1.7819293553490613e-17
7.0,2,1.314900845250168e-13
7.0,3,2.5061261259523127e-10
7.0,4,2.7617302358772553e-07
7.0,5,0.0001264106894718597
7.0,6,0.01807382257546263
7.0,7,0.0062933975690525595
7.0,8,0.00017766667164259025
7.0,9,2.4812918222195994e-07
7.0,10,2.95175815072388e-10
7.0,11,1.202536120475493e-13
7.0,12,2.573447945708062e-17
7.5,1,5.3015663751996706e-17
7.5,2,2.925191443929763e-13
7.5,3,4.5547990538125644e-10
7.5,4,5.440438026174157e-07
7.5,5,0.00018984442788370426
7.5,6,0.018196379918184815
7.5,7,0.002274717772042385
7.5,8,0.0002520429511020232
7.5,9,5.336511578715555e-07
7.5,10,5.761367551005866e-10
7.5,11,2.630329866473346e-13
7.5,12,7.738836292194103e-17
8.0,1,1.4544960714992313e-16
8.0,2,6.412507623258487e-13
8.0,3,9.324232797210841e-10
8.0,4,1.064956280076143e-06
8.0,5,0.00022318757821904075
8.0,6,0.015135360433138722
8.0,7,0.0015576965440796627
8.0,8,0.00028988308810019413
8.0,9,9.904672517658099e-07
8.0,10,1.2367672899793484e-09
8.0,11,5.896267892728963e-13
8.0,12,2.163577583277487e-16
8.5,1,3.8327683172623505e-16
8.5,2,1.4397034918735113e-12
8.5,3,1.983850750227776e-09
8.5,4,1.8677805830495596e-06
8.5,5,0.00021000855205744292
8.5,6,0.010398268429843205
8.5,7,0.003946129307496033
8.5,8,0.00027521707942641924
8.5,9,1.5519995872922012e-06
8.5,10,2.657174326928807e-09
8.5,11,1.3858701252397021e-12
8.5,12,5.849918548023572e-16
9.0,1,1.0010009922688451e-15
9.0,2,3.307364012917812e-12
9.0,3,4.019627320407835e-09
9.0,4,2.87407119395998e-06
9.0,5,0.0001590416381586485
9.0,6,0.005933911359364594
9.0,7,0.007450541648435533
9.0,8,0.00022105382374920416
9.0,9,2.086940365903361e-06
9.0,10,5.3229863135187175e-09
9.0,11,3.3017593938350394e-12
9.0,12,1.5697383086374907e-15
9.5,1,2.6141332632992454e-15
9.5,2,7.535311077526121e-12
9.5,3,7.451410268710062e-09
9.5,4,3.9141592184780584e-06
9.5,5,0.00010235194744018922
9.5,6,0.003282130813090598
9.5,7,0.009756399734663683
9.5,8,0.0001658559625765328
9.5,9,2.493723249882913e-06
9.5,10,9.702439482403959e-09
9.5,11,7.592927369178323e-12
9.5,12,4.19016946167356e-15
10.0,1,6.739389372028779e-15
10.0,2,1.6484933353007177e-11
10.0,3,1.2576231094630301e-08
10.0,4,4.827116813374139e-06
10.0,5,7.850099852112665e-05
10.0,6,0.0030152047272278167
10.0,7,0.009673367756286832
10.0,8,0.00015328818837783803
10.0,9,2.8289396638018193e-06
10.0,10,1.616268991386048e-08
10.0,11,1.636035613384827e-11
10.0,12,1.0956850913493342e-14
10.5,1,1.681224589071931e-14
10.5,2,3.4023696734715905e-11
10.5,3,1.9607999209940728e-08
10.5,4,5.6105145822449675e-06
10.5,5,0.0001100106500753483
10.5,6,0.004665032611345633
10.5,7,0.007659437751361551
10.5,8,0.00020632366086405427
10.5,9,3.373476744127724e-06
10.5,10,2.5129104202583232e-08
10.5,11,3.279787304385198e-11
10.5,12,2.7561323701544757e-14
11.0,1,4.000281840501031e-14
11.0,2,6.606366707192875e-11
11.0,3,2.901886635234119e-08
11.0,4,6.530793336449218e-06
11.0,5,0.00018895344425403778
11.0,6,0.007097160051971058
11.0,7,0.005233340183008359
11.0,8,0.00031162553171021904
11.0,9,4.54609990001214e-06
11.0,10,3.763930380897339e-08
11.0,11,6.170170031346428e-11
11.0,12,6.596321323000492e-14
11.5,1,9.034420909144487e-14
11.5,2,1.2157668531342375e-10
11.5,3,4.218785309524609e-08
11.5,4,8.095416131839885e-06
11.5,5,0.0002801134542139163
11.5,6,0.009105772802056772
11.5,7,0.0038309763639376845
11.5,8,0.00042472953786446726
11.5,9,6.663149072725148e-06
11.5,10,5.6178009584354036e-08
11.5,11,1.1085636216244001e-10
11.5,12,1.499104424621595e-13
12.0,1,1.9426865705088233e-13
12.0,2,2.148645749101769e-10
12.0,3,6.205754906425894e-08
12.0,4,1.084846777996285e-05
12.0,5,0.00034035953221691793
12.0,6,0.009938710942687166
12.0,7,0.003933699713686011
12.0,8,0.0004939071972523234
12.0,9,9.671767273253097e-06
12.0,10,8.530488016083015e-08
12.0,11,1.9408069767147187e-10
12.0,12,3.2507242172946825e-13
12.5,1,4.0091600848808345e-13
12.5,2,3.700324661887005e-10
12.5,3,9.326819933968653e-08
12.5,4,1.5061364435642827e-05
12.5,5,0.0003426490012504969
12.5,6,0.009532650035537755
12.5,7,0.004981967123111337
12.5,8,0.00048877397841664
12.5,9,1.3057290343462569e-05
12.5,10,1.314073857158442e-07
12.5,11,3.362717356370612e-10
12.5,12,6.782649782682788e-13
13.0,1,8.016766254168462e-13
13.0,2,6.281296431023566e-10
13.0,3,1.4134046347201144e-07
13.0,4,2.048584037273489e-05
13.0,5,0.0002902070290824224
13.0,6,0.008398768992768169
13.0,7,0.0059813017712310595
13.0,8,0.0004165389262352957
13.0,9,1.6060690866792785e-05
13.0,10,2.0124670860664293e-07
13.0,11,5.79603853432771e-10
13.0,12,1.3738621716357038e-12
13.5,1,1.5659868624757071e-12
13.5,2,1.0561760233392264e-09
13.5,3,2.1103556003169193e-07
13.5,4,2.6345713181886075e-05
13.5,5,0.00021279100825069376
13.5,6,0.007266440602766223
13.5,7,0.00626140241744895
13.5,8,0.00031645691593963664
13.5,9,1.814520493038328e-05
13.5,10,2.9984689721818816e-07
13.5,11,9.88798483790944e-10
13.5,12,2.719836562085894e-12
14.0,1,3.0025184672697923e-12
14.0,2,1.7559074268745883e-09
14.0,3,3.048065106844604e-07
14.0,4,3.1637850788316644e-05
14.0,5,0.00014825492214925578
14.0,6,0.006689507265979956
14.0,7,0.005843657089886887
14.0,8,0.00023654747395206145
14.0,9,1.943964954836259e-05
14.0,10,4.292288241878673e-07
14.0,11,1.6535277907445666e-09
14.0,12,5.279777449496563e-12
14.5,1,5.655958529487103e-12
14.5,2,2.869902460442756e-09
14.5,3,4.2270324445738266e-07
14.5,4,3.5634960581224655e-05
14.5,5,0.0001213915963181676
14.5,6,0.006808909132784258
14.5,7,0.005243271314118452
14.5,8,0.00020719348529220775
14.5,9,2.0823533897934266e-05
14.5,10,5.896786460845115e-07
14.5,11,2.6888159186373414e-09
14.5,12,1.0050347772693147e-11
15.0,1,1.0450723017450411e-11
15.0,2,4.585089332627036e-09
15.0,3,5.64638628005183e-07
15.0,4,3.83346500354193e-05
15.0,5,0.00013271866299234674
15.0,6,0.007363268071492984
15.0,7,0.004962023722861007
15.0,8,0.0002271924513094155
15.0,9,2.349592930236921e-05
15.0,10,7.84052502364876e-07
15.0,11,4.239183263434731e-09
15.0,12,1.8728729985065567e-11
15.5,1,1.8898358404513288e-11
15.5,2,7.138323646100295e-09
15.5,3,7.344855840270626e-07
15.5,4,4.058146872068861e-05
15.5,5,0.00016256255795532581
15.5,6,0.00790431543058938
15.5,7,0.005102901150333129
15.5,8,0.0002690863226720214
15.5,9,2.8210874409178432e-05
15.5,10,1.0233364473233584e-06
15.5,11,6.495846005405161e-09
15.5,12,3.410892052180183e-11
16.0,1,3.3401234557126496e-11
16.0,2,1.083319069309707e-08
16.0,3,9.437693892294072e-07
16.0,4,4.3734399236692776e-05
16.0,5,0.0001858339867096808
16.0,6,0.00807647894193627
16.0,7,0.005371950045444984
16.0,8,0.0002983527224652056
16.0,9,3.464627185342567e-05
16.0,10,1.3296821299310097e-06
16.0,11,9.733614583860334e-09
16.0,12,6.0678409343253e-11
16.5,1,5.77150887629625e-11
16.5,2,1.607704238015307e-08
16.5,3,1.2119930166233257e-06
16.5,4,4.899570128094563e-05
16.5,5,0.00018696989784261085
16.5,6,0.007804824304648416
16.5,7,0.00539784927014481
16.5,8,0.00029336732468808474
16.5,9,4.1375025992440516e-05
16.5,10,1.7332293684134774e-06
16.5,11,1.4362761703885187e-08
16.5,12,1.0554119474495031e-10
17.0,1,9.767188387761489e-11
17.0,2,2.3439175313226764e-08
17.0,3,1.561866402607323e-06
17.0,4,5.672361894579399e-05
17.0,5,0.00016605632306688635
17.0,6,0.007302559282010136
17.0,7,0.005067811119038131
17.0,8,0.00025438597362630066
17.0,9,4.656882891050972e-05
17.0,10,2.2620943070335058e-06
17.0,11,2.097544117288427e-08
17.0,12,1.7985774925119076e-10
17.5,1,1.6229558725840105e-10
17.5,2,3.371639030420848e-08
17.5,3,2.010716897049279e-06
17.5,4,6.609559647098226e-05
17.5,5,0.00013423821569211175
17.5,6,0.006915744607132589
17.5,7,0.004608572177600206
17.5,8,0.00019828844042003838
17.5,9,4.907281116094706e-05
17.5,10,2.9297833346782106e-06
17.5,11,3.035804138100009e-08
17.5,12,3.010398843107009e-10
18.0,1,2.6544606047505223e-10
18.0,2,4.797888255945255e-08
18.0,3,2.562510478103042e-06
18.0,4,7.533159331805742e-05
18.0,5,0.00010373338828471518
18.0,6,0.00690884621205947
18.0,7,0.004376067316162356
18.0,8,0.00014511636106649318
18.0,9,4.9175616285494875e-05
18.0,10,3.7278969672979574e-06
18.0,11,4.3452907818247445e-08
18.0,12,4.959405270535656e-10
18.5,1,4.280942351647107e-10
18.5,2,6.756906185193394e-08
18.5,3,3.205921005942182e-06
18.5,4,8.240548256691856e-05
18.5,5,8.022957546725675e-05
18.5,6,0.007316237996911065
18.5,7,0.00455211963903392
18.5,8,0.00010638258230184994
18.5,9,4.851758836453911e-05
18.5,10,4.6310453553042675e-06
18.5,11,6.128722810696849e-08
18.5,12,8.052382567286086e-10
19.0,1,6.812941080631704e-10
19.0,2,9.404599003098429e-08
19.0,3,3.92134082211938e-06
19.0,4,8.59172162640178e-05
19.0,5,6.217589479011309e-05
19.0,6,0.007936022342307671
19.0,7,0.005000409382617479
19.0,8,8.193085175084153e-05
19.0,9,4.910420858209054e-05
19.0,10,5.614484973867073e-06
19.0,11,8.492621984324703e-08
19.0,12,1.2891949990411214e-09
19.5,1,1.0699394593205408e-09
19.5,2,1.2910366665166847e-07
19.5,3,4.694432129138188e-06
19.5,4,8.570805310712457e-05
19.5,5,4.564337044488551e-05
19.5,6,0.008456541945532595
19.5,7,0.005384880213766107
19.5,8,6.505496834150753e-05
19.5,9,5.199979141346397e-05
19.5,10,6.6760449164533015e-06
19.5,11,1.1551973463298938e-07
19.5,12,2.0350714053356526e-09
20.0,1,1.6575440017431414e-09
20.0,2,1.7452253864452616e-07
20.0,3,5.5287962468493534e-06
20.0,4,8.292319349284785e-05
20.0,5,2.959680268468762e-05
20.0,6,0.008633347738248611
20.0,7,0.005437956205764651
20.0,8,5.010313129166753e-05
20.0,9,5.6547353559190794e-05
20.0,10,7.848225144616036e-06
20.0,11,1.5446931059300876e-07
20.0,12,3.166807037920942e-09
20.5,1,2.5325703571969835e-09
20.5,2,2.3221414405413648e-07
20.5,3,6.449172366219977e-06
20.5,4,7.949319494703091e-05
20.5,5,1.7106261394039072e-05
20.5,6,0.008414098731556565
20.5,7,0.005157715303723017
20.5,8,3.6440931587102026e-05
20.5,9,6.067144512379121e-05
20.5,10,9.189023312992234e-06
20.5,11,2.0365250845126627e-07
20.5,12,4.8580763947535895e-09
21.0,1,3.817148171025533e-09
21.0,2,3.043736529500104e-07
21.0,3,7.49094537271037e-06
21.0,4,7.727770358661392e-05
21.0,5,1.2074210714819105e-05
21.0,6,0.00794740478197954
21.0,7,0.004786821775331852
21.0,8,2.6787293496591762e-05
21.0,9,6.21265143846318e-05
21.0,10,1.0751501120884547e-05
21.0,11,2.655535852720464e-07
21.0,12,7.35029244213473e-09
21.5,1,5.6791559621936464e-09
21.5,2,3.936767627054315e-07
21.5,3,8.679792239051462e-06
21.5,4,7.725969559145631e-05
21.5,5,1.490355022872047e-05
21.5,6,0.007482102637260541
21.5,7,0.004607981956343654
21.5,8,2.276174683551939e-05
21.5,9,5.990848730017411e-05
21.5,10,1.2546516445042388e-05
21.5,11,3.431381579696553e-07
21.5,12,1.0977198108289291e-08
22.0,1,8.348401082983568e-09
22.0,2,5.033881388686605e-07
22.0,3,1.0012264761214907e-05
22.0,4,7.913768246213165e-05
22.0,5,2.1165243225452096e-05
22.0,6,0.007223554638189726
22.0,7,0.004729826597253207
22.0,8,2.2221319172352172e-05
22.0,9,5.490295407053016e-05
22.0,10,1.4521059346958817e-05
22.0,11,4.39420307991083e-07
22.0,12,1.619711853259869e-08
22.5,1,1.2137018556083884e-08
22.5,2,6.372407700685955e-07
22.5,3,1.1449147621094173e-05
22.5,4,8.14733411212129e-05
22.5,5,2.4531960411138617e-05
22.5,6,0.007230677981474367
22.5,7,0.005028789061258731
22.5,8,2.071623542845233e-05
22.5,9,4.932538121528892e-05
22.5,10,1.6569257900978233e-05
22.5,11,5.568700221371991e-07
22.5,12,2.3632891937733466e-08
23.0,1,1.746354137177595e-08
23.0,2,7.990276301328644e-07
23.0,3,1.2926990999606708e-05
23.0,4,8.23112573830658e-05
23.0,5,2.1544880239892446e-05
23.0,6,0.00740614071102538
23.0,7,0.005275911743147254
23.0,8,1.5470470734327636e-05
23.0,9,4.530930349436825e-05
23.0,10,1.8575259416244204e-05
23.0,11,6.969770654164006e-07
23.0,12,3.4118624456042925e-08
23.5,1,2.4879929824125155e-08
23.5,2,9.919947771059818e-07
23.5,3,1.4382594636446063e-05
23.5,4,8.0000965840583e-05
23.5,5,1.4239416720746891e-05
23.5,6,0.0075747601638407455
23.5,7,0.005330289681232076
23.5,8,8.090329101633963e-06
23.5,9,4.3574255672215285e-05
23.5,10,2.0466556942667874e-05
23.5,11,8.60279928091025e-07
23.5,12,4.875265885280058e-08
24.0,1,3.510165142960014e-08
24.0,2,1.2182617026332954e-06
24.0,3,1.5776922515061892e-05
24.0,4,7.38854403196652e-05
24.0,5,8.431110021544986e-06
24.0,6,0.007596329097213746
24.0,7,0.005239396155214587
24.0,8,3.418428344509753e-06
24.0,9,4.305370719846739e-05
24.0,10,2.2246282237995765e-05
24.0,11,1.0469231091222465e-06
24.0,12,6.895806143833316e-08
24.5,1,4.9042606441293926e-08
24.5,2,1.4785280907386527e-06
24.5,3,1.7104569790837337e-05
24.5,4,6.458589449760666e-05
24.5,5,9.002490654911772e-06
24.5,6,0.007445305747124588
24.5,7,0.005174864382699088
24.5,8,5.365855706519101e-06
24.5,9,4.171180609165862e-05
24.5,10,2.3981889663488817e-05
24.5,11,1.2574234071406281e-06
24.5,12,9.655497857161903e-08
25.0,1,6.785844917583561e-08
25.0,2,1.7722067996318795e-06
25.0,3,1.838328003408794e-05
25.0,4,5.37759447129349e-05
25.0,5,1.5937695020965635e-05
25.0,6,0.007215219644320931
25.0,7,0.005270378232012403
25.0,8,1.321811368804874e-05
25.0,9,3.797350736547558e-05
25.0,10,2.575235002860514e-05
25.0,11,1.4930493953467243e-06
25.0,12,1.3385157384993955e-07
25.5,1,9.300230100457375e-08
25.5,2,2.097888784385172e-06
25.5,3,1.9630144827105115e-05
25.5,4,4.353821662167024e-05
25.5,5,2.423231639310286e-05
25.5,6,0.0070521786836893665
25.5,7,0.005502722604077584
25.5,8,2.1610345292947814e-05
25.5,9,3.179208706516075e-05
25.5,10,2.7582304404975843e-05
25.5,11,1.7552930064876565e-06
25.5,12,1.8375959481443243e-07
26.0,1,1.2629492474867887e-07
26.0,2,2.453818073334185e-06
26.0,3,2.083925213797466e-05
26.0,4,3.556349649557297e-05
26.0,5,2.7725515617344024e-05
26.0,6,0.007061557352610534
26.0,7,0.00571279379154644
26.0,8,2.4390079262519405e-05
26.0,9,2.465372562877341e-05
26.0,10,2.940264064240829e-05
26.0,11,2.0443961525254813e-06
26.0,12,2.499356877816573e-07
26.5,1,1.7000733922134533e-07
26.5,2,2.8379777260371255e-06
26.5,3,2.1974287510350224e-05
26.5,4,3.052319254721695e-05
26.5,5,2.384151929873012e-05
26.5,6,0.007243469649921633
26.5,7,0.005743459098954152
26.5,8,1.939226208758014e-05
26.5,9,1.85667828073163e-05
26.5,10,3.106399289588775e-05
26.5,11,2.357556474300076e-06
26.5,12,3.3694176930677787e-07
27.0,1,2.2694949943360886e-07
27.0,2,3.247539499151737e-06
27.0,3,2.297970170544158e-05
27.0,4,2.788318581484722e-05
27.0,5,1.5574552004212437e-05
27.0,6,0.007492274496905825
27.0,7,0.005576167606170702
27.0,8,1.0334490714498581e-05
27.0,9,1.4771390779524011e-05
27.0,10,3.2398997538491294e-05
27.0,11,2.68784279558397e-06
27.0,12,4.504112986623321e-07
27.5,1,3.0055695530816774e-07
27.5,2,3.6777620317343227e-06
27.5,3,2.380215992434309e-05
27.5,4,2.6242538181012366e-05
27.5,5,9.241231521899859e-06
27.5,6,0.007657178224915995
27.5,7,0.005353069226678795
27.5,8,4.248571675605565e-06
27.5,9,1.3055507905033703e-05
27.5,10,3.3299101082274543e-05
27.5,11,3.0246404254528435e-06
27.5,12,5.972083003919843e-07
28.0,1,3.949704744597116e-07
28.0,2,4.120768331358367e-06
28.0,3,2.440811313109711e-05
28.0,4,2.4043725420213963e-05
28.0,5,9.780770131519086e-06
28.0,6,0.007627331976568179
28.0,7,0.005267428991114909
28.0,8,6.332267822989799e-06
28.0,9,1.2092704323661677e-05
28.0,10,3.376146465462145e-05
28.0,11,3.3556162630271113e-06
28.0,12,7.855749490939573e-07
28.5,1,5.151109556832776e-07
28.5,2,4.564794698440288e-06
28.5,3,2.4787334993804464e-05
28.5,4,2.032087176758841e-05
28.5,5,1.7176909402678707e-05
28.5,6,0.0073934874581467955
28.5,7,0.005411566879481704
28.5,8,1.610155784728799e-05
28.5,9,1.0484114040436514e-05
28.5,10,3.3878441628134266e-05
28.5,11,3.6691927711190057e-06
28.5,12,1.025278253145241e-06
29.0,1,6.667597339599909e-07
29.0,2,4.99436597557574e-06
29.0,3,2.4943045459670857e-05
29.0,4,1.5126510587864905e-05
29.0,5,2.6601325885346715e-05
29.0,6,0.007053574290101645
29.0,7,0.005703314655323949
29.0,8,2.7716744470121137e-05
29.0,9,7.723327354281945e-06
29.0,10,3.3776399460043395e-05
29.0,11,3.956024339748274e-06
29.0,12,1.3277779721078588e-06
29.5,1,8.56656989626167e-07
29.5,2,5.39146359103521e-06
29.5,3,2.4878876943099634e-05
29.5,4,9.433858623775467e-06
29.5,5,3.1998844448882986e-05
29.5,6,0.006761344613155519
29.5,7,0.005947064743392075
29.5,8,3.417470807679413e-05
29.5,9,4.422704348222502e-06
29.5,10,3.354104123359158e-05
29.5,11,4.208435271409951e-06
29.5,12,1.7064360945431065e-06
30.0,1,1.0926244790914123e-06
30.0,2,5.737307420084286e-06
30.0,3,2.4594378168761926e-05
30.0,4,4.580412780529089e-06
30.0,5,3.03154967440742e-05
30.0,6,0.006647521337685696
30.0,7,0.005979082751844043
30.0,8,3.2186529883875194e-05
30.0,9,1.7212398061220976e-06
30.0,10,3.317372029913805e-05
30.0,11,4.418060303746097e-06
30.0,12,2.176768355249761e-06
30.5,1,1.383704288813544e-06
30.5,2,6.014107074180509e-06
30.5,3,2.4092986842811582e-05
30.5,4,1.5589491648826056e-06
30.5,5,2.328069676654309e-05
30.5,6,0.006755865349226727
30.5,7,0.005783900710645219
30.5,8,2.416541227211337e-05
30.5,9,3.880143977145499e-07
30.5,10,3.260304537560845e-05
30.5,11,4.5732663699182805e-06
30.5,12,2.756706917599153e-06
31.0,1,1.7402897570310341e-06
31.0,2,6.206199152291331e-06
31.0,3,2.339534187095913e-05
31.0,4,5.381309634617913e-07
31.0,5,1.5670594799508428e-05
31.0,6,0.007026544554795815
31.0,7,0.0054960118165865305
31.0,8,1.6040846749420945e-05
31.0,9,3.079613309709137e-07
31.0,10,3.174150009472036e-05
31.0,11,4.658393066389298e-06
31.0,12,3.4668175271381157e-06
31.5,1,2.1742178997056662e-06
31.5,2,6.300346182207889e-06
31.5,3,2.2545038143645853e-05
31.5,4,8.588837501534066e-07
31.5,5,1.1635508328618118e-05
31.5,6,0.007332754830595508
31.5,7,0.005292737529215844
31.5,8,1.2753258824461182e-05
31.5,9,6.897030070741214e-07
31.5,10,3.054998920563851e-05
31.5,11,4.655968706805271e-06
31.5,12,4.330413173461949e-06
32.0,1,2.698801239773996e-06
32.0,2,6.285444285313313e-06
32.0,3,2.1598352598223346e-05
32.0,4,1.4792378403953058e-06
32.0,5,1.1939395397642652e-05
32.0,6,0.007548445338593658
32.0,7,0.00526568505913893
32.0,8,1.4874150616840738e-05
32.0,9,7.617785656672133e-07
32.0,10,2.9070747916530284e-05
32.0,11,4.551265806948341e-06
32.0,12,5.37353777068706e-06
32.5,1,3.328798904619116e-06
32.5,2,6.152229969038097e-06
32.5,3,2.0601436278135402e-05
32.5,4,1.5877953486911413e-06
32.5,5,1.40024223402624e-05
32.5,6,0.0076100551687187335
32.5,7,0.005367650518038206
32.5,8,1.8733340239512195e-05
32.5,9,3.699721917595519e-07
32.5,10,2.7411278757880395e-05
32.5,11,4.336993711389086e-06
32.5,12,6.624845792682587e-06
33.0,1,4.080350828292833e-06
33.0,2,5.893625535441788e-06
33.0,3,1.9569369459133336e-05
33.0,4,1.0224270745413463e-06
33.0,5,1.4369531959590006e-05
33.0,6,0.007540591466003705
33.0,7,0.005466882822275562
33.0,8,1.9670716858097852e-05
33.0,9,1.0206529448058878e-08
33.0,10,2.5693408746605938e-05
33.0,11,4.015710710970795e-06
33.0,12,8.115447624858872e-06
33.5,1,4.970909562758357e-06
33.5,2,5.506102204960915e-06
33.5,3,1.8482857543650785e-05
33.5,4,2.631134083199831e-07
33.5,5,1.1473696033898618e-05
33.5,6,0.007426323642191885
33.5,7,0.005456667176108109
33.5,8,1.57420926644547e-05
33.5,9,3.081028149476673e-07
33.5,10,2.400163434310451e-05
33.5,11,3.5989596387087414e-06
33.5,12,9.878793699419321e-06
34.0,1,6.019191880051839e-06
34.0,2,4.99199778230962e-06
34.0,3,1.7308165620712678e-05
34.0,4,3.2102162905822636e-08
34.0,5,6.5959738573551715e-06
34.0,6,0.007362334399697612
34.0,7,0.0053313084585253495
