tau,normalized_time,subgroup_max,state_norm_error,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8
0,0,10.000000000000009,1.1102230246251565e-16,20.000000000000007,19.999999999999996,19.999999999999996,19.999999999999996,19.999999999999993,19.999999999999993,8.1678023789983178e-14,1.0658208809431859e-14
0.0065449846949787354,0.0041666666666666666,11.318038274683623,1.1102230246251565e-16,22.63203510024287,22.632035100242867,20.000006269592038,19.983724341450831,17.652520935835867,17.652520935835867,0.048938900845449114,0.016325829268257788
0.013089969389957471,0.0083333333333333332,12.789285540809438,0,25.562530217392446,25.562530217392432,20.000100022816831,19.934925884115312,15.571997343445881,15.571997343445879,0.19700800854899345,0.065875182477955485
0.019634954084936207,0.012500000000000001,14.418201070423756,2.2204460492503131e-16,28.800624332221677,28.80062433222167,20.000503937438513,19.853693880929974,13.738272125104499,13.738272125104489,0.44791499501054127,0.15034748648684076
0.026179938779914941,0.016666666666666666,16.206385500720593,0,32.34978970253318,32.349789702533137,20.00158210569127,19.740189074604164,12.129746411731121,12.129746411731116,0.8076759220179266,0.27252166070286704
0.032724923474893676,0.020833333333333332,18.152249530560063,0,36.207174779747973,36.207174779747966,20.00382997643932,19.594660527967566,10.72438556779526,10.724385567795252,1.2843762247183581,0.43617745285767917
0.039269908169872414,0.025000000000000001,20.250831726071741,2.2204460492503131e-16,40.363241565064278,40.363241565064271,20.007861204547265,19.41746700330733,9.5005576328065224,9.5005576328065171,1.8878479865743361,0.64598830933067741
0.045814892864851145,0.029166666666666664,22.493774357710862,1.1102230246251565e-16,44.801714709031415,44.801714709031359,20.014392196552958,19.209100969367586,8.4376746973522376,8.4376746973522359,2.6292748480150459,0.90738867136576384
0.052359877559829883,0.033333333333333333,24.869450982589985,0,49.499829495963063,49.499829495963006,20.024225195233871,18.970213099262047,7.5166350732907521,7.5166350732907494,3.5207383654541995,1.2264192631869413
0.058904862254808621,0.037499999999999999,27.363227812351198,2.2204460492503131e-16,54.42884272118917,54.428842721189106,20.038230714066998,18.701635095721468,6.7200849268550513,6.7200849268550433,4.574721584407845,1.6095545061792695
0.065449846949787352,0.041666666666666664,29.957833725495128,2.2204460492503131e-16,59.554756274471529,59.554756274471487,20.057330032061461,18.404398830860227,6.0325304573891732,6.0325304573891581,5.8035869423476489,2.0635166388203525
0.071994831644766083,0.04583333333333333,32.63381083118432,0,64.839197476692462,64.839197476692391,20.08247831338495,18.079750089501317,7.2190463314835389,5.4403362800982098,5.4403362800982027,2.5950814328618979
0.078539816339744828,0.050000000000000003,35.370017787391447,0,70.240400937206886,70.240400937206815,20.114648750064216,17.729155621474789,8.8316412134211522,4.9316443752067389,4.9316443752067096,3.2108805647462688
0.085084801034723559,0.054166666666666662,38.144160434256875,2.2204460492503131e-16,75.714241551444331,75.714241551444331,20.154817963051073,17.354302697909947,10.650250098063173,4.49624315525962,4.4962431552596049,3.9172057244132255
0.09162978572970229,0.058333333333333327,40.933327685709067,0,81.215275173068733,81.215275173068676,20.20395275523655,16.957090887659859,12.681639515106147,4.7198194231954345,4.7198194231954336,4.1254099269408062
0.098174770424681035,0.0625,43.714514291462123,8.8817841970012523e-16,86.697750993859117,86.697750993859074,20.262998201405033,16.539616283653178,14.93007287804136,5.6237772046462711,5.6237772046462675,3.8117437223172885
0.10471975511965977,0.066666666666666666,46.46511560617931,9.9920072216264089e-16,92.116566873638803,92.116566873638689,20.332866990230375,17.396989447476624,16.104148880903768,6.6332655773676796,6.633265577367677,3.5489999626678452
0.1112647398146385,0.070833333333333331,49.163382688487502,1.5543122344752192e-15,97.428145378090605,97.428145378090576,20.414429902548434,20.080763038078548,15.653104209854549,7.7514594915033133,7.7514594915033133,3.331934026712621
0.11780972450961724,0.074999999999999997,51.788828855262039,2.55351295663786e-15,102.59121399961418,102.59121399961414,22.976547287791252,20.508507314585717,15.189010639099926,8.9804025880719323,8.9804025880719287,3.1561575434879128
0.12435470920459597,0.079166666666666663,54.322581268158935,2.2204460492503131e-15,107.56747800562303,107.56747800562303,26.076211331461469,20.615861648176143,14.714473965906924,10.320912782867289,10.320912782867284,3.0180089748947925
0.1308996938995747,0.083333333333333329,56.747673287777864,3.3306690738754696e-15,112.32217868565883,112.32217868565877,29.36836670698953,20.737190744236646,14.232141004302008,11.772515026210279,11.772515026210268,2.9144385907587509
0.13744467859455345,0.087499999999999994,59.049275251634874,1.9984014443252818e-15,116.82453355885079,116.82453355885076,32.83848338057124,20.873122202109762,13.744663859166812,13.333402329427537,13.333402329427528,2.8429070668170358
0.14398966328953217,0.09166666666666666,61.214863055752772,2.1094237467877974e-15,121.04805843684636,121.04805843684632,36.469090010640087,21.024208796905413,15.00042539182077,15.000425391820766,13.254666448210855,2.8012964786652792
0.15053464798451091,0.095833333333333326,63.234325468742931,1.7763568394002505e-15,124.97077416397252,124.97077416397249,40.240051068487197,21.190925151113547,16.769110420806264,16.769110420806257,12.764714615684436,2.8311677784944953
0.15707963267948966,0.10000000000000001,65.100012488863669,1.8873791418627661e-15,128.57530339931145,128.57530339931139,44.128911273743142,21.373665887757678,18.633704034285348,18.633704034285337,12.277290891314335,3.164961834335108
0.16362461737446837,0.10416666666666666,66.806728264861562,1.9984014443252818e-15,131.84886496974761,131.84886496974758,48.11129604482587,21.572745523652276,20.587243487623656,20.587243487623645,11.794774608060601,3.5301108646005654
0.17016960206944712,0.10833333333333332,68.351673130402602,1.9984014443252818e-15,134.7831751045394,134.7831751045394,52.161355350303964,22.621649894789286,22.621649894789272,21.788400368013221,11.319427727744959,3.9290960178632286
0.17671458676442586,0.1125,69.734340137793822,1.8873791418627661e-15,137.37426625420264,137.37426625420258,56.252237500652875,24.727841628123738,24.727841628123723,22.020792670901876,10.853386359340728,4.3644346686724615
0.18325957145940458,0.11666666666666665,70.956372109370847,1.9984014443252818e-15,139.62223519652684,139.62223519652679,60.356579046779025,26.895864694418393,26.895864694418375,22.270017217272944,10.398657613911316,4.8386371021645678
0.18980455615438332,0.12083333333333333,72.021385648603712,1.7763568394002505e-15,141.53093274460952,141.53093274460932,64.446997040364039,29.115036603385235,29.115036603385214,22.536110487794826,9.9571211426208937,5.3541570031234107
0.19634954084936207,0.125,72.934768767942018,1.8873791418627661e-15,143.10760760919277,143.10760760919271,68.496570434267824,31.374100071517525,31.37410007151751,22.8190624115928,9.5305344650995067,5.9133365898817996
0.20289452554434079,0.12916666666666665,73.703458804032437,1.6653345369377348e-15,144.36251685339329,144.36251685339326,72.479298317837291,33.661382839415275,33.661382839415261,23.118830625193084,9.1205410246213319,6.5183475970132569
0.20943951023931953,0.13333333333333333,74.335707117941411,1.3322676295501878e-15,145.30851494439602,145.30851494439591,76.370523939544881,35.964959920145986,35.964959920145986,23.435357034229625,8.7286798085268327,7.1711296460557454
0.21598449493429828,0.13750000000000001,74.840836740242764,1.7763568394002505e-15,145.96063269418889,145.96063269418883,80.147315006621938,38.272814733263353,38.272814733263345,23.768586358535689,8.3563953465702028,7.8733278237041358
0.22252947962927699,0.14166666666666666,75.228998646390494,1.9984014443252818e-15,146.33565643644366,146.33565643644363,83.788792500877463,40.572995804107173,40.572995804107144,24.118486235362557,8.6262314884686777,8.6262314884686635
0.22907446432425574,0.14583333333333331,75.510931769729027,1.9984014443252818e-15,146.45171665990381,146.45171665990378,87.27640214102604,42.853766009106828,42.853766009106813,24.485068366666031,9.4307164319651982,9.4307164319651751
0.23561944901923448,0.14999999999999999,75.697731213947833,2.886579864025407e-15,146.32789406267727,146.32789406267722,90.594124583266478,45.103741711428157,45.103741711428114,24.868410129653824,10.28719251952791,10.287192519527894
0.2421644337142132,0.15416666666666665,75.800628450840321,2.886579864025407e-15,145.98384965888985,145.9838496588898,93.728622414249955,47.312019542683352,47.312019542683345,25.268676027527267,11.195558824729723,11.195558824729673
0.24870941840919195,0.15833333333333333,75.830786618330052,3.7747582837255322e-15,145.43948420907677,145.43948420907662,96.669323888888016,49.468289030240861,49.46828903024084,25.686138339304925,12.155168059742786,12.155168059742774
0.25525440310417069,0.16250000000000001,75.799113399024236,5.3290705182007514e-15,144.71463090407823,144.71463090407815,99.408445141003185,51.56292973054255,51.562929730542521,26.121196331005706,13.164801801372869,13.164801801372828
0.26179938779914941,0.16666666666666666,75.716093385188515,6.7723604502134549e-15,143.82878394891699,143.82878394891691,101.94095419702879,53.587091991899506,53.587091991899491,26.574393410556485,14.222657639549725,14.2226576395497
0.26834437249412812,0.17083333333333331,75.591641336843338,7.2164496600635175e-15,142.80086450118321,142.80086450118304,104.26448151062006,55.532760921584781,55.53276092158476,27.046431639696241,15.326348953051772,15.326348953051752
0.2748893571891069,0.17499999999999999,75.434977319536046,9.9920072216264089e-15,141.64902434333371,141.64902434333356,106.37918287835465,57.392803559171298,57.392803559171256,27.538183051848065,16.472917569832568,16.472917569832568
0.28143434188408561,0.17916666666666667,75.25452435966929,1.0103029524088925e-14,140.39048672771659,140.39048672771642,108.28756147373389,59.160999650170133,59.160999650170112,28.050697260314152,17.658859119844777,17.658859119844745
0.28797932657906433,0.18333333333333332,75.057828960014376,9.8809849191638932e-15,139.04142303716279,139.04142303716276,109.99425633943184,60.832056762293469,60.832056762293462,28.585204873069131,18.880160458419123,18.880160458419077
0.2945243112740431,0.1875,74.851504550403973,1.0103029524088925e-14,137.61686325574806,137.61686325574803,111.50580500783991,62.401610784385412,62.401610784385397,29.143116258570796,20.132348146960915,20.132348146960886
0.30106929596902182,0.19166666666666665,74.641197679363216,9.9920072216264089e-15,136.13063774073106,136.13063774073103,112.83038798879159,63.866213090742676,63.866213090742654,29.726015234529402,21.41054664040383,21.410546640403815
0.30761428066400054,0.1958333333333333,74.431576454550182,9.9920072216264089e-15,134.59534741968181,134.59534741968176,113.97756269114731,65.223305838832999,65.223305838832943,30.335647285334147,22.709544558963319,22.709544558963305
0.31415926535897931,0.20000000000000001,74.226340394337029,9.7699626167013776e-15,133.02235929462915,133.02235929462915,114.95799395904545,66.471186996088633,66.471186996088619,30.973901964169791,24.023867222685958,24.023867222685954
