tau,normalized_time,lambda_1,lambda_2,lambda_3,analytic_qfi
0,0,20.000000000000014,19.999999999999986,-5.6843418860808015e-14,20
0.0049087385212340517,0.0031250000000000002,21.949099925209417,18.215645939755376,0.018340382374333331,21.949099925209438
0.0098174770424681035,0.0062500000000000003,24.070924532343003,16.587233996966045,0.073692614157153002,24.070924532343071
0.014726215563702155,0.0093749999999999997,26.372399115598785,15.105370706585807,0.16704550869320656,26.372399115598874
0.019634954084936207,0.012500000000000001,28.859184067639877,13.760304055726374,0.30003234435491777,28.859184067639944
0.024543692606170259,0.015625,31.535490256461102,12.542140854321149,0.47490895179129211,31.535490256461067
0.02945243112740431,0.018749999999999999,34.403928829200545,11.441042282768876,0.69452343911677872,34.403928829200453
0.034361169648638362,0.021874999999999999,37.465400700485105,10.44739187179551,0.96227795103027347,37.465400700485105
0.039269908169872414,0.025000000000000001,40.719028359380303,9.5519326652676302,1.2820829609803468,40.719028359380289
0.044178646691106466,0.028125000000000001,44.16213011497517,8.7458727108429439,1.6583046914696524,44.162130114975305
0.049087385212340517,0.03125,47.790234746393729,8.0209600673798764,2.0957063448149711,47.790234746393637
0.053996123733574569,0.034375000000000003,51.597132880178606,7.3695300617449027,2.5993839042006925,51.597132880178606
0.058904862254808621,0.037499999999999999,55.574960336765002,6.7845285220689924,3.174697331341747,55.574960336765031
0.063813600776042673,0.040625000000000001,59.71430813498506,6.2595151938012883,3.8271980418513749,59.714308134985117
0.068722339297276724,0.043749999999999997,64.004353731351074,5.7886515978055515,4.5625535816143952,64.004353731351031
0.073631077818510776,0.046875,68.433008286270947,5.3864704566980208,5.3666773298361354,68.433008286270891
0.078539816339744828,0.050000000000000003,72.987075178424874,6.3046160852315438,4.9888783423583236,72.987075178424774
0.08344855486097888,0.053124999999999999,77.652415532147089,7.322540842223475,4.6510501921274665,77.652415532147074
0.088357293382212931,0.056250000000000001,82.414117104189458,8.4456011574948775,4.3494586568089479,82.414117104189586
0.093266031903446983,0.059374999999999997,87.256663442785694,9.6788846032112019,4.0807995738151517,87.256663442785666
0.098174770424681035,0.0625,92.164100751730686,11.02713787131222,3.8421592657546575,92.164100751730743
0.10308350894591509,0.065625000000000003,97.120200349996111,12.494698493249473,3.6309765039644533,97.120200349996068
0.10799224746714914,0.068750000000000006,102.10861500969753,14.08543109565295,3.4450066271958848,102.10861500969763
0.11290098598838319,0.071874999999999994,107.11302778577843,15.802668916941684,3.2822881718154462,107.11302778577853
0.11780972450961724,0.074999999999999997,112.11729222729863,17.649161232565234,3.1411121739654462,112.11729222729875
0.12271846303085129,0.078125,117.10556309187308,19.627027251851356,3.0199941625011242,117.10556309187304
0.12762720155208535,0.081250000000000003,122.0624168807052,21.73771695864059,2.9176487636516009,122.06241688070527
