tau,normalized_time,leading_rank,eigen_residual,coefficient_Qx,coefficient_Qy,coefficient_Qz,coefficient_Sigma_x,coefficient_Sigma_y,coefficient_Sigma_z,coefficient_M_x,coefficient_M_y,coefficient_N_x,coefficient_N_y,coefficient_P_z,coefficient_U_x,coefficient_U_y,coefficient_V_x,coefficient_V_y
0,0,6,1.0079582897341558e-14,0.70710678118654746,-1.978955789578598e-17,0,0,0,0,0,0,0,0,0,0,0,0.70710678118654746,3.605824940633291e-17
0.0065449846949787354,0.0041666666666666666,2,9.8207975197387855e-15,0.49999732270084823,0.0016362432532631749,3.2944517421069831e-16,-0.031023015051422197,0.49903664448326801,1.6023862151149528e-16,9.8755575749877062e-20,1.0273354314089946e-19,-6.0184988493938236e-36,-2.2175231123791083e-23,2.2725475419526966e-16,-0.027756186708487698,-0.49922899965787609,0.49999732270084796,-0.0016362432532633566
0.013089969389957471,0.0083333333333333332,2,1.3311780392942223e-14,0.4998724265349298,-0.01129412192608078,1.0733647054381389e-16,-0.047176495707997798,0.49776940268834641,1.8458078777362201e-17,7.4435413435787608e-19,1.3121358802192726e-19,0,0,2.5887083861803002e-17,-0.040656853814180466,-0.49834427882532378,0.49968176576311607,-0.017836282231864807
0.019634954084936207,0.012500000000000001,2,1.0669750188573171e-14,0.49942595090186254,-0.023952443837121275,-5.8422155363096407e-17,-0.063017757053042037,0.49601286505090159,-1.4652111133098743e-17,7.7951593310405291e-20,-7.5367745149140303e-20,6.4923229111359186e-22,3.2461614555679593e-22,-2.0568151100770589e-17,-0.053267045731646596,-0.49715452511168262,0.49885940688034364,-0.033753402302457949
0.026179938779914941,0.016666666666666666,2,2.7286380331881269e-14,0.49868672709045225,-0.036215303723874361,6.1997305299759579e-18,-0.078418621143923756,0.49381223137735847,3.557889911405016e-17,1.3897411718587016e-19,1.4872502652137675e-21,0,0,3.9287854555516117e-17,-0.065465251786445827,-0.49569577445096047,0.49756783347052375,-0.049256990320655017
0.032724923474893676,0.020833333333333332,2,1.3297660317435859e-14,0.49769275513155214,-0.047978343964384607,7.1061980210515153e-17,-0.093271844251622729,0.49122333318960038,1.8834760125928432e-17,1.289253920304092e-18,2.0572097618850493e-19,6.5022780948052905e-22,0,2.6343561322189244e-17,-0.077149528415488416,-0.49401209526211753,0.49585647678771055,-0.064236706233110064
0.039269908169872414,0.025000000000000001,2,1.5242109648379488e-14,0.496487848354701,-0.059159246412709317,4.6110447821023123e-19,-0.10749404442181594,0.48830833539254748,-4.3262897940325282e-19,6.7768739635545717e-20,1.5422451358387125e-20,0,-4.927351970708507e-23,-1.2993236311146197e-18,-0.088240275128099663,-0.49215206374180454,0.49378249310208944,-0.078605658230720826
0.045814892864851145,0.029166666666666664,2,3.6314838274151466e-14,0.49511827205733661,-0.069698613149453525,2.8025667677859649e-17,-0.12102638637416047,0.48513154278114345,-3.0382205547684506e-19,2.638504883114496e-19,5.1296410401165318e-20,0,5.9037021715519046e-23,3.2336818373875344e-18,-0.098680916156325724,-0.49016535657525628,0.49140661771560618,-0.092301332955208273
0.052359877559829883,0.033333333333333333,2,1.7294069069069724e-14,0.49362977740815039,-0.079559052633750002,-1.8668422159658098e-17,-0.13383337701776071,0.48175577546721948,7.4674213681211391e-19,5.2013890746201408e-20,-2.5698708569474139e-20,-1.8568288471710211e-37,0,5.6122770256760432e-19,-0.10843681384124185,-0.48809984368360504,0.48878947585673532,-0.10528460614780359
0.058904862254808621,0.037499999999999999,2,5.3025271615179471e-14,0.49206527684148682,-0.088722958285388634,2.8253538852759364e-17,-0.14590031104931087,0.47823958350989138,1.3272012473682811e-17,1.6696627348907575e-18,3.4101931560208396e-19,0,1.1568399063259457e-38,1.2138229233676481e-17,-0.1174929144167431,-0.48599939821141747,0.48598865198030639,-0.11753735638665971
